Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
fiin,0.92,0.07,0.84,0.08,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hoifvrnem,0,0.04,0.84,0.08,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Karl,-0.77,0.03,-1.29,0.01,1,0.0,2,0.01,1,0.0,0.06,0.1,0.0,0.0
Peer,41.75,1.0,28.31,1.0,63,1.0,183,1.0,63,1.0,0.6,1.0,0.57,1.0
Peersad,0.87,0.06,0.65,0.07,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
hnn,9.03,0.25,11.21,0.43,25,0.39,60,0.32,25,0.39,0.3,0.5,0.16,0.28
Felix,10.63,0.29,10.28,0.4,10,0.15,41,0.22,10,0.15,0.18,0.3,0.03,0.05
Hnn,3.96,0.14,5.11,0.22,8,0.11,13,0.07,8,0.11,0.16,0.27,0.03,0.05
lille Peer,2.84,0.11,1.36,0.1,6,0.08,7,0.03,6,0.08,0.14,0.23,0.02,0.04
Faermoer,3.72,0.13,5.48,0.24,9,0.13,29,0.15,9,0.13,0.17,0.28,0.02,0.04
Dn,1.71,0.08,3.16,0.16,3,0.03,3,0.01,3,0.03,0.03,0.05,0.01,0.02
lille Felix,0.85,0.06,1.02,0.09,2,0.02,3,0.01,2,0.02,0.1,0.17,0.0,0.0
Husleicn,0.83,0.06,0.77,0.08,2,0.02,2,0.01,2,0.02,0.07,0.12,0.01,0.02
Bjørn,0,0.04,0.67,0.07,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Gudfader,1.46,0.08,0.68,0.07,2,0.02,5,0.02,2,0.02,0.1,0.17,0.0,0.0
Hain,1.15,0.07,0.6,0.07,2,0.02,2,0.01,2,0.02,0.08,0.13,0.0,0.0
sil,0.42,0.05,0.17,0.06,1,0.0,1,0.0,1,0.0,0.06,0.1,0.0,0.0
Samson,1.3,0.07,0.33,0.06,4,0.05,9,0.04,4,0.05,0.11,0.18,0.0,0.0
Alen,-0.86,0.03,-0.83,0.02,2,0.02,2,0.01,2,0.02,0.04,0.07,0.0,0.0
Jomfru Frandsen,0.4,0.05,3.46,0.17,3,0.03,7,0.03,3,0.03,0.12,0.2,0.0,0.0
Malle Knallerup,-0.98,0.02,-0.43,0.04,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Page,-1.96,0.0,-0.86,0.02,2,0.02,4,0.02,2,0.02,0.07,0.12,0.01,0.02
bart,-0.98,0.02,-0.43,0.04,1,0.0,2,0.01,1,0.0,0.06,0.1,0.0,0.0
Flors,-0.98,0.02,-0.06,0.05,1,0.0,2,0.01,1,0.0,0.06,0.1,0.0,0.0
Bravo,0,0.04,0.2,0.06,1,0.0,1,0.0,1,0.0,0.06,0.1,0.0,0.0
Roes,-0.57,0.03,0.66,0.07,2,0.02,2,0.01,2,0.02,0.07,0.12,0.0,0.0
Dril,-0.57,0.03,-0.46,0.04,2,0.02,2,0.01,2,0.02,0.07,0.12,0.0,0.0
Jomfrn Frandsen,0,0.04,0.78,0.08,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Capelmesferen,-0.61,0.03,-0.39,0.04,1,0.0,1,0.0,1,0.0,0.06,0.1,0.0,0.0
Peerskulde,0,0.04,-0.33,0.04,1,0.0,1,0.0,1,0.0,0.06,0.1,0.0,0.0
Alan,0,0.04,0.0,0.05,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Frandsen,0.07,0.05,-1.54,0.0,3,0.03,3,0.01,3,0.03,0.08,0.13,0.01,0.02
Bioder,0.88,0.06,0.46,0.07,1,0.0,2,0.01,1,0.0,0.06,0.1,0.0,0.0
Pip,0,0.04,0.13,0.06,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Jomsrn Frandsen,0,0.04,0.69,0.07,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Uhret,0.36,0.05,-0.48,0.04,2,0.02,3,0.01,2,0.02,0.05,0.08,0.0,0.0
Qvægct,0.71,0.06,0.4,0.06,1,0.0,1,0.0,1,0.0,0.06,0.1,0.0,0.0
Karlen,-1.33,0.01,-0.8,0.02,2,0.02,4,0.02,2,0.02,0.03,0.05,0.05,0.09
Madamen,-0.2,0.04,-0.18,0.05,3,0.03,3,0.01,3,0.03,0.11,0.18,0.0,0.0
Hr. Gabriel,4.16,0.14,2.48,0.13,8,0.11,16,0.08,8,0.11,0.15,0.25,0.01,0.02
Smaathustøi,-0.01,0.04,0.42,0.07,4,0.05,4,0.02,4,0.05,0.03,0.05,0.02,0.04
Trine,0,0.04,-0.09,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
igjcn,0,0.04,-0.2,0.04,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Cæsar,-1.01,0.02,0.0,0.05,2,0.02,2,0.01,2,0.02,0.02,0.03,0.0,0.0
Madame Gabriel,3.25,0.12,2.47,0.13,13,0.19,18,0.09,13,0.19,0.16,0.27,0.07,0.12
Madsen,4.15,0.14,3.32,0.16,7,0.1,15,0.08,7,0.1,0.11,0.18,0.07,0.12
Amalie,-0.48,0.03,0.0,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
CarlMo or,0,0.04,0.0,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gabriels,0,0.04,1.02,0.09,1,0.0,1,0.0,1,0.0,0.06,0.1,0.0,0.0
Gabriel,2.25,0.1,1.01,0.09,7,0.1,12,0.06,7,0.1,0.15,0.25,0.02,0.04
Punsch,0.77,0.06,0.79,0.08,2,0.02,2,0.01,2,0.02,0.08,0.13,0.0,0.0
Mette,1.18,0.07,0.34,0.06,2,0.02,2,0.01,2,0.02,0.02,0.03,0.01,0.02
Meta,0,0.04,0.0,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Meta Gabriel,0.7,0.06,0.7,0.08,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Primus,1.8,0.09,1.87,0.11,3,0.03,4,0.02,3,0.03,0.09,0.15,0.0,0.0
Julie,2.23,0.1,2.19,0.12,5,0.06,8,0.04,5,0.06,0.14,0.23,0.0,0.0
Romeo,0.38,0.05,0.25,0.06,6,0.08,11,0.05,6,0.08,0.12,0.2,0.01,0.02
Humcurcts,0.8,0.06,0.0,0.05,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Flick,0.02,0.05,-0.05,0.05,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Flock,0.18,0.05,-0.05,0.05,2,0.02,3,0.01,2,0.02,0.0,0.0,0.0,0.0
Sopha,0,0.04,0.1,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jnlies,0.84,0.06,0.29,0.06,2,0.02,2,0.01,2,0.02,0.03,0.05,0.0,0.0
Svendsen,-0.19,0.04,-0.04,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
as,0,0.04,0.0,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peer-Røm,-0.24,0.04,-0.17,0.05,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Themistokles,0.91,0.07,0.59,0.07,2,0.02,2,0.01,2,0.02,0.07,0.12,0.05,0.09
Shakespeare,1.59,0.08,0.76,0.08,4,0.05,4,0.02,4,0.05,0.01,0.02,0.04,0.07
