Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Carl,0.77,0.26,0.04,0.3,4,0.06,4,0.02,4,0.06,0.01,0.03,0.01,0.03
vorLykkes,0,0.2,0.0,0.29,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guds,-0.58,0.15,-4.41,0.0,2,0.02,2,0.01,2,0.02,0.01,0.03,0.01,0.03
Hr. Tøndesen,0,0.2,0.09,0.3,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mo ,0.8,0.26,0,0.29,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
er Jensen,0,0.2,0.52,0.33,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mørk,-0.41,0.17,-1.64,0.19,4,0.06,7,0.03,4,0.06,0.06,0.17,0.0,0.0
Tøndesen,6.45,0.71,4.32,0.58,19,0.34,49,0.26,19,0.34,0.18,0.51,0.05,0.15
Adolf,2.53,0.4,1.93,0.42,39,0.72,108,0.58,39,0.72,0.29,0.83,0.16,0.48
tys,0.44,0.24,-0.25,0.28,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Frøken Dyring,0.97,0.28,0.05,0.3,7,0.11,10,0.05,7,0.11,0.07,0.2,0.01,0.03
Carlsen,3.85,0.5,6.78,0.75,19,0.34,34,0.18,19,0.34,0.15,0.43,0.09,0.27
Charles Carlsen,0.57,0.25,-0.21,0.28,4,0.06,4,0.02,4,0.06,0.04,0.11,0.0,0.0
Dahl,0.28,0.22,-0.75,0.24,6,0.09,8,0.04,6,0.09,0.04,0.11,0.01,0.03
Hjelmskjold,5.17,0.61,4.74,0.61,22,0.4,41,0.22,22,0.4,0.2,0.57,0.1,0.3
zan,0.96,0.28,0.0,0.29,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
minFanilie,0.96,0.28,0.36,0.32,2,0.02,2,0.01,2,0.02,0.01,0.03,0.02,0.06
