source,target,type,weight
Pylke,Pylkes,Undirected,1
Offe,Pylke,Undirected,4
Offe,Offe Pylke,Undirected,1
Offe Pylke,Palle Hyphofs,Undirected,1
Pylke,Visiert Vendelbo,Undirected,1
Offe Pylke,Visiert Vendelbo,Undirected,1
Gyldings,Viffert,Undirected,1
Gyldings,Pylke,Undirected,1
Gud,Hr. Gylding,Undirected,1
Henning Graabul,Naadigherrens,Undirected,1
Naadigherrens,Pylke,Undirected,1
Pylke,Viffert,Undirected,2
Casper,Vesfed,Undirected,1
Casper,Lisfert,Undirected,1
Gylding,Henning,Undirected,4
Gylding,hnn,Undirected,2
Casper Gylding,Easper Gylding,Undirected,1
Casper Gylding,Hesfen,Undirected,1
Mesfer,Mesfer Pylke,Undirected,1
Casper Gylding,Pylke,Undirected,1
Gud,Jomfru Marias,Undirected,1
Casper,Casper Gylding,Undirected,2
Casper Gylding,Ponl Laxmand,Undirected,1
Kong Hans,Ponl Laxmand,Undirected,1
Kong Hans,Strangeson,Undirected,1
Bjørn Andersøn,Strangeson,Undirected,1
Bjørn Andersøn,Ebbe ham,Undirected,2
Kong Hans,Lapmand,Undirected,1
Casper Gylding,Laxmand,Undirected,1
Casper Gylding,Gerda,Undirected,7
Gerda,Poul Laxmands,Undirected,1
Casper,Poul Laxmands,Undirected,1
Casper,Gerda,Undirected,6
Casper Gylding,Hektors,Undirected,1
Casper,Hektors,Undirected,1
Casper,Sands,Undirected,1
Gerda,Sands,Undirected,1
Gerda,Henning Graabuk,Undirected,1
Casper,Vams,Undirected,2
Casper,Mette,Undirected,4
Laxmand,Mette,Undirected,1
Jens Thomassen,Mette,Undirected,1
Gerda,Jens Thomassen,Undirected,1
Gerda,Kong Christjern,Undirected,1
Casper,Steen,Undirected,2
Gerda,Jakob,Undirected,1
Henning Graabuk,Steen,Undirected,1
Henning,Steen,Undirected,5
Henning,sidsfe,Undirected,2
Graabuk,Henning,Undirected,2
Gud,Jngen,Undirected,1
Henning,ban,Undirected,1
Casper Gylding,Henning,Undirected,5
Henning Graabuk,Rimfrost,Undirected,1
Henning,Rimfrost,Undirected,1
Henning,Kirsten,Undirected,3
Dn,Tranen,Undirected,1
Casper Gylding,Henning leende,Undirected,1
Casper Herremand,Munk Hageberth,Undirected,1
Gerda,Nesfrup,Undirected,1
Casper,Henning,Undirected,3
Henning,Tranen,Undirected,4
Dn,Easper,Undirected,1
Dn,Henning,Undirected,1
Casper,Tranen,Undirected,1
