Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Pylke,3.15,0.29,1.69,0.22,10,0.13,17,0.09,10,0.13,0.08,0.21,0.02,0.08
Pylkes,0.93,0.17,0.89,0.18,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Offe,1.11,0.18,0.59,0.16,2,0.01,5,0.02,2,0.01,0.01,0.03,0.0,0.0
Offe Pylke,0.5,0.15,-1.06,0.08,4,0.04,4,0.02,4,0.04,0.03,0.08,0.01,0.04
Palle Hyphofs,0,0.12,0.0,0.13,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Visiert Vendelbo,1.07,0.18,0.91,0.18,9,0.12,10,0.05,9,0.12,0.06,0.16,0.01,0.04
Gyldings,0.54,0.15,-0.18,0.12,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Viffert,16.47,1.0,6.68,0.47,35,0.51,79,0.45,35,0.51,0.26,0.68,0.1,0.4
Gud,5.25,0.4,5.41,0.41,35,0.51,41,0.23,35,0.51,0.18,0.47,0.14,0.56
Hr. Gylding,-0.09,0.11,1.82,0.22,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Henning Graabul,-0.04,0.12,-0.59,0.1,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Naadigherrens,-0.04,0.12,0.2,0.14,2,0.01,2,0.01,2,0.01,0.01,0.03,0.0,0.0
Casper,3.12,0.29,4.43,0.36,16,0.22,30,0.17,16,0.22,0.11,0.29,0.02,0.08
Vesfed,0.09,0.12,0.09,0.14,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Lisfert,0,0.12,0.11,0.14,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Gylding,8.49,0.57,3.68,0.32,31,0.45,41,0.23,31,0.45,0.23,0.61,0.1,0.4
Henning,16.37,0.99,13.62,0.82,68,1.0,174,1.0,68,1.0,0.38,1.0,0.25,1.0
hnn,8.78,0.59,6.5,0.46,28,0.4,41,0.23,28,0.4,0.14,0.37,0.08,0.32
Casper Gylding,10.33,0.67,2.95,0.28,25,0.36,39,0.22,25,0.36,0.19,0.5,0.04,0.16
Easper Gylding,0.62,0.15,0.36,0.15,3,0.03,3,0.01,3,0.03,0.06,0.16,0.0,0.0
Hesfen,0.88,0.17,-0.41,0.11,4,0.04,5,0.02,4,0.04,0.03,0.08,0.0,0.0
Mesfer,1.29,0.19,2.16,0.24,4,0.04,4,0.02,4,0.04,0.04,0.11,0.01,0.04
Mesfer Pylke,0,0.12,-0.2,0.12,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jomfru Marias,0,0.12,-0.79,0.09,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Ponl Laxmand,0.56,0.15,-0.27,0.12,2,0.01,2,0.01,2,0.01,0.01,0.03,0.0,0.0
Kong Hans,1.06,0.18,1.41,0.2,5,0.06,5,0.02,5,0.06,0.02,0.05,0.02,0.08
Strangeson,0.56,0.15,-0.17,0.12,2,0.01,2,0.01,2,0.01,0.0,0.0,0.01,0.04
Bjørn Andersøn,0.56,0.15,0.04,0.13,2,0.01,3,0.01,2,0.01,0.0,0.0,0.0,0.0
Ebbe ham,0.56,0.15,0.21,0.14,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Lapmand,0,0.12,0.33,0.15,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Laxmand,5.8,0.43,1.07,0.19,9,0.12,10,0.05,9,0.12,0.07,0.18,0.01,0.04
Gerda,10.0,0.65,3.63,0.32,29,0.42,56,0.32,29,0.42,0.19,0.5,0.06,0.24
Poul Laxmands,0.95,0.17,-0.4,0.11,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Hektors,0.97,0.17,0.43,0.15,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Sands,1.81,0.22,0.24,0.14,4,0.04,4,0.02,4,0.04,0.04,0.11,0.0,0.0
Henning Graabuk,3.21,0.29,1.7,0.22,25,0.36,35,0.2,25,0.36,0.22,0.58,0.07,0.28
Vams,0.93,0.17,0.43,0.15,1,0.0,2,0.01,1,0.0,0.01,0.03,0.0,0.0
Mette,1.97,0.23,0.45,0.16,5,0.06,8,0.04,5,0.06,0.04,0.11,0.0,0.0
Jens Thomassen,0.97,0.17,0.0,0.13,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Kong Christjern,0,0.12,1.19,0.19,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Steen,2.27,0.24,-1.03,0.08,3,0.03,8,0.04,3,0.03,0.05,0.13,0.0,0.0
Jakob,0,0.12,0.0,0.13,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
sidsfe,0.73,0.16,-0.14,0.13,1,0.0,2,0.01,1,0.0,0.03,0.08,0.0,0.0
Graabuk,0.27,0.13,-0.43,0.11,3,0.03,4,0.02,3,0.03,0.05,0.13,0.0,0.0
Jngen,0.99,0.17,0.77,0.17,3,0.03,3,0.01,3,0.03,0.02,0.05,0.0,0.0
ban,0,0.12,0.53,0.16,2,0.01,2,0.01,2,0.01,0.03,0.08,0.0,0.0
Rimfrost,-0.95,0.07,-0.73,0.1,2,0.01,2,0.01,2,0.01,0.04,0.11,0.0,0.0
Kirsten,1.94,0.22,0.99,0.18,12,0.16,16,0.09,12,0.16,0.09,0.24,0.02,0.08
Dn,0.31,0.14,2.94,0.28,17,0.24,24,0.13,17,0.24,0.12,0.32,0.04,0.16
Tranen,0.53,0.15,0.73,0.17,6,0.07,9,0.05,6,0.07,0.07,0.18,0.0,0.0
Henning leende,0.87,0.17,0.52,0.16,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Casper Herremand,0,0.12,0.0,0.13,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Munk Hageberth,0.0,0.12,0.0,0.13,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nesfrup,0,0.12,0.79,0.17,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Easper,-0.51,0.09,0.09,0.14,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Marie,-0.42,0.1,0.15,0.14,3,0.03,4,0.02,3,0.03,0.02,0.05,0.0,0.0
snn,0,0.12,0.38,0.15,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Bisfert Vendelbo,0,0.12,0.0,0.13,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Casper hensank,-0.8,0.08,-0.2,0.12,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
ester,-0.07,0.12,0.53,0.16,4,0.04,5,0.02,4,0.04,0.05,0.13,0.0,0.0
Maren Poppes,-0.8,0.08,0.04,0.13,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Ane Jost,-2.24,0.0,-0.91,0.09,4,0.04,4,0.02,4,0.04,0.02,0.05,0.0,0.0
Ane Seeforbi,0.59,0.15,-0.09,0.13,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Ane,0.78,0.16,0.73,0.17,7,0.09,7,0.03,7,0.09,0.02,0.05,0.01,0.04
Jørgen Grams,0.92,0.17,1.59,0.21,2,0.01,2,0.01,2,0.01,0.03,0.08,0.0,0.0
Restrup,0.86,0.17,0.0,0.13,2,0.01,2,0.01,2,0.01,0.01,0.03,0.0,0.0
ifjor,0.94,0.17,1.71,0.22,2,0.01,2,0.01,2,0.01,0.01,0.03,0.0,0.0
Jørgen Gram,7.67,0.53,-0.52,0.11,29,0.42,45,0.25,29,0.42,0.23,0.61,0.07,0.28
Mnnken,0.0,0.12,-0.33,0.12,2,0.01,2,0.01,2,0.01,0.03,0.08,0.0,0.0
Visiert,2.33,0.24,2.14,0.24,25,0.36,39,0.22,25,0.36,0.16,0.42,0.06,0.24
Jørgen,4.6,0.37,0.54,0.16,25,0.36,43,0.24,25,0.36,0.23,0.61,0.05,0.2
Jørgen Gram flap,0.63,0.15,0.0,0.13,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Frøken Gerda,0,0.12,0.63,0.16,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Frøken Laxmand,1.24,0.19,0.54,0.16,3,0.03,3,0.01,3,0.03,0.03,0.08,0.0,0.0
frede,0,0.12,0.93,0.18,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gravlev,-0.05,0.12,-0.6,0.1,1,0.0,2,0.01,1,0.0,0.01,0.03,0.0,0.0
Jörgen,-0.11,0.11,0.0,0.13,2,0.01,2,0.01,2,0.01,0.01,0.03,0.0,0.0
Gram,2.03,0.23,2.11,0.24,7,0.09,9,0.05,7,0.09,0.07,0.18,0.01,0.04
Hr. Gram,0,0.12,0.11,0.14,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Chrisfiern,0.96,0.17,0.68,0.17,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Viffert Vendelbo,1.25,0.19,0.42,0.15,3,0.03,4,0.02,3,0.03,0.04,0.11,0.0,0.0
Mogens Munk,1.92,0.22,0.0,0.13,4,0.04,4,0.02,4,0.04,0.0,0.0,0.0,0.0
Frederik,1.82,0.22,0.81,0.17,9,0.12,10,0.05,9,0.12,0.04,0.11,0.01,0.04
Munk,3.84,0.32,0.52,0.16,3,0.03,4,0.02,3,0.03,0.0,0.0,0.0,0.0
Christiern,1.11,0.18,2.4,0.25,7,0.09,7,0.03,7,0.09,0.02,0.05,0.02,0.08
Kong Christierns,0.85,0.17,1.05,0.19,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Oluf Rosenkrands,0.85,0.17,0.57,0.16,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Mogens Bilde,0.85,0.17,0.57,0.16,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Mogens Gjøe,0,0.12,0.57,0.16,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eide von der Hoye,0.28,0.13,0.09,0.14,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Henrik Gjøe,0,0.12,0.0,0.13,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dyveke,1.09,0.18,0.23,0.14,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Sigbrit,-0.23,0.11,0.58,0.16,2,0.01,3,0.01,2,0.01,0.0,0.0,0.0,0.0
Kong Chrisfieru,0,0.12,0.71,0.17,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Johan Rantzaus,-0.85,0.07,0.22,0.14,2,0.01,2,0.01,2,0.01,0.01,0.03,0.0,0.0
Kong Christiern,0.24,0.13,0.03,0.13,8,0.1,9,0.05,8,0.1,0.05,0.13,0.01,0.04
Bjørnen,-0.85,0.07,0.0,0.13,3,0.03,3,0.01,3,0.03,0.0,0.0,0.0,0.0
Kong Christians,-0.85,0.07,-0.09,0.13,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Lindenov,0,0.12,0.0,0.13,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Johan Raukzau,0.65,0.15,0.65,0.17,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hans barsfe,0,0.12,0.65,0.17,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rantzau,1.5,0.2,0.58,0.16,23,0.33,31,0.17,23,0.33,0.17,0.45,0.06,0.24
Bjørn,2.85,0.27,3.9,0.33,27,0.39,50,0.28,27,0.39,0.16,0.42,0.06,0.24
Johan Rantzau,1.13,0.18,-1.08,0.08,9,0.12,13,0.07,9,0.12,0.1,0.26,0.01,0.04
Axel,0,0.12,-0.16,0.12,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Eggert,1.81,0.22,0.01,0.13,3,0.03,3,0.01,3,0.03,0.0,0.0,0.0,0.0
Friis,0.1,0.13,0.09,0.14,5,0.06,5,0.02,5,0.06,0.02,0.05,0.01,0.04
Eggert Bugge,-1.38,0.05,-0.26,0.12,8,0.1,9,0.05,8,0.1,0.07,0.18,0.01,0.04
Reifens,0.67,0.16,0.69,0.17,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Anders Friis,0,0.12,0.77,0.17,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Eggert-,0.46,0.14,0.0,0.13,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Bugge,1.75,0.21,2.62,0.26,15,0.21,24,0.13,15,0.21,0.14,0.37,0.02,0.08
Forrestan,0.18,0.13,0.65,0.17,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Jes,-0.02,0.12,0.66,0.17,13,0.18,31,0.17,13,0.18,0.11,0.29,0.02,0.08
Eieren,0.36,0.14,0.49,0.16,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Vind,0,0.12,0.49,0.16,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dalby Bjørn,-0.22,0.11,1.59,0.21,6,0.07,8,0.04,6,0.07,0.04,0.11,0.01,0.04
Eggert Vugge,-0.61,0.09,0.07,0.14,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kong Frederiks,-0.96,0.07,0.96,0.18,2,0.01,2,0.01,2,0.01,0.03,0.08,0.0,0.0
Rankzau,2.76,0.27,2.01,0.23,10,0.13,18,0.1,10,0.13,0.11,0.29,0.01,0.04
Vendelbo,0,0.12,1.76,0.22,4,0.04,5,0.02,4,0.04,0.07,0.18,0.0,0.0
Rantzans,0,0.12,0.0,0.13,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Gnds,0,0.12,-0.71,0.1,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
