source,target,timestamp
Hoffmann,Petersens,4
Petersen,Petersens,4
Hoffmann,ask,5
Hoffmann,eil,7
Hoffmann,Petersen,7
Christensen,Petersen,7
Christen,pe,8
Christen,Hurruraab,8
Christian,Hans,10
Christen Peersen,Christensen,11
Bruun,Fischer,17
Bruun,Fischer,31
Bruun,Fischer,34
Fischer,dæn,34
Brunn,Emil,43
Brunn,as,43
Brunn,as,43
Jesus,Judas,49
Bruun,Judas,49
Fischer-,Lucifer,55
Fischer,Guds,65
Bruun,Crøsus,66
Crøsus,Gud,66
Fischer,Ingres,68
Bruun,Christensen,70
Bruun,Christensen,71
Henriette,Henriette ifjor,80
Henriette,North,80
Bruun,Peersen,93
Bruun,Henriette,93
Chrisfensen,Peersen,96
Chrisfensen,Henriette,96
Henriette,North,96
Bruun,North,98
Gud,North,98
Bruun,North,112
Bruun,Christensen,113
Bruun,hans Villie,113
Bien,stig mig,115
Christensen,stig mig,115
Christensen,Te,115
North,Steen,120
Bruun,Peersen,127
Christensen,Tine,128
Christensen,mørknes,129
Christensen,Peersen,129
nn,nn Christensen,136
North,nn,136
Bruun,Christensen,147
Bruun,Busch,151
Busch,Christensen,151
k,z. Bruun,152
Djcevle,ester,154
Mollock,sia,156
Bruun,sia,156
Renard,Tu,166
Christensen,North,170
Bruun,Steen,171
Gin,iln,174
Bang,Emilie,175
Emilie,hnn,175
Adolf,Emilie,177
Adolf,Kong Frederik,177
Christensen,Nenard,179
Adolf,Emilie,180
Adolf,Emilie,181
Adolf,sinAand,182
Gustave,Poul cis Kocks,185
Emilie,Lieutenani,192
Emile,Emilie,192
Emilie,Walter,193
Emilie,Walter,193
Adolf,Emilie,193
Adolf,Emilie,196
Adolf,Dirk,197
Emilie,Johanne,200
Adolf,Emilie,201
Adolf,Iversen,211
Adolf,Hr. Bang,212
ban,ester,220
Nielsen,ban,220
Adolf,Bang,221
Adolf,Nielsen,228
Gud,Nielsen,230
Adolf,Nielsen,231
Emilie,Pluto,232
Pluto,Sophie,232
Renard,Sophie,232
Nenard Fischers,Nielsen,233
Mollock,Nenard Fischers,233
Adolf,Bang,236
Bang,Emilie,240
Emilie,Walther,241
Renard,Theodor,244
Bang,Theodor,245
Theodor,vidsf,245
Bang endeel Creditivsr,vidsf,245
Bang,Nielsen,246
Emilie,Walther,247
Adolf,Theodor,248
Adolf,Emilie,248
Christianfelt,Emilie,251
Emilie,Theodor,259
Emilie,Theodor,259
Emilie,hnn,262
Lucretias Nimbus,Theodor,265
Hr. Lieutnant,Walther,266
Theoidor,tht,267
Emilie,Theodor,269
Sandhev,Watlher,270
Gud,Watlher,270
Emilie,Theodor,271
Emilie,Theodor,272
Adolf,Theodor,272
Adolf,Theodor,273
Theodor,reqvireer,276
Adolf,Nielsen,279
Poul sko Kocks,Theodor,280
Adolf,Theodor,281
A,B,285
Adolf,Nielsen,290
Adolf,Carlo,298
Carlo,Emilie,302
Adolf,Emilie,303
Adolf,Theodor,304
Renard,Theodor,306
Adolf,Mille,310
Adolf,Emilie,312
Kee,sif,319
Adolf,sif,319
Adolf,Emilie,319
Emilie,Walther,319
Theodor,Walther,319
Theodor,Vangs,319
Emilie,Nielsen,320
Emilie,Walther,323
Emilie,Theodor,324
Bang,Emilie,326
Adolf,Nielsen,330
Adolf,Bang,332
Adolf,Nielsen,333
Emilie,Nielsen,333
Adolf,Bang,334
Adolf,Nielsen,336
Bang,Nielsen,337
Emilie,Walther,340
Nielsen,Walther,340
Nielsen,hnn,344
Bang,Emilie,345
Bang,Theodor,348
Theodor,Vangs,353
Emilie,Vangs,353
Adolf,Emilie,355
Emilie,Theodor,356
Emilie,Theodor,358
Hain,Theodor,360
Emilie,Hain,360
Renard,Theodor,361
Emilie,Theodor,366
Emilie,Hr. Nielsen,366
Emilie,Theodor,367
Emilie,sonl,367
Emilie,Theodor,368
Emilie,dyrebars,371
Emilie,Theodor,371
Bang,Theodor,371
Emilie,Valther,375
Emilie,Nielsen,376
Nielsen,Valther,380
Emilie,Valther,382
Emilie,Nielsen,382
Emilie,Theodor,386
Emilie,Renard,386
Nenard,Theodor,388
Renard,Theodor,389
Nenard,Theodor,390
Bang,Kjømand Bang,391
Bang,Emilie,391
Adolf,Emilie,391
Adolf,Walther,391
Walther,hnn,391
Adolf,hnn,391
Adolf,Emilie,391
Adolf,Emilie,391
Adolf,Emilie,391
Renard,Theodor,393
Renard,Theodor,399
Bruun,Renard,399
Bruun,Gud,399
Gud,IM »,399
Greve,j,401
Grev Lillienspare,Theodor,402
Nenard,Ten,406
Nenard,Ole Andersen,406
Johanne,Ole Andersen,406
Nenard strax,Oles,408
Oles,Tausheds,408
Nenard,Tausheds,408
Nenard,Ole,408
Nenard,Ole,408
Nenard,perselv,408
Paven,Theodor,423
Mollock,Theodor,424
Renard,sprugte Theodor,429
Ole,ivold,438
Ole,ivold,438
Andersen,Ole,438
Habakuk,Jerimias,439
Renard,Thomas,442
Renard,Theodor,442
JKjellringekram,Theodor,443
Ole,Theodor,445
Renard,Theodor,446
Ole Andersen,Renard,452
Renard,Theodor,462
Renard,Theodor,462
Renard,Theodor,463
Nenard,Theodor,466
Renard,Theodor,469
Emilie,Heinrich August Thedor Nielsen,470
Johanne,Walther,471
Arilds,Emilie,474
Christensen,Christine,488
Christensen,Jomfru Petersen,491
Jensen,Thorsen,503
Thorsen,hnn,504
Jensen,hnn,504
Christine,Thorsen,505
Christine,Jensen,505
Jensen,Jomfru Petersen,505
Christensen,Thorsen,510
Chrisfensen,Gud,513
Chrisfensen,Christine,513
Christine,Gud,516
Christensen,Magnussen,520
Gud,Magnussen,520
Gud,er Magnussen,520
Gud,ban,521
Gud,Magnussen,521
Gud,Magnussen,521
er Magnussen,lille Christine,522
hnn,lille Christine,522
Bien,hnn,522
Madam Magnussen,Marie,523
Madam,Stine,526
Christine,raabe,534
Greven,Madamme Magnnssen,540
Alexander,Gud,543
Alexander,Frankz,553
Alexander,Kjør,554
Kjør,Kudsk,554
Madame Magnussen,x,556
Madame Magnussen,jLg,556
Christine,Kjæresten,559
Alexander,Christian,564
Gud,Robert,568
Christine,øg,579
Christine,Tu,579
Alexander,Chrislian,581
Chrislian,Robert,584
Chrislian,Christine,585
Greven,veo,586
Alexander,Greve,589
Gud,Madam Magnnsens,591
Høne,Madam Magnnsen,592
Nielsen,fom Renard,602
Bang,fom Renard,602
Adolf,Bang,602
Emilie,Renard,603
Emilie,Theodor,603
Bang,Theodor,603
Bang,Emilie,603
Emilie,Theodor,603
Renard,Theodor,603
Renard,Theodor,603
Theodor,flippe,603
Renard,Theodor,605
Emilie,Theodor,606
LEgtemands,Theodor,607
Emilie,LEgtemands,607
Nenard,Theodor,609
Emilie,Nenard,609
Emilie,Walther,609
Emilie,Theodor,610
Emilie,Theodor,610
Emilie,Hnn,611
Hnn,j,611
Emilie,Theodor,612
HarDu,harDu,616
Emilie,Theodor,618
Emilie,Nenard,618
Emilie,Sophaen,619
Sophaen,Theodor,619
Emilie,Theodor,622
Magueritta,Theodor,626
Nenard,rasf,627
Theodor,rasf,627
Emilie,Theodor,628
Emilie,Renard,630
Adolf,Renard,630
Adolf,Walther,630
Emilie,Renard,633
Emilie,Renard,634
LEngsielfe,Renard,644
Nenard,Sophaen,650
Emilie,Renard kaldle,651
Emilie,Nenard,654
Christensen,Christine,658
Christensen,Theodor,661
Christensen,Theodor,663
Bruun,Christensen,667
Christensen,Herr Norlh,667
Nielsen,North,668
Nenard,Nielsen,668
Emilie,Theodor,669
Emilie,selg,669
Bruun,Renard,672
Renard,foi,672
Renard,Theodor,673
Bruun,Renard,673
Bruun,Emilie,673
Christensen,Emilie,673
Christensen,North,673
Emilie,Theodor,675
Emilie,alias Fischer,675
Christensen,alias Fischer,675
Christensen,Nemesis,675
Christensen,rasfe,683
Christine,rasfe,683
Christensen,Theodor,695
Emilie,hnn,698
Haabets,hnn,698
Emilie,Haabets,698
Emilie,Theodor,699
Theodor,ikkechvad,702
Emilie,ikkechvad,702
Emilie,Niddingsdaad/,707
Emilie,Theodort,708
Gud,Valther,709
Emilie,Walther,711
Magdalena,Theodor,712
Gud,Wallher,714
Theodor,Wallher,715
Emilie,Walther,716
Gud,Theodor,717
Gud,Nielsen,718
Emilie,Theodor,719
Emilie,Renard,719
Emilie,Lee,720
Emilie,Theodor,723
Renard,Theodor,724
Emilie,Theodor,726
Emilie,Theodor,726
Emilie,Theodor,727
Christensen,Emilie,727
Christensen,Theodor Nielsen,734
Theodor,Theodor Nielsen,734
Emilie,Theodor,738
Christensen,Theodor,738
Emilie,Theodor,745
Renard,Theodor,747
Detallid,Emilie,750
Renard,Theodor,751
Renard,Theodor,754
Emilie,Renard,754
Renard,Theodor,757
Renard,Theodor,758
Renard,Theodor,758
Nenard,tans,760
Renard,Theodor,761
Renard,Theodor,765
Speilet,Theodor,767
Renard,Theodor,768
Theodor ider,tilPandenthi,770
Nenard,tilPandenthi,770
Renard,Theodor,771
Nenard,Theodor,772
Emilie,Theodor,772
Renard,Theodor,773
Emilie,Renard,774
Renard,Theodor,775
Reuard,Theodor,775
Emilie,Reuard,775
Emilie,L *,775
L *,Renard,775
Renard,Streifpatrouille,775
Augustas,Axel,779
