Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hoffmann,-0.7,0.13,0.67,0.48,4,0.08,4,0.03,4,0.08,0.0,0.0,0.02,0.09
Petersens,0.67,0.31,0.67,0.48,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Petersen,-0.81,0.11,0.67,0.48,3,0.05,3,0.02,3,0.05,0.03,0.06,0.03,0.13
ask,0,0.22,1.21,0.52,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
eil,-0.81,0.11,0.04,0.44,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Christensen,3.45,0.68,2.59,0.62,22,0.55,32,0.27,22,0.55,0.24,0.5,0.16,0.7
Christen,-0.69,0.13,-1.56,0.33,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
pe,-0.69,0.13,0.0,0.44,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hurruraab,0,0.22,-0.71,0.39,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Christian,0,0.22,0.34,0.46,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.04
Hans,0.57,0.3,0.09,0.44,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Christen Peersen,0,0.22,0.02,0.44,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Bruun,0.53,0.29,2.23,0.59,14,0.34,24,0.2,14,0.34,0.17,0.35,0.11,0.48
Fischer,-0.96,0.09,-0.44,0.41,4,0.08,6,0.04,4,0.08,0.02,0.04,0.03,0.13
dæn,0,0.22,0.02,0.44,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Brunn,0.49,0.29,0.49,0.47,2,0.03,3,0.02,2,0.03,0.0,0.0,0.0,0.0
Emil,0.49,0.29,0.49,0.47,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
as,0.49,0.29,0.49,0.47,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Jesus,-0.94,0.09,-0.61,0.39,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Judas,-0.94,0.09,-0.61,0.39,2,0.03,2,0.01,2,0.03,0.02,0.04,0.01,0.04
Fischer-,0.84,0.33,0.2,0.45,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lucifer,0,0.22,-0.09,0.43,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guds,-0.85,0.11,-0.86,0.38,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Crøsus,0.52,0.29,0.63,0.48,2,0.03,2,0.01,2,0.03,0.04,0.08,0.0,0.0
Gud,0.92,0.34,7.3,0.94,17,0.42,20,0.17,17,0.42,0.16,0.33,0.14,0.61
Ingres,0,0.22,0.09,0.44,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Henriette,-1.06,0.08,-0.66,0.39,4,0.08,5,0.04,4,0.08,0.04,0.08,0.01,0.04
Henriette ifjor,-0.95,0.09,0.71,0.49,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
North,2.3,0.53,1.97,0.57,7,0.16,10,0.08,7,0.16,0.1,0.21,0.03,0.13
Peersen,0.91,0.34,2.07,0.58,3,0.05,4,0.03,3,0.05,0.05,0.1,0.0,0.0
Chrisfensen,-0.13,0.2,-0.94,0.37,4,0.08,4,0.03,4,0.08,0.04,0.08,0.0,0.0
hans Villie,0,0.22,-0.33,0.41,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Bien,0.16,0.24,0.0,0.44,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
stig mig,0.16,0.24,0.0,0.44,2,0.03,2,0.01,2,0.03,0.03,0.06,0.0,0.0
Te,0,0.22,0.19,0.45,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Steen,0,0.22,0.14,0.45,2,0.03,2,0.01,2,0.03,0.03,0.06,0.0,0.0
Tine,0,0.22,0.54,0.47,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
mørknes,0.9,0.34,0.83,0.49,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
nn,0.2,0.25,-0.09,0.43,2,0.03,2,0.01,2,0.03,0.01,0.02,0.01,0.04
nn Christensen,0.2,0.25,0.27,0.46,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Busch,-0.4,0.17,-0.34,0.41,2,0.03,2,0.01,2,0.03,0.05,0.1,0.0,0.0
