source,target,timestamp
David,Ieg,3
Gud,Milling,8
Kapitainen,Milling,12
Karl,Milling,17
davi,ester,22
Fisf,ester,22
Cecilie,Fisf,22
Cecilie,iland,22
Ester,Køt,24
Køt,Lange,24
Cecilie,Lange,24
Cecilie,Gud,24
Kapitain Holmstrøm,Ludvigsen,31
Gud,iland,32
Gud,iland,32
Præsfen,iland,32
Holmstrøm,Marie,35
Beiler,Ludvigsen,42
A,Gud,43
Nero,Wad,60
Gnomen,Nero,63
Mikkelsen,Nero,65
Herodes,aUne,66
Chrisfen Brændevin,Herodes,66
Christen Brændevin,Jokum,67
Christen,Jokum,67
Christen Brændevin,Herodes,76
Christen,l.,77
Christen,harman,77
Nina,Ninus,78
Claus,salig Wessels,80
Josef,Potifars,85
Josef,Niels,85
Martha,Niels,85
A,Martha,85
Holmstrøm,Ludvigsen,93
Henrik,Sørensen,96
Goliath,Holger Danske,99
Henrik Dobbel,Holger Danske,99
A,A houer,106
A houer,Henrik,106
Henrik,Moumettes,112
Karen,Moumettes,112
Henrik,Træflo,115
Henrik,Karen,116
A,Karen,117
Henrik,Ole Mikkel,122
Fisf,Ole Mikkel,122
Fisf,Ole Mikkel,122
Gud,Ole Mikkel,122
Gud,Ole Mikkel,122
Ole Mikkel,Torsfen,122
Henrik,Ole Mikkel,123
Ole,Ole Mikkel,123
Karen,Ole Mikkel,124
A,Henrik,125
A,Henrik,132
A,Karen,133
A,Henrik,133
Fovahl,Henrik,133
Fovahl,Karen,133
ester Henrik,høilys,134
Henrik,Præsfen,138
Henrik,Karen,138
Henrik,Moumette,141
Mette,Moumette,141
Henrik,Mette,141
Henrik,Mette,143
Henrik,Mette,146
Henrik,Mette,146
Gud,Mette,146
Henrik,ester,148
Mette,ester,148
Henrik,Karen,150
A,Mette,151
Henrik,kanskesens,153
Henrik n,Mette,155
Henrik,Mette,155
Henrik,Mette,155
Henrik,Mette,155
Henrik,Mette,158
A,Mette,159
A,Mette,159
A,Karen,159
A,Karen,159
Karen,Mette,162
Karen,Mette,162
Karen,Moumette,162
Henrik,Mette,163
Henrik,Moumette,168
Henrik,Mette,169
A,Mette,169
Hellemads,Mette,170
Mads,Praaten,171
Henrik,Praaten,171
Henrik,Mads,171
Mads,Mette,171
Henrik,Mette,173
A,Henrik,174
A,Henrik,174
A,Henrik,181
Henrik,krakile,186
Hans,ester,188
Moer,ester,188
Moer,Præsfen,189
Moer,Præsfen,189
A,Ane Vims,193
Duceur,Henrik,196
Gud,Nero,201
Nero,Tiberius,201
Kaptain Ludvigsens,suart,202
Henrik,Moumette,205
flnlle,hans Marie,206
Kok,Nero,207
Laura,ester,216
Gud,Laura,218
LEgirs,Netur,219
Mikkelsen,Præsfen,225
Svenningsen,Øe,230
Ludvigsen,Svenningsen,234
Skipper Huus,sial,236
Bruun,Skipper Huus,236
Bruun,Wad,236
Ludvigsen,Wad,236
Holmstrøm,iland,240
Holmstrøm,Marie,240
Marie,Svenningsen,240
Holmstrøm,Svenningsen,240
Holmstrøm,Marie,240
Holmstrøm,Marie,241
,Skipper Huus,242
,Ludvigsen,242
Ludvigsen,Marie,242
Hr. Nyholm,Marie,243
Hr. Nyholm,Ludvigsen,243
Ludvigsen,Marie,245
Huus,Marie,247
Huus,Ludvigsen,247
Hr. Wad,Ludvigsen,249
Ludvigsen,Marie,249
Hr. Wad,soer,251
Pasforen,fog,252
Ludvigsen,fog,252
Ludvigsen,Nyholm,252
Jettes,Ludvigsen,256
Hr. Nyholm,Jettes,256
Hr. Wad,Huus,259
Ferdinand,Gud,263
,Skipper Huus,264
,Ole,264
Gud,Ole,264
Gud,Ole,264
Ludvigsen,Ole,264
Me. Ludvigsen,Skipper Huus,265
Ludvigsen,Skipper Huus,265
Ludvigsen,nolsus valsns,266
Skipper Huus,atLudvigsens,267
Hr. Wad,Wad,268
Hr. Wad,Ludvigsen,268
Ludvigsen,Ruth,268
Ludvigsen,Maria,269
Ludvigsen,Maria,269
Ludvigsen,Maria,269
Ludvigsen,Maria,269
Ludvigsen,Maria,269
Holmstrøm,vcek,271
Ludvigsen,Marie,276
Marie,Svenningsen,276
Marie,Svenningsen,276
Marie,Svenningsen,276
Holmstrøm,Svenningsen,276
Holmstrøm,Marie,276
Marie,esterat,276
Holmstrøm,esterat,276
Holmstrøm,Marie,276
Marie,Svenningsen,276
Ludvigsen,Nils Peter Nilsen,278
Ludvigsen flnide,Nils Peter Nilsen,278
Ludvigsen flnide,Nils Peter Nilsen,278
Marie,Svenningsen,279
Holmstrøm,Marie,280
Nils Peter Nilsen,ihn,281
Ludvigsen,ihn,281
Huus,Skipper,284
Ludvigsen,Marie,288
Gud,Marie,292
Ludvigsen,Wad,294
Ludvigsen,Svenningsen,295
Ludvigsen,Wad,296
Dands,Ludvigsen,301
Dands,Wad,301
Moumette,Wad,301
Karen,Moumette,301
Karen,Ludvigsen,301
Henrik,Ludvigsen,301
Henrik,Moumette,301
Karen,Moumette,301
Huus,Karen,301
Wad,ester,302
Nero,ester,302
Holmstrøm,Svenningsen,304
Ludvigsen,hans Marie,305
Ole Nyholm Ludvigsen,hans Marie,305
