source,target,timestamp
D,Frøken Hjelm,1
Frøken Hjelm,Martha,1
Mads,Marthe,2
Ane,Mads,2
Ane,Gud,2
Ane,Martha,4
Frøken Hjelm,Martha,7
Frøken Hjelm,Martha,8
Frøken Hjelm,Martha,14
Ella Hjelm,Mads,17
Ella,Frøken Hjelm,18
Ella,Martha,18
Martha,lille Ella,20
Ella,Frøken Hjelm,22
Ella,Martha,22
Frøken Hjelm,Martha,22
Martha,Procurator Kaufmann,23
Gud,Procurator Kaufmann,24
Gud,Martha,24
Kaufmann,Martha,24
Frøken Hjelm,Mads sfal,25
Kaufmann,Mads,27
Frøken Hjelm,Kaufmann,29
Ester Maallidet,Frøken Hjelm,29
Ester Maallidet,Martha,29
Ella,Hanne,35
Brunhilde,Hanne,35
Kaufmann,ester,39
Frøken Hjelm,Martha,40
Martha,ester,41
Frøken Hjelm,Martha,41
Mads,Martha,42
Ella,Martha,44
Ella,Martha,45
Kaufmann fil Thorshoi,Martha,49
Ella,Martha,50
HanneS,Moders,53
Ella,Martha,55
Ella,Kaufmann,59
Kaufmann,ilive,59
Hjelm,ilive,59
Hjelm,Procurator Kaufmann,59
Ella,MarthaS,60
Hanne,Procurator Kaufmann,61
Ella,Thorshøi,64
Ella,Procurator Kaufmann,66
Maren,Thorshøi,67
Maren,Mette,67
Mette,Trine,67
Ella,Kaufmann,68
Frederik den Sjette,Wiedewelt,69
Ella,Kaufmann,70
Ella,Kaufmann,70
Kjære,Procurator Kaufmann,77
Ella,Procurator Kaufmann,77
Ella,Procurator Kaufmann,79
Ella,Procurator Kaufmann,81
Frøken Hjelm,Stills,82
Ella,Procurator Kaufmann,83
Ella,lille Ella,84
Martha,Thorshøi,92
Ella,Hanne,93
Hanne,Martha,93
Ella,Lehmann,95
Ella,Hanne,100
Martha,Thorshøi,101
Hanne,Thorshøi,101
Ella,Olga,103
Frøken Grøn,Olgas Gouvernante,104
Ella,Lehmann,105
Frøken Grøn,Olga,112
Hansen,lee,116
Hansen,Olga,117
Ella,Olga,119
Ella,Gouvernantes,119
Frøken Grøn,Gouvernantes,119
Frøken Grøn,Thee,119
Ella,Olga,123
Ella,Olga,124
Hanne,Olga,124
Hanne,Thorshøi,124
Olga,Thorshøi,124
Graad,Olga,124
Frøken Grøn,Gud,127
Ella,Frøken Grøn,129
Frøken Grøn,ester,129
Olga,ester,129
Ella,Olga,131
Ella,kjære,131
Hanne,kjære,131
Hanne,Martha,131
Ella,Lehmann,133
Ella,Olga,134
Ella,Frøken Grøn,134
Chrisfen,Olga,135
Chrisfen,Hansen,138
Chrisfen,Hansen,139
Ella,Hansen,139
Lehmann,ilu,140
Lehmann,Olga,140
Ella,Olga,141
Christen,Frøken Grøn,143
Ella,Olga,147
Ella,Tantalus,147
Ella,Hanne,151
Hanne,Thorshoi,152
Froken Grøn,Thorshoi,153
Froken Grøn,Olga,153
Christen nær,Hansen,154
Christen nær,Ella,154
Ella,Olga,154
Frøken Grøn,Olga,155
Frøken Grøn,Olga,155
Ella,Olga,156
Ella,Olga,156
Hanne,Olga,157
Hansen,Lehmann,160
Ella,Hansen,160
Ella,Lehmann,161
Ella,Lehmann,161
Frøken Grøn,Olga,165
Ella,Lehmann,168
Olga,serer Lehmanns,170
Ella,Olga,173
Olga,ester,174
Frøken Grøn,ester,174
Ella,Frøken Grøn,176
Ella,Hanne,178
Ella,Hansen,180
Frøken Grøn,Saabyes,181
Lehmann,Saabyes,181
Ella,Olga,182
Ella,Olga,182
Hanne,Olga,182
Ella,Spiis,185
Spiis,spiis,185
Ella,spiis,185
Ella,Frøken Grøn,189
Frøken Grøn,Olga,189
Ella,Olga,189
Ella,Lehmann,190
Ella,Olga,192
Frøken Bjerg,Olga,192
Frøken Bjerg,Olga,192
Ella,Olga,192
Ella,Olga,192
Ella,Olga,195
Ella,Lehmann,197
Ella,Frøken Grøn,199
Frøken Grøn,Olga,199
Ella,Tants,202
Hanne,Tants,202
Hanne,Martha,202
Martha,ester,202
Kaufmann,ester,202
Frøken Grøn,Olga,203
Ella,Frøken Grøn,203
Hanne,Olga,205
Ella,Lehmann,206
Gud,Olga,207
Frøken Grøn,Gud,209
Frøken Grøn,Olga,209
Lehmann,Olga,209
Ella,Frøken Grøn,210
Ella,Olga,212
Frøken Grøn,ester,216
Frøken Grøn,Olga,216
Frøken Grøn,Frøken Kaalund,219
Hanne,Thorshøi,221
Hanne,Thorshøi,221
Olga,Thorshøi,222
Ella,Olga,223
Ella,Hanne,223
Ella,Hanne,224
Ella,Olga,226
Capitain Oldenburg,Tanta,231
Saabyes,lus,232
Annette,Saabyes,232
Annette,Capitain Oldenburg,232
Capitain Oldenburg,Oberstens,232
Frøken Grøn,Oberstens,232
Frøken Grøn,as,237
Capitain Oldenburg,seil,238
Frøken Hildebrand,seil,238
Frøken Hellesen,Warnung,239
Saabyes,Warnung,240
Capitain Winding,Warnung,244
Major Bjerg,Mandsfeld,245
Major Bjerg,lille Maries,245
Maren,Marie,246
Maren,Marie,246
Doctoren,Maren,247
Mandsfeld,lee,249
Doctor Mandsfelds,ester,251
Hjelm,fil Thorshoi,253
Hjelm,Thorshøi,253
Froken,Thorshøi,253
Froken,Hanne,253
Hanne,Hanne Hjelm,253
Hanne,Lehmann,254
Hjelm,Thorshøi,256
Olga,sor,257
Ella,sor,257
Hjelm,Thorshoi,260
Hjelm,Thorshoi,260
Hjelm,Thorshøi,260
Capitain Stroier,Thorshoi,261
Ella,Martha,262
Ella,Martha,262
Martha,Thorshøi,262
Martha,Thorshøi,262
Ella,Martha,262
Ella,Olga,263
Ella,Martha,264
Ella,Martha,265
Ella,Frøken Grøn,265
Frøken Grøn,Martha,266
Frøken Grøn,Olga,266
Martha,Olga,266
Ella,Martha,266
Ella,kjærtegne,266
Ella,MarthaS,267
Martha,MarthaS,267
Ella,Olga,268
Ella,Frøken Hjelm,268
Frøken Hjelm,Hanne,268
Martha,Thorshøi,270
Lehmann,Martha,270
Ella,Martha,272
Ella,Martha,272
Hanne,Thorshøi,273
Ella,Martha,274
Frøken Grøn,Martha,274
Frøken Grøn,Olga,274
Lehmann,Olga,274
Lehmann,Martha,274
Ella,Martha,274
Ella,Mads,277
Froken Hjelms,Mads,277
Hanne,Kirkegaard,279
Martha,Olga,284
Jomfru Pingel,Martha,284
