source,target,timestamp
Nana,S. Bonaventuras,2
Nana,llsl lmon,2
' øonsiZIio,llsl lmon,2
' øonsiZIio,Pater Enscbio,2
Pater Enscbio,lnrcdc,2
Katholikcrnes,Pater Enscbio,3
Christne,Katholikcrnes,3
Christi,Christne,3
Christi,Pateren,3
Adele,hnn,4
Pater,hnn,4
Eusebii,Pater,4
Marietta,Signor Carnevale,5
Adelcs,Marietta,5
Adelcs,Scverino,5
Adele,Scverino,5
Adele,Pater Eusebio,5
Adele,Pater Eusebio,5
Adele,Scverino,5
Jakobus,Scverino,5
Jakobus,Thorwaldsens,5
Pater,Thorwaldsens,5
Adele,Pater,5
Otto,Padroncn,6
Padroncn,Trifoglios,6
Signor,Trifoglios,6
Anna Maria,Signor,6
Anna Maria,Philippica,6
Philippica,Thnnfisf,6
Maccaroni,Thnnfisf,6
Maccaroni,Otto,6
Otto,Signor Carnevale,6
Ciceros,Signor Carnevale,6
Adele,Ciceros,6
Adele,Kanccllierens,6
Adele,Signor Carnevale,7
Posfkasse,Signor Carnevale,7
Adele,Posfkasse,7
Adele,Severino,7
Adele,Severino,7
Adele,Gjæssenc,7
Gjæssenc,Otto,7
Vittorio,tom,10
Maccaroni,Maria,17
Cesare Fclice,sandf,19
Syndicns,erbebsf,22
Cesare,Syndicus,24
Gud,Syndicus,25
Cesare,Gud,25
Cesare,Syndicus,26
Logn,Ncrones,33
Jesus Maria,Logn,33
Otto,høilys,40
Cesare,Maria,41
Cesare,hnn,41
Maren,Maria,44
Dn,Maren,44
Syndicus,hnn,45
Cesare,Ieg,49
Cesare,Syndicus,49
Norma,Syndicus,49
S. Angelo,cndog,51
Cesare,S. Angelo,51
Cesare,Giuseppe,52
Giuseppe,hnn,53
Cesare,hnn,53
Posf,S. Angelo,60
KirkcgaardSmaren,S. Angelo,60
Cesare,Gud,67
Cesare,reisfe,67
Faarehyrdcns,Maria,69
Faarehyrdcns,Maria,69
Gravmaren,Hnndcn,74
Giuseppe,Syndicus,84
Hnn,hnn,85
Mathco,Matheo,87
Ncrone,ester,88
Matheo,Ncrone,88
Barilc,Matheo,93
Barilc,Neronc,93
Christi,Ncrone,102
Ncrone,S. Giovanni,106
Emmernc,S. Giovanni,106
Neronc,dct,108
Mathco,dct,108
Mathco,Nerone,108
Hoinltrct,hcle,115
Evangclie,Jesus,116
Jesus,Maria,116
Maria,ine,116
Jesu,Maria,117
Maria,el Gjcnstjær,117
Pater Anselmo,el Gjcnstjær,117
Norma,Pater Anselmo,117
Ncrone,Neronc,118
Matheo,mørkk,121
Mathco,Ncrone,123
Matheo,Ncrone,125
Matheo,cn blytung,126
Steen,cn blytung,126
Mathco,Matheo,127
Mathco,Slaaenc,130
Mathco,Nerone,132
Asen,Nerone,132
Matheo,Ora pro nobis,135
Neronc,tanse,137
Matheo,tanse,137
Matheo,Neronc,137
Neronc,Nerone,137
Adele,hnn,139
Cesare,Hans Loeollovra,142
Cesare,Hans Loeollovra,142
Cesare,Norma,143
Norma,Vannutcllis,143
Padrone Luigi,Vannutcllis,143
Ccsare,Cesare,146
Adele,Anna Maria,147
2ro Oolonna,Adele,147
Cesare,Gnbernatorcn,148
Adele,Signor Fclice,149
Norma,Signor Fclice,149
Adele,Norma,149
Adele,Norma,149
Cesare Fclicc,heell,152
hnn,lille Cesare,154
Severino,ester,163
Severino,Signor Carnevale,163
Carlo,Signor Carnevale,163
Abate,Carnevale,165
Adele,Severino,167
Otto,Severino,167
Otto,Signor Carlo,167
Adele,Signor,168
Carncvalc,Signor,168
Carncvalc,Signor Carnevale,168
Otto,Signor Carnevale,168
Kaneellierc,Otto,168
Adele,Kaneellierc,168
Adele,Signor,168
Molest,Signor,168
Adelcs,Molest,168
Otto,Signor Carncvale,170
Adele,Signor Carncvale,170
Adele,Anna Maria,170
Anna Maria,Nino,170
Carncvale,Pater Eusebio,171
Carncvale,Nino,171
Nino,Pater Eusebio,171
Adele,Pater Eusebio,171
Adele,Dicgi,171
Dicgi,Madonna,171
Baldakin,Prior,173
Prior,Steen,173
Pietro,Signor Carnevale,175
Pater Eusebio,Signor Carncvale,176
Pater Eusebio,Signor Carnevale,176
Marietta,Signor Carnevale,176
Aalckarry,Marietta,176
Aalckarry,Pietro,176
Pietro,Signor Carnevale,176
Signor Carncvale,Signor Carnevale,176
Jcrntangcn,kundc,177
Signor Carncvalc,kundc,177
Pietro,Signor Carnevale,179
Pietro,Signor Carnevale,179
Jcrntangcn,Pietro,179
Floitcns,Jcrntangcn,179
Floitcns,Signor Carncvale,179
Bfandens,Signor Carnevale,183
Bfandens,Theori,183
Signor Carnevale,Theori,183
Pietro,Signor Carnevale,184
Otto,Signor Carnevale,185
Signor Carnevale,drsi,185
Signor,drsi,185
Signor,Signor Carnevale,188
Pater Eusebio,Signor,189
Adele,Signor,195
Adele,Marietta,197
Madonna,hnn,198
Funtus,Hnn,199
Padrone,hnn,200
Luigi,Padrone,200
Luigi,Signor Carnevale,200
Søren,hnn,202
Signor Carnevale,Søren,202
Corso,kim Portneren,203
Marie,tilAugusf,204
Marioletti,tilAugusf,204
August,Marioletti,204
August,Flavius Amfithcater,204
Flavius Amfithcater,Vittorio,204
Mademoiselle Leonie,Vittorio,204
Keiserens,Mademoiselle Leonie,204
Augustus,Mademoiselle Leonie,205
Applaus,Augustus,205
Mademoiselle Leonie,Signor Carncvale,206
Cæsaren,S. Peter,207
Cæsaren,S. Peter,207
August,S. Peter,207
,August,207
,S. Peter,207
August,S. Peter,207
Cæsarernc,Signor Carnevale,208
Cæsar,Cæsarernc,208
Cæsar,rcgjerc,208
fhi,rcgjerc,208
Christus,fhi,208
Christus,Leiesvendc,208
Leiesvendc,Schakaler,208
Adam,Signor Carnevale,210
Adam,Voltaire,210
Daggry,hans lottros,211
hans lottros,lasciv,211
lasciv,son,211
Gud,son,211
Pateren,Signorina,212
