source,target,timestamp
Glenten,Mikkel,1
Glenten,Guds,1
Margaret Mogensdatter,Margrethe,2
Folmer Hansen,Margaret Mogensdatter,2
Folmer Hansen,Rud,2
Lauridsen,Margaret Mogensdatter,3
Kong Frederik,Lauridsen,3
Kong Frederik,Tjele,3
Genete Jakobsdatter Craigengelt,Tjele,3
Genete Jakobsdatter Craigengelt,bende,3
Knud,bende,3
Knud,Magaret,3
Folmer Rud,Margaret Mogensdatter,5
"Knud Mogensen Lövenbalk,",Margaret,7
"Knud Mogensen Lövenbalk,",Nielsdatter,7
Bruun,Nielsdatter,7
Bruun,Christoffer Enevoldsen Kruse,7
Christoffer Kruse,Thomas,8
Anna Enevoldsdatter,Thomas,8
Adre,Vigand,9
Tjele,Vigand,9
Adre,Tjele,9
Adre,Folmer Rud,9
Folmer,Guds,11
Folmer,Margaret,14
Broder Vigand,Folmer,15
Knnd Mogensen,Thomas Kruse,17
Thomas Enevoldsen,Vigand,18
Folmer Hansen,Thomas Enevoldsen,18
Folmer,Margaret,21
Folmer,Margaret,24
Christian,Kong Frederik,25
Christian,Kong Christian,25
Christian,Kong Christian,25
Morten Borups,frigoris Nuntiat hirundo,27
Terræe,frigoris Nuntiat hirundo,27
Terræe,maris,27
Renovato mundo,maris,27
Cedit,Renovato mundo,27
Cedit,dolor pectoris,27
Tempore jucundo.,dolor pectoris,27
AlttngS,Gud,32
Hans Tausens,Hestehoves,33
Hans Tausens,Thøger Løvenbalk,33
Broder Ambrosius,Thøger Løvenbalk,33
Broder Ambrosius,Gud,33
Gud,Thøger,33
Broder Ambrosius,Lluria sanotissiiua,34
Christi,Thøger,37
Ambrosins,Thøger,38
Ambrosins,Gud,38
Baal,Gud,38
Anna Pedersdatter,nn,40
nn,signe hende,40
nn,signe hende,40
Gud,nn,40
Ambrosins,Gud,41
Gud,dandsef,41
Vittenberg,dandsef,41
Morten Luther,Vittenberg,41
Ambrosins,Gud,44
Ambrosins,Gud,44
Gud,Thøger,45
Broder Ambrosius,Gud,46
Broder Ambrosius,Thøger,47
,Broder Ambrosius,47
Ambrosius,Gud,50
Broder Ambrosius,Thøger Løvenbalk,52
Broder Ambrosius,Broder Thøger,52
Ambrosius,Broder Thøger,52
Ambrosius,Thøger,52
Ambrosius,Thøger,52
Thøger,Thøger Løvenbalk,54
Jesus Christus,Thøger Løvenbalk,54
Ambrosins,Broder Thøger,55
Ambrosins,Broder Thøger,55
Benedicts,Thøger,57
Benedicts,Bernhardiners,57
Bernhardiners,ollurta oaritatm,57
Benedicts,ollurta oaritatm,57
Ambrosius,Bernhard,58
Ambrosius,Thøger Løvenbalk,58
Ambrosius,Peder,62
Ambrosius,Ove Bilde,62
Elsebeth Rud,Ove Bilde,62
Elsebeth Rud,Nielsen,62
Bilde,Nielsen,62
Bilde,Gud,62
Maren,Thøger,65
Erik Pedersen Skrams,Maren,65
Ambrosius,Vigand,67
Gud,Thøger,68
Gud,ei,68
Ambrosius,Gud,69
Ambrosius,Vigand,71
Hr. Mogens,Thøger,72
,Hr. Mogens,72
,Maren,74
Maren,Tjele,74
Broder Ambrosius,Jakobsdatter,75
Jakobsdatter,Mogens Lauridsen,75
Ambrosius,Thøger,76
Ambrosius,Thøger,77
Gud,Thøger,77
Gud,Thøger,78
Broder Ambrosius,Thøger Løvenbalk,79
Ambrosius,Thøger,80
Ambrosius,Rosenkrandsen,80
Rosenkrandsen,taus,80
Jens Jensen,Nielsen,81
Thøger,ilive,83
Geert Eriksen,ilive,83
Erik Eriksen,Geert Eriksen,83
Erik Eriksen,Geert,83
Knud,Margaret,84
Margaret,Vigand,84
Thøger,Vigand,84
Ambrosius,Thøger,84
Hr. Mogens,Tjele,85
,Hr. Mogens,85
,Mogens Jensen,85
Eiermands,Mogens Jensen,85
Eiermands,Eskild,85
Eskild,Ibsøns,85
Ellen,Ibsøns,85
Ellen,Svendsdatter af,85
Svendsdatter af,Tjele,85
Knud,Margaret,86
Jakobsdatter,Margaret,86
Genete,Jens,88
Hans Thordsen,Tjele,91
,Tjele,91
Hennings,Hr. Mogens,92
Erik Skram,Henning,95
Erik Skram,Hastrup,95
Else,Henning,97
Else,Priis,97
Henning,Priis,97
Henning,Hr. Mogens,97
Erik Eriksen,Hr. Mogens,97
Erik Eriksen,Løvenbalks,97
Løvenbalks,Pedersen Gyldenstjerne,97
Erik,Pedersen Gyldenstjerne,97
Anna,Jørgen,98
Anna,Laurids,98
Erik,Laurids,98
Erik,Maren,98
Erik Pedersen Skram,Fasti,99
Fasti,Kong Hans,99
Kong Hans,Skram,99
Skram,ban,99
Hr. Mogens,Maren Lauridsdatter,100
Fløiels,Hr. Mogens,100
Damasfes,Fløiels,100
Damasfes,Maren,100
Erik Skram,Maren,100
Maren,Morbroders,102
Jep Pedersen,Morbroders,102
Bilde,Erik Skram,105
,Bilde,105
,Maren,105
Karen Bilde,Maren,105
Erik Skram,Hr. Oves,106
Hr. Oves,Stygge,106
Erik,Maren,107
Erik,Maren,109
Genete Jakobsdatter,Maren,109
,Genete Jakobsdatter,109
,Maren,109
Erik,Thøger,111
Erik Skram,Thøger,113
Erik Skram,Thøger,113
Maren,Thøger,113
Hr. Mogens,Maren,113
Hr. Mogens,Thøger,113
Erik Skram,Gjøe,114
Christiern,Gjøe,114
Christiern,Thøger,115
Christiern,Luther,115
Christiern,Erik Skram,117
Christiern,Christoffer,117
Mogens,Thøger,120
Erik Skram,Maren,122
Erik,Maren,124
Maren,Thøger,124
Ambrosius,Thøger,124
,Ambrosius,124
,Tjele,124
Maren,Tjele,124
Erik Skram,Maren,124
Erik Skram,Knud,124
Knud,Margaret,124
Margaret,Vigand,124
Munkerænker,Vigand,124
Erik Skram,Thøger,125
Erik Skram,Maren,125
Folmer Rud,Margaret,126
Folmer Rud,Knud,126
Knud,Margaret,126
Folmer,Margaret,126
Folmer,Maren,126
Erik Skram,Maren,126
Erik Skram,Thøger,126
Folmer Hansen,Thøger,126
Folmer,Folmer Hansen,126
Folmer,Margaret,127
Knud,Margaret,127
Graamunk,skjemtefuldt,128
Knud,Margaret,129
Graamunk,Margaret,130
Folmer Hansen,Margaret Mogensdatter,133
Folmer Hansen,Maren,134
Folmer,Vigand,136
Erik Skram,Folmer,138
Egs,Margaret,141
Genete,Margaret,144
Eierindens,Margaret,144
John Craigengelt,Margaret,145
fhi,hans Beilen,147
Naadsens,fhi,147
Naadsens,William Grahame,147
Løvenbalks,William Grahame,147
Janet,Løvenbalks,147
Janet,Maren,147
Maren,Tjele,147
Maren,Tjele,147
Maren,Maren sledse,147
John,Karl,148
John Craigengelt,Karl,148
Kong Jakob I,Robert Grahames,149
Douglas,Kong Jakob I,149
Douglas,Erik Skram,149
Hans Thordsen,Tjele,150
Gud,Tjele,150
Genete,Margaret,152
Gud,signe,153
Jomfru Maria,Margaret,154
Genete,Margaret,155
Atqve semper virgo,Ave maris stella,157
Atqve semper virgo,Felix coeli porta,157
Margaret,Vigand,158
Genete,Vigand,158
Genete,Margaret,158
Genete,Margaret,159
Genete,Margaret,159
Genete,Margaret,162
Margaret,Moder kjære,165
Genete,Margaret,166
Gammensord,Margaret,167
Folmer Hansen,Gammensord,167
Folmer Hansen,Knud,167
Genete,Margaret,168
Margaret,kjær,168
Luther,kjær,168
Broder Vigand,Margaret,170
Genete,Vigand,171
Genete,Gud,171
Folmer Hansen,Margaret,172
Broder Vigand,Margaret,172
Folmer Hansen,Margaret,174
Genete,Margaret,178
Faster,Margaret,179
Faster,Folmer Hansen,179
Folmer Hansen,Folmer Hansen Rud,179
Genete,Margaret,180
Dn,Maren,181
Folmer Hansen,Maren,181
Folmer Rud,Maren,183
Maren,hnn,183
,hnn,183
,Margaret,183
Genete,Margaret,183
Gud,Margaret,184
Gud,Jesus,184
Chrisfus,Jesus,184
Genete,Margaret,185
Folmer Rud,Gud,187
,Hr. Mogens,188
,Margaret,188
Henning,Margaret,189
Knud,Margaret,189
Knud,Margaret,194
Knud,Margaret,194
Faster,Knud,195
Faster,Knud,195
Knud,Margaret,196
Knud,Margaret,199
Knud,Margaret,199
Knud,Margaret,201
Erik,Maren,202
Maren,eiUro,202
Knud,Margaret,204
