Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Mira,20.28,1.0,13.67,1.0,75,1.0,268,1.0,75,1.0,0.49,1.0,0.54,1.0
Zigeunerpige,0.12,0.16,-0.46,0.18,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Lene,-1.53,0.09,-2.13,0.08,9,0.11,21,0.07,9,0.11,0.1,0.2,0.03,0.06
Olava,-0.89,0.12,-0.95,0.15,9,0.11,19,0.07,9,0.11,0.09,0.18,0.03,0.06
Mathea,0.87,0.19,-0.18,0.19,2,0.01,6,0.02,2,0.01,0.01,0.02,0.0,0.0
Kari,1.07,0.2,-0.18,0.19,3,0.03,5,0.01,3,0.03,0.05,0.1,0.0,0.0
Guds,-0.51,0.13,-3.48,0.0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Ola,0.74,0.19,-0.79,0.16,18,0.23,31,0.11,18,0.23,0.19,0.39,0.07,0.13
ber,2.35,0.25,3.09,0.38,4,0.04,5,0.01,4,0.04,0.08,0.16,0.01,0.02
Adelheid,5.78,0.4,-0.58,0.17,16,0.2,29,0.1,16,0.2,0.19,0.39,0.05,0.09
Ola sfal,0,0.16,0.0,0.2,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Frøken Brede,1.85,0.23,3.63,0.41,11,0.14,18,0.06,11,0.14,0.14,0.29,0.02,0.04
Mira Grotte,-0.57,0.13,-0.38,0.18,2,0.01,2,0.0,2,0.01,0.04,0.08,0.01,0.02
Zigeunersks,0,0.16,-0.57,0.17,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frøken Grotte,0.06,0.16,1.96,0.32,12,0.15,16,0.06,12,0.15,0.14,0.29,0.03,0.06
Thomas,0,0.16,0.25,0.22,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Grevinde Cederskøld,-0.16,0.15,0.19,0.21,4,0.04,4,0.01,4,0.04,0.05,0.1,0.0,0.0
Zigeunerske,0,0.16,0.04,0.21,3,0.03,3,0.01,3,0.03,0.04,0.08,0.0,0.0
Margarethe,0.23,0.17,-0.22,0.19,2,0.01,6,0.02,2,0.01,0.04,0.08,0.01,0.02
Hammer,0.95,0.2,2.32,0.34,2,0.01,2,0.0,2,0.01,0.05,0.1,0.0,0.0
Gud,3.32,0.29,8.18,0.68,17,0.22,37,0.13,17,0.22,0.16,0.33,0.09,0.17
Baron Silgestrem,-0.98,0.12,0.0,0.2,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
