source,target,timestamp
Admiral Parker,Stricker,10
Niels Jusl,Tordenskjold,12
Dansfe,Norsfe,14
Capitain Jessen,Niels,20
Capitain Jessen,Longen,20
Arab,Longen,20
Ellen,Niels,22
Ellen,Orlogs,22
Christianus Qvintus,Niels,23
Christianus Qvintus,Niels Juel,23
Niels Juel,Seiren,23
Niels,Seiren,23
Ellen,Niels,24
Ellen,Niels,26
Niels,Olfert Fischer,28
Olfert Fischer,Peder,28
Gud,Peder,28
Niels,Peder Tordenskjold,30
Ellen,Søren,31
Ellen,Spren,33
Knud heed,Peter rask,35
Lise,Peder,46
Ole,Peder,46
Niels Andersen,Peder,51
Fløimand,Karl,60
Karl,srem,61
Ole,nn,62
Frederik,Nelson,64
Willemoes,nylia,65
Steen Andersen,Willemoes,67
Bille,Steen Andersen,67
Bille,Nelson,67
Nelson,Steen Bille,67
Olfert Fischer,Steen,68
Olfert Fischer,Steen Ville,68
Keiser,Kronprindsen,72
Keiser,Paul,72
Capitain Riisbrich,Lassen,74
Christian den,Reverdiils,82
Kronprindsen,Marie,86
Kronprindsen,Steen,86
Gustav,Steen,86
Gustav,Keiser Pauls,86
Keiser Pauls,Kong Gustavs,86
Gud,Kong Gustavs,86
Commandeur Fischer,Commandeur Steen Bille,87
Commandeur Steen Bille,jTillid,87
Olferf Fischer,jTillid,87
Bille,Olferf Fischer,87
Bille,Riisbrich,87
Riisbrich,jætte en,87
Capitain til at kommandere en saa betydelig,jætte en,87
Lord Horatio Nelson,Sir Hyde Parker,94
Commando,Lord Horatio Nelson,94
Nelson,Thomas Hardy,101
Nelson,Thomas Hardy,101
Capitain Rion,Nelson,103
Ekjærtorsdags,Hmlens,108
Niels Andersen,Peder,109
Ole,Peder,111
Karl,Ole,113
Peder,Steen,120
Lassen,Nelson,125
Lassen,Rasn,126
Lassen,Nelson,126
Lassen,Niels,127
Lassen,lange Ole,131
Lassen,spodsk,133
Michael,Ole,134
Edgars,Michael Ville,136
Kapitain Hardy,Nelson,143
Capitain Rious Eseadre,Kapitain Hardy,143
Capitain Rious Eseadre,Desiree,143
Olfert Fischer,ibrand,146
Capitain Braun,Capitain Lemming,147
Capitain Lemming,Lemming,147
Lemming,iland,147
Capitainlieutenant Egede,iland,148
Elvens,Thomas Fasting,155
Rothe,Thomas Fasting,155
Fearnley,Nelson,160
Nelson,Parker,161
Fearnley,Nelson,162
Stewart,Viceadmiral Nelson,164
Nelson,heis,168
Been,Nelson,170
Nelson,harr,172
Nelson,Parker,173
Nelson,Parker,173
Nelson,Parker,173
Captain Lorenz Fjelderup Lassen,Rasmus Rasn,178
Michael Bille,Rasmus Rasn,178
Michael Bille,Peder Andersen,178
Lassen,Peder,180
Lassen,Peder,181
Lassen,Peder Tordenskjold,181
Ole,Peder,184
Peder,lee,188
Ole,Peder,189
Ole,Peder,189
Ole,Peder,189
Ole,Peder,199
Ole,Peder,200
Lassen,brave Andersen,215
Afsfed,Lassen,215
Afsfed,Peder,215
Lassen,Peder,216
Hr. Kapitain,Lassen,216
Capitain Lassen,Niels stege,219
Capitain Lassen,Niels stege,219
Capitain Lassen,Willemoes,219
Peder,Willemoes,223
Admiral Nelson,Peder,226
Admiral Nelson,Nelson,226
Frederik Karl Ludvig Harboe,Harboe,234
Harboe,Parker,234
Nelson,Willemoes,237
Nelson,Parker,237
Fasting,Willemoes,238
Fasting,Willemoes,238
Fasting,Willemoes,239
Nelson,Willemoes,240
Fasting,Jochum Nicolai Müller,241
Jochum Nicolai Müller,Rofartsi,241
Elephant,Rofartsi,241
Lord Nelson,Nelson,242
Capitain Thurah,Willemoes,243
Capitain Koefoed,Charlotte Amalia,247
Capitain John Christian,fortalles,248
Kronprinds Frederik,fortalles,248
Kronprinds Frederik,Sexius,248
Sexius,ban,248
Prinden,ban,248
Fasting,kelte,251
Fasting,Olserf Fischer,251
Lilienskjold,hans Fregat,252
Capitain Arenfeldt,Fischer,253
Fischer,Holsfen,253
Fischer,Holsfen,256
Holsfen,Nelson,256
Stewart,Wallis,269
Nelson,Wallis,270
Nelson L Bronte,Sir Hyde Parker,275
Frederik Thesinger,Nelson,276
Kronprinds Frederik,Nelson,276
Capitain Thesinger,Capitain Thun,277
Capitain Thun,Fischer,278
Kronprinds Frederik,Nelson,280
Hans Lindholm,Nelson,280
Lindholm,Lord Nelson,282
Lord Nelson,Thesinger,282
Capitain Freemantle,Nelson,283
Ezar Paul,Lieutenant Muller,290
Grev Bernstorsf,Nelson,291
Christian den Syvende,Keiser Paul,294
Christian den Syvende,Kong Georg den Tredie,294
ChristianBernstorff,Nelson,296
Foley,frue,298
frue,sorbigaae Olfert Fischer,298
Foley,Nelson,299
Capitain Thesinger,Nelson,299
Elephant,Thesinger,300
Nelson,Steen,303
Capitain Thesinger,Nelson,319
Admiral Parker,Capitain Thesinger,319
Kronprindsen,Lindholm,320
Capitain Thesinger,Nelson,322
Capitain Thesinger,Lindholm,322
Lassen,Riisbrich,323
Riisbrich,Rothe,323
Nelson,Rothe,323
Lassen,Riisbrich,324
Nelson,Riisbrich,324
Lassen,Riisbrich,327
Lassen,Riisbrich,327
Maasfee,Riisbrich,327
Nelson,Rothe,329
Lassen,Riisbrich,332
Riisbrich,Steen Bille,332
Nelson bi,Rothe,333
Nelson,Nelson bi,333
Lassen,Riisbrich,337
Lassen,Riisbrich,338
Olfert Fischer,Riisbrich,338
Lindholm,Riisbrich,339
Lindholm,Nelson,339
Fischer,Rvthe,346
Fasting,Lassen,351
Fasting,Willemoes,351
Peder Andersen,Willemoes,351
Fasting,Lindholm,353
Nelson,Willemoes,355
Commandeur Fischer,Nelson,355
Nelson,Peder,356
Lassen,Seiren,362
Seiren,leer Nelson,362
Lassen,Nelson,364
Ganges,Willemoes,366
Ganges,Harboe,366
Lassen,Nelson,367
Capitain Schrødersee,Capitain Thurah,369
Capitain Schrødersee,Den Schrødersee,369
Den Schrødersee,Kjøn,369
Officeer,Parker,371
Nelson,Officeer,371
Capitain Braun,Olfert Fischer,372
Gud,Lassen,378
Harboe,iland,379
Grev Bernstorf,Steen Bille,382
Bernstorf,Lindholm,385
Admiral Bille,Lindholm,387
Lindholm,fom,389
Lord Nelson,fom,389
