Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Admiral Parker,0.69,0.09,0.98,0.1,3,0.03,4,0.02,3,0.03,0.03,0.07,0.0,0.0
Stricker,0.81,0.09,0.13,0.09,5,0.06,5,0.02,5,0.06,0.02,0.05,0.01,0.05
Niels Jusl,0,0.07,0.4,0.09,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tordenskjold,0.98,0.09,0.29,0.09,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Dansfe,0.88,0.09,0.35,0.09,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Norsfe,0,0.07,0.14,0.09,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Capitain Jessen,0.65,0.08,1.54,0.12,7,0.09,8,0.04,7,0.09,0.03,0.07,0.01,0.05
Niels,0.74,0.09,1.16,0.11,12,0.16,20,0.1,12,0.16,0.09,0.22,0.02,0.09
Longen,-0.26,0.06,0.31,0.09,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Arab,0,0.07,-0.3,0.08,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ellen,1.08,0.1,4.3,0.18,17,0.23,39,0.19,17,0.23,0.14,0.34,0.02,0.09
Orlogs,0,0.07,-0.38,0.08,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Christianus Qvintus,0.6,0.08,0.69,0.1,2,0.01,2,0.01,2,0.01,0.01,0.02,0.0,0.0
Niels Juel,1.19,0.1,0.81,0.1,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Seiren,1.31,0.1,0.14,0.09,4,0.04,4,0.02,4,0.04,0.02,0.05,0.01,0.05
Olfert Fischer,0.3,0.07,-0.89,0.06,8,0.1,8,0.04,8,0.1,0.06,0.15,0.01,0.05
Peder,34.47,1.0,42.91,1.0,70,1.0,199,1.0,70,1.0,0.41,1.0,0.22,1.0
Gud,10.47,0.35,13.86,0.38,28,0.39,49,0.24,28,0.39,0.25,0.61,0.09,0.41
Peder Tordenskjold,0,0.07,-0.84,0.07,2,0.01,2,0.01,2,0.01,0.02,0.05,0.0,0.0
Søren,0,0.07,0.21,0.09,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Spren,0,0.07,0.09,0.09,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Knud heed,0,0.07,-0.6,0.07,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peter rask,0.42,0.08,0.78,0.1,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lise,11.03,0.37,19.79,0.51,24,0.33,100,0.5,24,0.33,0.19,0.46,0.04,0.18
Ole,-2.15,0.01,1.01,0.11,7,0.09,16,0.08,7,0.09,0.06,0.15,0.01,0.05
Niels Andersen,-0.76,0.05,3.47,0.16,10,0.13,17,0.08,10,0.13,0.09,0.22,0.01,0.05
Fløimand,0,0.07,0.52,0.09,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Karl,0.64,0.08,0.86,0.1,8,0.1,8,0.04,8,0.1,0.06,0.15,0.0,0.0
srem,-0.16,0.06,0.56,0.1,3,0.03,3,0.01,3,0.03,0.04,0.1,0.0,0.0
nn,0.0,0.07,0.11,0.09,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frederik,1.32,0.1,1.32,0.11,8,0.1,8,0.04,8,0.1,0.08,0.2,0.01,0.05
Nelson,10.02,0.34,9.85,0.29,53,0.75,101,0.51,53,0.75,0.29,0.71,0.19,0.86
Willemoes,5.92,0.23,7.09,0.24,17,0.23,33,0.16,17,0.23,0.11,0.27,0.05,0.23
nylia,0,0.07,-0.17,0.08,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Steen Andersen,-0.14,0.06,-0.16,0.08,4,0.04,4,0.02,4,0.04,0.02,0.05,0.0,0.0
Bille,0.94,0.09,-0.58,0.07,8,0.1,9,0.04,8,0.1,0.08,0.2,0.02,0.09
Steen Bille,-0.78,0.05,-0.09,0.08,7,0.09,8,0.04,7,0.09,0.09,0.22,0.01,0.05
Steen,-0.34,0.06,-1.48,0.05,10,0.13,10,0.05,10,0.13,0.12,0.29,0.03,0.14
Steen Ville,0,0.07,-0.13,0.08,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
