Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Deodata,54.39,1.0,40.8,1.0,50,1.0,200,1.0,50,1.0,0.41,1.0,0.42,1.0
Gud,34.88,0.65,15.76,0.4,35,0.69,114,0.57,35,0.69,0.34,0.83,0.25,0.6
Maria Verner,0.94,0.04,0.91,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Villiam Lindal,0.94,0.04,0.44,0.04,2,0.02,3,0.01,2,0.02,0.0,0.0,0.0,0.0
Marias,0.94,0.04,0.03,0.03,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Lindal,9.61,0.2,3.02,0.1,7,0.12,23,0.11,7,0.12,0.07,0.17,0.09,0.21
Maria,3.45,0.09,0.75,0.05,5,0.08,11,0.05,5,0.08,0.09,0.22,0.02,0.05
Karls,0,0.03,-0.33,0.02,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Thomas,-0.21,0.02,0.94,0.05,3,0.04,4,0.02,3,0.04,0.01,0.02,0.03,0.07
Karl,0,0.03,0.0,0.03,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Villiam,0.92,0.04,0.62,0.04,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Maria Lindal,0.99,0.05,0.39,0.04,2,0.02,2,0.01,2,0.02,0.04,0.1,0.0,0.0
sidsfe,2.98,0.08,0.08,0.03,2,0.02,4,0.02,2,0.02,0.04,0.1,0.0,0.0
Jesus,-0.2,0.02,0.73,0.05,4,0.06,4,0.02,4,0.06,0.08,0.2,0.01,0.02
Deodata Lindals,0.49,0.04,0.58,0.04,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Kjøn,0.98,0.04,0.79,0.05,2,0.02,2,0.01,2,0.02,0.01,0.02,0.02,0.05
sine,0.98,0.04,0.86,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
tans,0,0.03,0.7,0.04,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Frøken Bregne,-0.64,0.02,-1.17,0.0,1,0.0,2,0.01,1,0.0,0.04,0.1,0.0,0.0
Kathinka,0.17,0.03,1.9,0.07,2,0.02,4,0.02,2,0.02,0.04,0.1,0.0,0.0
falsf,0,0.03,0.35,0.04,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Deodata Lindal,2.93,0.08,-0.48,0.02,3,0.04,4,0.02,3,0.04,0.06,0.15,0.02,0.05
elffes,-0.97,0.01,-0.16,0.02,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
iveien,0.35,0.03,-0.33,0.02,3,0.04,4,0.02,3,0.04,0.06,0.15,0.0,0.0
Stifdatter,0.56,0.04,0.54,0.04,1,0.0,2,0.01,1,0.0,0.04,0.1,0.0,0.0
Harald,24.05,0.46,1.88,0.07,28,0.55,125,0.62,28,0.55,0.28,0.68,0.2,0.48
Deodala,0.6,0.04,1.29,0.06,2,0.02,2,0.01,2,0.02,0.02,0.05,0.0,0.0
Vagner,-1.37,0.0,-0.9,0.01,5,0.08,6,0.03,5,0.08,0.11,0.27,0.01,0.02
hades,0,0.03,0.14,0.03,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Geodata,0.98,0.04,-0.13,0.02,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kvel,0.98,0.04,-0.59,0.01,2,0.02,2,0.01,2,0.02,0.03,0.07,0.02,0.05
sif Brudeslør,0.56,0.04,0.0,0.03,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Harald Vågner,0.99,0.05,-0.46,0.02,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
siv,0.99,0.05,-0.17,0.02,2,0.02,2,0.01,2,0.02,0.05,0.12,0.0,0.0
ester,0,0.03,0.12,0.03,1,0.0,1,0.0,1,0.0,0.04,0.1,0.0,0.0
Egeved,1.96,0.06,2.3,0.08,3,0.04,6,0.03,3,0.04,0.08,0.2,0.0,0.0
hnn,0.64,0.04,-0.27,0.02,2,0.02,3,0.01,2,0.02,0.06,0.15,0.0,0.0
Hlervig,8.58,0.18,3.48,0.11,15,0.29,35,0.17,15,0.29,0.23,0.56,0.05,0.12
Arnold,13.36,0.27,4.98,0.15,16,0.31,57,0.28,16,0.31,0.24,0.59,0.05,0.12
Præsf,0.99,0.05,0.52,0.04,2,0.02,2,0.01,2,0.02,0.06,0.15,0.0,0.0
Arnold Hlervig,1.8,0.06,0.14,0.03,2,0.02,3,0.01,2,0.02,0.07,0.17,0.0,0.0
Ingeborgs,0.97,0.04,5.95,0.17,2,0.02,2,0.01,2,0.02,0.04,0.1,0.0,0.0
Øe,-0.35,0.02,0.64,0.04,5,0.08,5,0.02,5,0.08,0.1,0.24,0.0,0.0
Ingeborg,23.28,0.44,11.75,0.31,20,0.39,121,0.6,20,0.39,0.26,0.63,0.11,0.26
Tys,0.83,0.04,0.0,0.03,2,0.02,2,0.01,2,0.02,0.03,0.07,0.0,0.0
Kirstine,7.16,0.16,2.06,0.08,6,0.1,10,0.05,6,0.1,0.09,0.22,0.04,0.1
Alfred,14.42,0.29,5.87,0.17,20,0.39,59,0.29,20,0.39,0.26,0.63,0.07,0.17
rasfe,-0.84,0.01,-0.57,0.01,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Thee,0.98,0.04,0.0,0.03,2,0.02,2,0.01,2,0.02,0.06,0.15,0.0,0.0
Stenberg,1.89,0.06,0.09,0.03,3,0.04,3,0.01,3,0.04,0.07,0.17,0.0,0.0
Elisabeth,10.73,0.22,6.56,0.18,13,0.24,49,0.24,13,0.24,0.17,0.41,0.06,0.14
Ingeborg Hlervigs,1.86,0.06,0.94,0.05,3,0.04,4,0.02,3,0.04,0.08,0.2,0.0,0.0
ane,0,0.03,0.0,0.03,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Thorberg,5.79,0.13,1.05,0.05,12,0.22,25,0.12,12,0.22,0.19,0.46,0.09,0.21
Pasfor Vendelbo,0.82,0.04,0.52,0.04,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Vendelbo,0.4,0.03,1.17,0.06,3,0.04,3,0.01,3,0.04,0.09,0.22,0.0,0.0
Pauli,0.85,0.04,0.17,0.03,2,0.02,2,0.01,2,0.02,0.07,0.17,0.0,0.0
lille Kristines,0.86,0.04,0.74,0.05,2,0.02,2,0.01,2,0.02,0.06,0.15,0.0,0.0
Visfnok,0,0.03,0.06,0.03,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Hlcrvigs,-0.59,0.02,0.11,0.03,2,0.02,2,0.01,2,0.02,0.06,0.15,0.0,0.0
Elisabeth Stenbergs,0.94,0.04,0.88,0.05,2,0.02,2,0.01,2,0.02,0.04,0.1,0.02,0.05
Husbonds,0,0.03,0.78,0.05,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dokfor Herløv,1.48,0.05,2.02,0.08,4,0.06,5,0.02,4,0.06,0.1,0.24,0.0,0.0
Axel Herlov,0.86,0.04,-0.29,0.02,2,0.02,2,0.01,2,0.02,0.05,0.12,0.0,0.0
Charlotte Corday,0,0.03,0.05,0.03,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jeanne d ' Arc,0.05,0.03,0.05,0.03,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Axel,17.58,0.34,5.05,0.15,13,0.24,39,0.19,13,0.24,0.21,0.51,0.03,0.07
Emilie Ribolt,0.79,0.04,0.52,0.04,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Herløv,2.27,0.07,1.58,0.07,12,0.22,17,0.08,12,0.22,0.23,0.56,0.02,0.05
Axel Herløv,1.19,0.05,0.86,0.05,6,0.1,8,0.04,6,0.1,0.11,0.27,0.03,0.07
Candidat Thorberg,-0.95,0.01,-0.23,0.02,5,0.08,6,0.03,5,0.08,0.08,0.2,0.02,0.05
Juul,0.03,0.03,-0.44,0.02,2,0.02,2,0.01,2,0.02,0.04,0.1,0.0,0.0
Deodafa,-1.53,0.0,-0.52,0.02,4,0.06,4,0.02,4,0.06,0.11,0.27,0.0,0.0
Dn,0.95,0.04,4.7,0.14,2,0.02,3,0.01,2,0.02,0.03,0.07,0.0,0.0
lille Elisabeth,0.56,0.04,-0.21,0.02,2,0.02,2,0.01,2,0.02,0.03,0.07,0.0,0.0
Elisabeth Stenberg,1.93,0.06,0.92,0.05,3,0.04,3,0.01,3,0.04,0.07,0.17,0.0,0.0
sfal,-0.49,0.02,-0.58,0.01,2,0.02,2,0.01,2,0.02,0.03,0.07,0.0,0.0
Zion,0,0.03,0.16,0.03,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Ingeborg Hlervig,0,0.03,0.0,0.03,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
,0.08,0.03,0,0.03,4,0.06,4,0.02,4,0.06,0.05,0.12,0.02,0.05
Johannes,0.82,0.04,0.13,0.03,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Chrisfus,0.82,0.04,0.15,0.03,2,0.02,2,0.01,2,0.02,0.04,0.1,0.0,0.0
Pasfor Hlervig,-0.15,0.02,0.38,0.04,1,0.0,2,0.01,1,0.0,0.02,0.05,0.0,0.0
Paulus,-0.17,0.02,0.0,0.03,2,0.02,2,0.01,2,0.02,0.04,0.1,0.0,0.0
Christen,1.77,0.06,1.06,0.05,2,0.02,4,0.02,2,0.02,0.03,0.07,0.0,0.0
Christus,1.59,0.06,0.66,0.04,4,0.06,5,0.02,4,0.06,0.05,0.12,0.02,0.05
Jesus Christus,0,0.03,0.33,0.04,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Lazarus,-0.78,0.01,-0.29,0.02,2,0.02,2,0.01,2,0.02,0.01,0.02,0.0,0.0
Jakob,0.75,0.04,0.17,0.03,2,0.02,2,0.01,2,0.02,0.02,0.05,0.03,0.07
Josef,0.75,0.04,0.17,0.03,2,0.02,2,0.01,2,0.02,0.0,0.0,0.02,0.05
Pastor Hlervig,0,0.03,-0.6,0.01,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
frisl,-0.96,0.01,0.17,0.03,2,0.02,2,0.01,2,0.02,0.05,0.12,0.0,0.0
