source,target,type,weight
Kjæresfe Aline,høiiys,Undirected,1
Carl,Søren,Undirected,1
Aline,Carl,Undirected,34
Aline,Tu,Undirected,1
Aline,Gud,Undirected,1
Kavaj,Kong Christians,Undirected,1
Gram,Kavaj,Undirected,1
Carl,Gram,Undirected,3
Carl,Tu,Undirected,1
Ane,Jær,Undirected,1
Carl,Ole Lukøie,Undirected,1
Carl,Faders,Undirected,1
Aline,ester Carl,Undirected,1
Aline,kenne,Undirected,1
Pharaos,l,Undirected,1
Ludvig den,Pharaos,Undirected,1
Grev Satanios,Greven,Undirected,1
Ludvig den,Satanio,Undirected,1
Fidtefadet,Schlangenbusch,Undirected,1
Aline,Carl øg Aline,Undirected,1
Aline,ikkeCarl,Undirected,1
Aline,Orne,Undirected,1
Orne,Slangenbusch,Undirected,1
Dr. Dam,Slangenbusch,Undirected,1
Dr. Dam,Satanio,Undirected,1
Carls Kjærlegn,bun,Undirected,1
bun,hnn,Undirected,1
Carl,hnn,Undirected,1
Carl,kenne Hulken,Undirected,1
Aline,Cael,Undirected,1
Carl,j g,Undirected,1
Tu,b,Undirected,1
Carl,Dn,Undirected,2
Carl,Moo,Undirected,1
Carl,Gud,Undirected,1
Gram,Niels Frandsens,Undirected,1
Niels Frandsen,Niels Frandsens,Undirected,1
Gjcrtrude,Niels Frandsen,Undirected,1
Gjcrtrude,Maram Frandsen,Undirected,1
Aline,Maram Frandsen,Undirected,1
Frandsen,Niels Frands n,Undirected,1
Caroline Mathi,Christian den Syvendes,Undirected,1
Carl,Theisner,Undirected,3
Carl Theisner,Theisner,Undirected,1
Aline Gram,Carl Theisner,Undirected,1
Aline Gram,Nette Niels Frandsens,Undirected,1
Gertrudes,Nette Niels Frandsens,Undirected,1
Gertrudes,Halvdeel,Undirected,1
Gertrude,Halvdeel,Undirected,1
Aline Moer Gertrudes,GjertrudcS,Undirected,1
GjertrudcS,Niels,Undirected,1
,Niels,Undirected,1
,Aline,Undirected,1
Aline,Moer,Undirected,4
Moer,Niels,Undirected,1
Aline,Niels Frandsen,Undirected,1
Gjertrude,Moer,Undirected,3
Aline,Gjertrude,Undirected,1
Niels,Nikolai,Undirected,1
Aline,Niels,Undirected,3
Gjertrude,huu,Undirected,1
Aline,huu,Undirected,1
Carl,deu,Undirected,1
Aline,deu,Undirected,1
Niels,Trut,Undirected,1
Carl,Moer,Undirected,1
Carl,Ibsen,Undirected,2
Jens,Jens Søllerød,Undirected,1
Dams,Slangcnbusch,Undirected,1
Slangenbusch,iled,Undirected,1
ester Slangcnbusch,iled,Undirected,1
chs,ester,Undirected,1
Slangenbulch,chs,Undirected,1
Bulow,Iahnsen,Undirected,1
Iahnsen,asen,Undirected,1
asen,ban,Undirected,1
Mansard,ban,Undirected,1
Frits,Theophile,Undirected,3
Jahnsen,Theophile,Undirected,2
bo,eg,Undirected,1
Bülows,Jahnsen,Undirected,1
Bülows,Sovckammer,Undirected,1
Turqe,or«,Undirected,1
Jahnsen,Turqe,Undirected,1
Frits,Tu,Undirected,1
Theophile,Tu,Undirected,1
Slangenbusch,Theophile,Undirected,1
Holten,Theophile,Undirected,1
Slangcnbusch,ieg,Undirected,1
F itS Jahnsen,Frederik den SjetteS,Undirected,1
Kavalleer Holten,Slangenbuich,Undirected,1
Bulow,else,Undirected,1
Holten,else,Undirected,1
Gud,Undcrordn-t,Undirected,1
Polililøitnantens,Undcrordn-t,Undirected,1
Jomfru Gram,lene,Undirected,1
Carl,Carv Hm,Undirected,1
Cour,Slangenbusch,Undirected,1
Carl,Lun,Undirected,1
Køngens,Slangenbusch,Undirected,1
Christian,mandine,Undirected,1
Ida,Verner,Undirected,11
Berner hapde,Ida,Undirected,1
Felix,Ida,Undirected,5
Breses,Felix,Undirected,1
Breses,Ida,Undirected,1
Felixes,Ida,Undirected,1
Ch,Felix,Undirected,1
Christian,Ida,Undirected,35
Iva,l,Undirected,1
Brese,Iva,Undirected,1
Ida,faus,Undirected,1
Brese,Christian,Undirected,7
Ben BrejeS,Christian,Undirected,1
Brese,Ida,Undirected,3
Brese,Verner,Undirected,3
Gud,Karo,Undirected,1
Christian,Verner,Undirected,8
Ida,mcqens,Undirected,1
Felix,Verner,Undirected,1
Felix,Rohde,Undirected,1
Gud,Ida,Undirected,3
Christian,vemodig,Undirected,1
Ida,vemodig,Undirected,1
DigHr,Ida,Undirected,1
Chrisfian,Verner,Undirected,1
D,t,Undirected,1
Ida,t,Undirected,1
Verner,jcg,Undirected,1
Verner,l Brese,Undirected,1
Piquet,Verner,Undirected,1
Christian,Puk,Undirected,1
Piquet,Puk,Undirected,1
Christian,Piquet,Undirected,1
Hans Brese,Verner,Undirected,2
Berner,Brese,Undirected,1
Ida,Rohde,Undirected,1
Chrisfian,Ida,Undirected,1
Brese,r j Verner,Undirected,1
Christian,r j Verner,Undirected,1
Ida,eg,Undirected,1
Christian,Hans Brese,Undirected,2
Christian,Gjertrude,Undirected,2
Gjertrude,Madam BreseS,Undirected,1
Brese,Tante GjertrudeS,Undirected,1
Gjertude,Moer,Undirected,1
Gjertude,Grethes,Undirected,1
Christian,Moer,Undirected,1
Christian,Kavaien,Undirected,1
Gud,Kavaien,Undirected,1
Christian,Gud,Undirected,4
Christian,Fatters,Undirected,1
Ester,kjere,Undirected,1
Chrisfian,t Faurbo Præstegaard,Undirected,2
Aline,Carl Theisncr,Undirected,1
Alexander den slore,Napoleon,Undirected,1
Alexander den slore,Raphael,Undirected,1
Aline,Karofte,Undirected,1
Carl,Mvm. Frandsen,Undirected,1
Grev Satanio,Slangenbusch,Undirected,1
Greven,Slangenbusch,Undirected,2
Carl,Christian,Undirected,13
Christian,Medes,Undirected,1
Medes,Niels Frandsen,Undirected,1
Carl,Ida,Undirected,4
Aline,Christian,Undirected,4
Aline,hans Ida,Undirected,1
Carl,hans Ida,Undirected,1
Aline,Christian thi,Undirected,1
Carl,Trude,Undirected,1
Aline,Borch,Undirected,1
Borch,Carl,Undirected,1
Christian,Jomfru Borch,Undirected,1
Carl,Papa,Undirected,1
Christian,Papa,Undirected,1
Christian,Gram,Undirected,1
Gjertrude,Gram,Undirected,1
Carl,Jomsru Borch,Undirected,1
Carl,Hr. Gram,Undirected,1
Carl fog,Christian,Undirected,1
Brvllup,Carl,Undirected,2
Dulcinea,Hr. Gram,Undirected,1
Hr. Gram,Steen,Undirected,1
Ida Verner,Imfr.,Undirected,1
Niels Frandsen,Tante Gjertrude,Undirected,1
Gjertrude,Mdm. Frandsen,Undirected,1
Aline,Mdm. Frandsen,Undirected,1
Don,Slangenbusch,Undirected,1
Filur,Slangenbusch,Undirected,1
Brese,Christian —,Undirected,1
Aline,Ida Verner,Undirected,1
Ida Verner,Schimmelman,Undirected,1
