source,target,type,weight
Brandt,Junker Brandt,Undirected,1
Junker Brandt,sladig,Undirected,1
lin,sladig,Undirected,1
Greven,Sliske,Undirected,1
Brandt,as,Undirected,2
Brandt,Oxen,Undirected,1
Heida,Kelner,Undirected,1
Brandt,Cæsar,Undirected,1
Brandt,Struense,Undirected,6
Brandt,Hofnar,Undirected,1
Struense,øg,Undirected,1
øg,øg Brandt,Undirected,1
Bjelder,Struense,Undirected,1
Brandt,Bravo,Undirected,1
Emilie,Rankzau,Undirected,2
Struense,ester,Undirected,1
Christian den,Frederik den,Undirected,1
Christian den Syvende,Holk,Undirected,1
Holk,Juliane Marie,Undirected,1
Juliane Marie,Kong Frederik den Femtes,Undirected,1
Juliane Marie,Mathilde,Undirected,5
Amalie Thot,Grev Rankzau,Undirected,1
Dronning Mathildes,Grev Rankzau,Undirected,1
Dronning Mathildes,Grev Holks,Undirected,1
Conferentsraad Struense,Grev Holks,Undirected,1
Bernsforff,Conferentsraad Struense,Undirected,1
Rantzau,skaan mig,Undirected,1
Brandt,skaan mig,Undirected,1
Brandt,Øder,Undirected,1
Brandt,Obersfen,Undirected,2
Obersfen,as,Undirected,1
Amalie Thott,Obersfen,Undirected,1
Rankzau,von Piessen,Undirected,1
Speilet,von Piessen,Undirected,1
Obersfen,Pahlen,Undirected,1
de Plaisir,farsk,Undirected,1
Brandt,Rantzau,Undirected,3
Bernstorff,Guldberg,Undirected,1
Guldberg,Otto Thott,Undirected,2
Otto Thott,Schimmelmann,Undirected,5
Caroline,Schimmelmann,Undirected,1
Livmedikus Struense,Struense,Undirected,1
Struense,Thott,Undirected,1
Caroline Mathilde,Thott,Undirected,1
Brandt,Caroline Mathilde,Undirected,1
Caroline Mathilde,Frederik den,Undirected,1
Caroline Mathilde,Struense,Undirected,5
Struense,hnn,Undirected,1
bersves,hnn,Undirected,1
Domino,Schak,Undirected,1
Struense,allehaande,Undirected,1
Bernstorff borr,Brandt,Undirected,1
Portefeuille,Struense,Undirected,1
Brandt,Kongen,Undirected,1
Julianes,Struense,Undirected,1
Mathilde,Struense,Undirected,1
Guds,Struense,Undirected,1
Guds,nei,Undirected,1
Bernstorff,Brandt,Undirected,1
Bernstorff,Struense,Undirected,4
Keraus,Struense,Undirected,1
Brandt,Keraus,Undirected,1
Hr. Greve,Methusalem,Undirected,1
Keiser,Poul den 3dies,Undirected,1
Keiser,Ruslavd,Undirected,1
Lybek,Peter den,Undirected,1
Bernstorff,Peter den,Undirected,1
Struense,Struensee,Undirected,1
Grev Bernstorff,Ikkun,Undirected,1
Brandt,Struensee,Undirected,31
Bernstorff,Struensee,Undirected,1
Caroline Mathilde,Struensee,Undirected,3
Caroline Mathilde,Rankzau,Undirected,1
Juliane Marie,Rankzau,Undirected,3
Christians,Struensee,Undirected,1
Comtessen,Struensee,Undirected,1
Christian,Frederik,Undirected,4
Christian,Struensee,Undirected,1
Brandt,Christian,Undirected,1
Christian,Mathilde,Undirected,4
Juliane Marie,jø,Undirected,1
Struensee,ef af disse Menneskebjerge,Undirected,1
Struensee,al Mathilde,Undirected,1
Piinsler,bæve,Undirected,1
Struensee,bæve,Undirected,1
Brandt,Cathrine,Undirected,1
Cour,Struensee,Undirected,1
Mathilde,Struensee,Undirected,8
Henrici,Schimmelmann,Undirected,1
Bernstorff,Thott,Undirected,1
Schak-Rathlau,Schimmelmann,Undirected,2
Guldberg,Struensee,Undirected,8
Schimmelmann,lee,Undirected,1
Otto Thott,lee,Undirected,1
Guldberg,Øoer,Undirected,1
Guldberg,Øder,Undirected,1
Schimmelmann,Strnensee,Undirected,1
Otto Thot,Strnensee,Undirected,1
Grev Thott,Schimmelmann,Undirected,1
Schak-Rathlau,Schimm^lmann,Undirected,1
Grev Struensee,Schak-Rathlau,Undirected,1
Hr. Greve,Nei,Undirected,1
D ,Rathlan,Undirected,1
Gud,høilys,Undirected,1
Grev Rathlau,Otto Thott,Undirected,1
Grev Rathlau,Schimmelmann,Undirected,1
Schimmelmann,ester Skjøn,Undirected,1
