source,target,type,weight
Bang,Kvist,Undirected,1
Hr. Petersen,Petersen,Undirected,4
Hr. Petersen,Toddyen,Undirected,1
Hr. Petersen,Humeur,Undirected,1
Petersen,deut,Undirected,1
Hansen,Petersen,Undirected,3
Ieg,Peter Berg,Undirected,1
Frøken Knob,Petersen,Undirected,1
Peter,Petersen,Undirected,3
Petersen,hans Lorgnet,Undirected,1
Peter,hans Lorgnet,Undirected,1
Frederik den,Peter Berg,Undirected,1
Peter Berg,Petersen,Undirected,2
Bravo,Hr Petersen,Undirected,1
Gud,Petersen,Undirected,4
Clara,Hr. Petersen,Undirected,1
Cathinka,Clara,Undirected,1
Caroline,Cathinka,Undirected,1
Caroline,Petersen,Undirected,1
Clara,Ginderups,Undirected,1
Clara,Petersen,Undirected,2
Bravo,lsd,Undirected,1
Chor,lsd,Undirected,1
Petersen,lee,Undirected,1
Hr. Petersen,Oscar,Undirected,1
Hr. Petersen,dos Petersens,Undirected,1
Caroline,Clara,Undirected,5
Caroline,Søren Rise,Undirected,2
Carøline,Søren,Undirected,3
Carøline,Graad,Undirected,1
Clara,Søren Rise,Undirected,1
Clara,Søren,Undirected,2
Caroline,soa,Undirected,1
Caroline,Søren,Undirected,2
Caroline,hamKdog,Undirected,1
Caroline,Søren Rije,Undirected,1
Caroline,ClaraS,Undirected,1
Caroline,Ginderups,Undirected,1
Ieg,Søren,Undirected,1
Hr. Petersen,Søren Rise,Undirected,2
Frederik den,Rasmus Petersen,Undirected,1
Enkcmadam Miller,Rasmus Petersen,Undirected,1
Barbara,Rasmus,Undirected,14
Peter,Rasmus,Undirected,2
Barbara,hnn,Undirected,1
Barbara pleier,Rasmus Petersen,Undirected,1
Rasmus,Svend,Undirected,4
Rasmus,ester,Undirected,1
Svend,ning,Undirected,1
Criscn,Rasmus,Undirected,1
Christian,Kong Frederik,Undirected,1
Christian,NaSmuS.,Undirected,1
Rasmus,dan,Undirected,1
Barbara,Christian voreke,Undirected,1
Barbara,Støi,Undirected,1
Christian,ban,Undirected,5
Dbrbara,ban,Undirected,1
Dbrbara,l „,Undirected,1
Christian,l „,Undirected,1
