source,target,timestamp
Bjørn,Bjørnsen,1
Bjørnsen,Bjørnsøn,1
Jannar 1846,Kong Christian,2
Jannar,Kong Christian,2
Bjørn,Olsens,6
Bjørn,Christian den,6
Olsen,fredie,8
Bjørn,Niels Juul,10
Bjørn,Olsen,15
Bjørn,Bjørnson,18
Mutter,Olsen,19
Christian den,Overskon,21
Christian den,Niels Juels,21
Niels Juels,Tordenskjolds,21
Christian den,Tordenskjolds,21
Bjørn,Madam Kruse,24
Bjørn,fog,25
Bjørn,Madam Jacobsen,32
Bjørn,Madam Jacobsen,34
Bjørn,Madam Kruse,34
Bjørn,Madam Kruse,36
Madam Jacobsen,Madam Kruse,40
Bjørn,Kruses,41
Bjørn,Madam Jacobsen,44
Bjørn,Madam Jacobsen,45
Bjørn,Madam Jacobsen,45
Bjørn,Madam Jacobsen,45
Bjørn,Lille Anna,46
Bjørn,Christian,47
Anna,Bjørn,48
Anna,Bjørn,48
Fanny,paany,53
Bjørn,Madam Jacobsen,61
Bjørn,Madam Kruse,61
Bjørn,Madam Kruse,63
Madam Kruse,ifjor,63
Bjørn,Madam Kruse,65
Bjørn,Madam Kruse,70
Bjørn,Madam Jacobsen,70
Madam Jacobsen,Madam Kruse,70
Madam Jacobsen,Madam Kruse,70
Bjørn,Madam Kruse,71
Rye,SchlepPegrell,74
SchlepPegrell,Wilster,74
Henckel,Wilster,74
Henckel,Moltke,74
Moltke,Tschako,74
Bjørnsen,Otto Frossing,76
Bjørnsen,Frossing,77
Bjørnsen,Selgren Bjørnsen,78
Otto Frossing,Selgren,84
Lientenanten,Selgren,94
Rønfelt,Selgren,97
Rønfelt,Selgren,97
Lehnsbaron,Rønfelt,97
Lehnsbaron,Selgren,97
Rønfelt,Selgren,97
Rønfelt,Selgren,100
Arnesens,Selgren,101
Rønfelt,Selgren,101
Dn,Rønfelt,105
Rønfelt,Selgren,106
Selgren,Voxne,106
Rønfelt,Selgren,107
Rønfelt,Selgren,112
Peer,Rønfelt,112
Bjørnsen,Bjørnson,113
Bjørnsen,Bjørnson,113
Bjørnson,Selgren Bjørnsen,113
Peter Bjørnsen,Selgren Bjørnsen,113
Jens Bjørnsen,Peter Bjørnsen,113
Jens Bjørnsen,Selgren,113
Carl,Peter Bjørnson,114
Carl,Emil,114
Emil,Midicin,114
Elisabeth,Midicin,114
Amalie,von Werlau,115
Amalie,Charlotte,115
Carl,Charlotte,115
Amalie,Carl,115
Amalie,Carl,115
Amalie,Carl,115
Amalie,Bjørnson,115
Maren,Mariane,118
Carl,Emil,122
Carl,Emil,125
Elisabeth,Emil,127
Hans Majesfæt,Kousine,128
Bjørnson,Hans Majesfæt,128
Bjørnson,Emil,133
Emil,Selgren,133
Emil,Selgren,142
Emil,Selgren,142
Emil,Guds,143
Emil,Selgren,146
Emil,Von,147
Emil,Selgren,147
Elisabeth,Selgren,147
Dn,Emil,148
Emil,Selgren,152
Elisabeth,Selgren,152
Elisabeth,dandser,152
Selgren,dandser,152
Emil,Selgren,152
Elisabeth,Selgren,153
Emil,Selgren,155
Dands,Emil,158
Dandsen,Otto Frossing,159
Charlotte,Otto Frossing,159
Kousine,Selgren,162
Elisabeth,Kousine,162
Elisabeth,Emil,162
Emil,Selgren,162
Frossing,Selgren,162
Selgren,slilles,163
Charlotte,Frossing,170
Kong Frederik den Sjettes,Prinds Ferdinand,171
Carl Bjørnson,Kong Frederik den Sjettes,171
Carl Bjørnson,Prinds Ferdinand,171
Prinds Ferdinand,Prindsen,171
Prindsen,Prindsessen,171
Charlotte,Prindsessen,171
Charløtte,Frossing,177
Emil,Frossing,177
Charløtte,Otto Frossing,179
Otto Frossing,Selgren,179
Rønfelt,Selgren,179
Prinds Ferdinand,Rønfelt,179
A,Rønfelt,182
Bjørn,Christian,184
Bjørn,Christian,186
Bjørn,Bjørnsen,187
Rønfelt,Selgren,190
Amalie,Karls,195
Amalie,Karl,195
Amalie,Karl,195
Amalie,Karl,195
Bjønson,Bjørnson,196
Charlotte,Elisabeth,198
Emil,Frossing,200
Emil,Frossing,202
Hr. Emil,Werlau,204
Emil,Kadet Frossing,209
Charlotte,Emil,210
Emil,Selgren,212
Rønfelt,Selgren,212
Rønfelt,Selgren,212
Rønfelt,Werlan,213
Lehnsbaron Rønfelt,Werlan,213
Lehnsbaron Rønfelt,Rønstrup,213
Elisabeth,Werlan,215
Elisabeth,Emil,215
Amalie,Emil,215
Amalie,Fortepiano,215
Fortepiano,Selgren,215
Selgren,dandse,220
Charlotte,Frossing,223
Charlotte,Werlan,223
Karl,Selgren,224
Charlotte,Werlau,226
Charlotte,Rønfelt,226
Charlotte,Rønfelt,226
Charlotte,Selgren,226
Frossing,Selgren,226
Charlotte,Frossing,226
Kafeen,Selgren,228
Charlotte,Selgren,230
Charlotte,Selgren,231
Charlotte,Selgren,232
Merlaus,Selgren,232
Merlaus,Rønfelt,232
Rønselt,Selgren,233
Kousine,Selgren,237
Frossing,Kousine,237
Frossing,Selgren,237
Emil,Frossing,238
Charlotte,Emil,238
Onkels,Werlau,241
Selgren,Werlau,241
Charlotte Werlau,Selgren,241
Charlotte Werlau,Rønfelt,241
Frossing,Rønfelt,242
Frossing,Rønfelt,244
Bjørn,Emil,248
Bjørn,Emil Bjørnson,248
Emil,Emil Bjørnson,248
Emil,Madam Bjørn,248
Emil,Madam Bjørn,248
Bjørn,Emil,248
Fanny Frederikke Bjørn,Olsen,249
Madam Kruse,Olsen,249
Bjørn,Madam Kruse,249
Bjørn,Kanoneer Kruse,249
Madam Bjørn,Olsen,250
Gud,Madam Ol sen,254
Frederik,Gud,254
Mutter,Olsen,255
Madam Kruse,Viby,258
Bjørn,Viby,259
Madam Bjsrn,Olsen,261
Bjørn,Madam Olsen,262
Erik Bøgh,Recke,263
Heibergs,Recke,263
Heibergs,Herkzes,263
Herkzes,Kong Christian,263
Anker,Jessen,264
Karl Jessen,iland,266
dandsed,iland,266
Jessen,Olsen,268
Jessen,Lougen,268
Lougen,engelsfe,268
Emil,Olsen,272
Bjørn,Madam Bjørn,273
Bjørn,Emil,274
Emil,Viby,278
Albertine,Jøsefine,284
Bjørn,Emil,286
Emil,Nyboders,293
Emil,Madam Kruse,295
Emil,Olsen,295
Madam,Olsen,299
Emil,Olsen,304
Emil,Hr. Olsen,307
Bjørn,Emil,312
Bjørn,Emil,312
Bjørn,Humeur,312
Bjørn,Humeur,312
Rønfelt,Selgren,313
Otto Frossing,Rønfelt,313
Amalie Bjørnson,Charlotte,314
Amalie,Amalie Bjørnson,314
Amalie,Frossing,314
Amalie,Frossing,314
Amalie,Frossing,314
Charlotte,Frossing,314
Amalie,Charlotte,314
Amalie,Charlotte,314
Charlotte,Frossing,319
Frossing,jø,319
Frossing,jø,319
Charlotte,Frossing,322
Charlotte,Stage,325
Emil,Frossing,327
Amalie,Charlotte,328
Charlotte,Frossing,329
Amalie,Charlotte,329
Hastrup,Otto Frossing,331
Charlotte,Frossing,335
Charlotte,Selgren,335
Rønfelt,Selgren,335
Rønfelt,Selgren,335
Bjørnson,Stage,336
Bjørnson,Stage,336
Bjørnson,Emil,336
Charlotte,Karl,345
Amalie,Stage,351
Amalie,Stage,351
Charlotte,Stage,351
Charlotte,Frossing,351
Frossing,lille Charlotte,351
Bjørnson,Werlau,352
Stage,Werlau,353
Emil,Stage,353
Charlotte,Selgren,354
Rønfelt,Selgren,354
Rønfelt,Werlan,354
Stage,Werlan,354
A,B.,357
B.,Frossing,357
Amalie,Charlotte,358
Amalie,Otto Frossing,358
Charlotte,Øe,361
Rønfelt,Selgren,369
Rønfelt,Øe,369
Stage,Øe,369
Amalie,Stage,369
Amalie,Selgren,369
Otto Frossing,Selgren,369
Otto Frossing,Selgren,369
Frossing,Selgren,369
Frossing,Selgren,369
Amalie,Selgren,369
Eugen Sues,Victor Hugos,372
Alexander Dumas,Eugen Sues,372
Alexander Dumas,Paul de Kock,372
Paul de Kock,Selgren,372
Karl af Rise,Selgren,372
Drost Peder Hessel,Karl af Rise,372
Otto Frossing,Selgren,373
Charlotte,Stage,374
Bjørnson,Charlotte,374
Bjørnson,Selgren,374
Rønfelt,Selgren,374
Charlotte,Rønfelt,374
Amalie,Charlotte,377
Amalie,Øe,380
Amalie,Øe,381
Amalie,Øe,383
Bjørnson,Selgren,387
Bjørnson,Karl,387
Emil,Karl,387
Bræstrup,Stage,388
Emil,Karl,392
Emil,Stage,392
Charlotte,Selgren,397
Amalie,Karl,401
Amalie,Karl,402
Amalie,Karl,402
Amalie,Karl,404
Amalie,Frossing,408
Emil,Selgren,409
Noers,Selgren,413
Emil,Selgren,415
Emil,Selgren,419
Emil,Selgren,419
Charlotte,Emil,419
Bjørn,Fanny,420
Christian,Fanny,420
Anna,Christian,420
Anna,Bjørn,420
Bjørn,Olsen,428
Madam Bjørn,Olsen,429
Bjørn,Madam Bjørn,429
Gejser,Najaden,433
Bille,Suenson,435
Christian der Achte,Suenson,435
Schow,Suenson,436
Christian der,Schow,436
Olsen,Siig Madam Kruse,437
Bjørn,Emil,442
