Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Bjørn,0,0,0,0,34,0.34,91,0.25,34,0.34,0.2,0.42,0.13,0.3
Bjørnsen,0,0,0,0,12,0.11,19,0.05,12,0.11,0.1,0.21,0.02,0.05
Bjørnsøn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Jannar 1846,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kong Christian,0,0,0,0,3,0.02,3,0.01,3,0.02,0.0,0.0,0.0,0.0
Jannar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Olsens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Christian den,0,0,0,0,4,0.03,4,0.01,4,0.03,0.01,0.02,0.02,0.05
Olsen,0,0,0,0,15,0.15,20,0.05,15,0.15,0.1,0.21,0.06,0.14
fredie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Niels Juul,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Bjørnson,0,0,0,0,18,0.18,37,0.1,18,0.18,0.19,0.4,0.02,0.05
Mutter,0,0,0,0,2,0.01,3,0.01,2,0.01,0.02,0.04,0.0,0.0
Overskon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Niels Juels,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Tordenskjolds,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Madam Kruse,0,0,0,0,6,0.05,16,0.04,6,0.05,0.04,0.08,0.01,0.02
fog,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Madam Jacobsen,0,0,0,0,2,0.01,11,0.03,2,0.01,0.02,0.04,0.0,0.0
Kruses,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Lille Anna,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Christian,0,0,0,0,7,0.06,16,0.04,7,0.06,0.08,0.17,0.0,0.0
Anna,0,0,0,0,7,0.06,10,0.02,7,0.06,0.08,0.17,0.01,0.02
Fanny,0,0,0,0,18,0.18,55,0.15,18,0.18,0.13,0.27,0.04,0.09
paany,0,0,0,0,8,0.07,9,0.02,8,0.07,0.11,0.23,0.0,0.0
ifjor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Rye,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
SchlepPegrell,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Wilster,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Henckel,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Moltke,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Tschako,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Otto Frossing,0,0,0,0,8,0.07,12,0.03,8,0.07,0.09,0.19,0.02,0.05
Frossing,0,0,0,0,14,0.14,38,0.1,14,0.14,0.13,0.27,0.03,0.07
Selgren Bjørnsen,0,0,0,0,12,0.11,18,0.05,12,0.11,0.1,0.21,0.02,0.05
Selgren,0,0,0,0,97,1.0,366,1.0,97,1.0,0.48,1.0,0.44,1.0
Lientenanten,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
Rønfelt,0,0,0,0,26,0.26,70,0.19,26,0.26,0.18,0.38,0.07,0.16
Lehnsbaron,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.1,0.0,0.0
Arnesens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Dn,0,0,0,0,4,0.03,5,0.01,4,0.03,0.08,0.17,0.0,0.0
Voxne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Peer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Peter Bjørnsen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
Jens Bjørnsen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
Carl,0,0,0,0,9,0.08,18,0.05,9,0.08,0.09,0.19,0.01,0.02
Peter Bjørnson,0,0,0,0,2,0.01,4,0.01,2,0.01,0.04,0.08,0.0,0.0
Emil,0,0,0,0,28,0.28,77,0.21,28,0.28,0.21,0.44,0.07,0.16
Midicin,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.06,0.0,0.0
Elisabeth,0,0,0,0,12,0.11,24,0.06,12,0.11,0.15,0.31,0.0,0.0
Amalie,0,0,0,0,28,0.28,78,0.21,28,0.28,0.25,0.52,0.05,0.11
von Werlau,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Charlotte,0,0,0,0,16,0.16,45,0.12,16,0.16,0.17,0.35,0.02,0.05
Maren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mariane,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
