source,target,timestamp
Karl,hans Praxis,5
Gud,Hanne,7
Christine,Hanne,15
Christine,Gud,19
Christine,Hanne,32
Christine,Hanne,32
Hanne,Thomas,33
Hanne,Thomas,33
Hanne,Thomas,35
Hanne,Thomas,35
Hanne,Thomas,36
,Thomas,42
Hanne,Thomas,43
Hanne,Lieutenanten,43
Hanne,Thomas,49
Hanne,Thomas,49
Clausen,Thomas,49
Clausen,Thomas,49
,Thomas,49
,Hanne,49
Hanne,Thomas,49
,Thomas,49
,Thomas,49
Roes,Thomas,49
Hanne,Roes,49
Hanne,Thomas,49
Architekf,Muurmesfer,51
Architekf,Gorm,51
Gorm,Honneurs,51
Gud,hnn,52
Abel,Christine,54
Christine,Justitsraad Gorm,54
Christine,taug,59
Christine,fil,66
Christine,fil,66
Abel,jnst de,72
Christine,Mama,74
Christine,Gumling,74
Abel,Christine,84
Abel,Christine,85
Abel,Christine,86
Gorm,Johan,89
Christine,Hanne boer,93
Clausen,Kraft,99
Clansen,Hanne,103
Brygger Kraft,Thomas,105
Brygger Kraft,Thomas,105
Hr. Kraft,Thomas,105
Hanne,Hr. Kraft,105
Hanne,Hr. Kraft,105
Krast,Thomas,107
Johannes Clansen,Thomas,108
Hektor,Thomas,109
Hektor,Thomas,109
Angusta,Hanne,110
Hanne,Marie,110
Kraft,Marie,110
Hanne,Thomas,112
Hanne,Thomas,112
Hanne,Thomas,112
Hanne,Marie,112
Hanne,Thomas,116
Hanne,Thomas,116
Hanne,Thomas,116
Hanne,Thomas,116
Augusta,Clausen,118
Clausen,Thomas,118
Clausen,Thomas,118
Clausen,Hanne,118
Augusta,Hanne,118
Augusta,Clausen,118
Christine,Hanne,120
Chrisfine,Hanne,121
Christine,Hanne,121
Chrisfine,Hanne,122
Abel,lille Christine,127
Christine,Gorm,131
Clansen,Gorm,133
Gorm,Selmer,141
Gorm,Selmer,141
B,Selmer,143
B,Gorm,143
Abel,Selmer,144
Christine,Selmer,144
Christine,Hanne,144
Gorm,Selmer,145
Gorm,Hanne,145
Abel,hnn,152
Abel,Selmer,152
Christine,Selmer,152
Abel,Christine,152
Bravo,Gumling,158
Abel,Bravo,158
Abel,Christine,158
Christine,von Gumling,158
Frøken Haffner,von Gumling,158
Frøken Haffner,Gumling,158
Abel,Christine,163
Abel,von Gumling,163
Richard Løvehjerte,von Gumling,163
Gumlinger,ester,164
Abel,Gumlinger,164
Abel,Diderik von Gumling,164
Abel,Diderik von Gumling,164
Abel,Gumling,164
Abel,Gumling,172
Gumling,Øe,172
Anastasius von Gumlings,Gumling,179
Abel,Gumling,179
Abel,Gumling,179
Abel,Gumling,179
Dokfor Clansen,Kraft,180
Augusta,Kraft,180
Augusta,Clausen,180
Clausen,Kraff,180
Clausen,Kraff,180
Clansen maaflee,Clausen,180
Augusta,Clansen maaflee,180
Augusta,Clansen,180
Clausen,Jusfitsraad Gorm,184
Gorm,Jusfitsraad,186
Augusta sorundrct,Gorm,186
Angusta,Gorm,192
Clausen,Gorm,194
Clausen,Gorm,196
Clausen,Gorm,196
Augusta,Clausen,196
Clausen,Methodisf,200
Augusta,Clausen,200
Augusta,Gorm,200
Frn Gorm,Gorm sknlde,201
Abel,Frn Gorm,201
Abel,Prinds,201
Abel,Christine,202
Clausen,Kraft,203
Gumling,Kraft,203
Gumling,Gumlingcr,203
Diderik von Gumling,Gumlingcr,203
Abel,Diderik von Gumling,203
Abel,Clausen,203
Clansen,Clausen,203
Clansen,Gorm,203
Abel,Gorm,203
Abel,Augusfa,203
Augusfa,Christine,203
Christine,Selmer,204
Gorm,Krog,205
Krog,Marv,209
Gorm,Marv,209
Gorm,Kvarts,214
Gorm,Krog,216
Gorm,Thomas Hammer,222
Gorm,Krog,223
Gorm,Selmer,226
Gorm,Gumling,230
Augusta,Gumling,230
Augusta,Christine,230
Christine,Mama,230
Abel,Augusta,231
Abel,Gnmling,232
Abel,Gnmling,232
Abel,Gumling,232
Abel,Gumling,233
Abel,Gumling,244
Abel,Gumling,247
Abel,Christine,251
Abel,Christine,251
Abel,iveien,251
Abel,Gud,253
Abel,lille Kousine,253
Abel,Selmer,255
Abel,Selmer,255
Christine,Gorm,256
Christine,Selmer,258
Abel,Selmer,258
Abel,Christine,258
Christine,Selmer,260
Christine,Selmer,260
Christine,Gorm,267
Hanne leiet,Kraft,270
Clausen,Kraft,270
Clausen,Thomas Hammer,270
Hanne,Thomas Hammer,270
Hanne,Thomas,270
Hanne,Thomas,270
Christine,Hanne,270
Christine,Hanne,271
Christine,Hanne,273
Christine,Gorm,275
Gorm,Hanne,275
Christine,Hanne,278
Christine,Hanne,280
Christine,Hanne,280
Christine,Hanne,280
Christine,Hanne,280
Chrisfine,Hanne,281
Chrisfine,Hanne,281
Christine,Hanne,285
Christine,Hanne,285
Christine,Hanne,285
Christine,Hanne,285
Hanne,Johan,285
Hanne,Johan,285
Bruun,Hanne,286
Hanne,Humeur,289
Hanne,hnn,291
Christine,hnn,291
Johan,Øe,294
Christine,fil,295
Christine,Hanne,295
Christine,Hanne,299
Christine,Hanne,299
Christine,Hanne,299
Christine,Hanne,299
Christine,Hanne,301
Christine,Selmer,303
Christine,Selmer,304
Christine,Hanne,305
Christine,Hanne,305
Hanne,Selmer,308
Hanne,Selmer,311
Hanne,Hr. Selmer,312
Hanne,tillive,315
Selmer,tillive,315
Christine,Selmer,315
Hanne,Tvedes,318
Christine,Tvedes,318
Christine,Hanne,320
Christine,Hanne,321
Christine,Tvedes,321
Selmer,Tvcdc,322
Tvcdc,nn,322
Christine,Selmer,323
Christine,Hr. Tvede,328
Gud,Selmer,329
Christine,Gorm,330
Christine,Gorm,330
Christine,Selmer,330
Christine,Tvede,331
Bruun,Christine,331
Bruun,Selmer,331
Hanne,Selmer,331
Hanne,Tvede,331
Christine,Tvede,337
Clara,Tvede,339
Frøken Hasfner,Tvede,341
Christine,Tvede,341
Christine,Hanne,345
Christine,Selmer,345
Hanne,Selmer,345
Christine,Hanne,345
Christine,Hanne,345
Hanne,Selmer,345
Christine,Selmer,345
Bruun,Christine,347
Chrisfine,Christine,347
Chrisfine,Hanne,349
Bruun,Chrisfine,352
Hanne,loe,354
Bruun,Chrisfine,355
Christine,Gud,357
Christine,Clara,358
Christine,Hanne,358
Hanne,Theodor,358
Christine,Hanne,359
Hanne,Tvede,359
Størsf,Tvede,359
Størsf,soni Voxlys,359
Tvede,soni Voxlys,359
Christine,Hanne,360
Christine,Theodor,361
Frøken Haffner,Theodor,361
Frøken Haffner,Theodor Tvede,361
Christine,Onkels,363
Christine,Fransf,367
Clara,Fransf,367
Clara,Gud,367
Selmer,Theodor,368
Clara,Tvede,369
Feilberg,Tvede,369
Feilberg,Theodor,369
Ferdinand Schuster,Selmer,371
Ferdinand Schuster,Tvede,371
Christine,Tvede,371
Christine,Selmer,371
Hanne,Selmer,371
Hanne,Theodor,371
Mozart,Tvede,372
Farbroders,Tvede,372
Philip,Theodor,373
Selmer,Theodor,373
Christine,Selmer,373
Christine,Theodor,376
Christine,Theodor,376
Frøken Hasfner,Tvede,378
Tvede,ester,378
Christine,Tvede,379
Theodor,Tvede,379
Selmer,Theodor,380
Selmer,Theodor,380
Selmer,Theodor,383
Hanne,Selmer,383
Hanne,Selmer,383
Selmer,Theodor,383
Selmer,Theodor,383
Clara,Theodor,384
Clara,Selmer,385
Clara,Theodor,386
Hanne,Theodor,387
Hanne,Selmer,387
Christine,Selmer,387
Christine,Tvede,387
Theodor,Tvede,387
Hanne,Theodor,387
Hanne,Selmer,387
Christine,Selmer,387
Hanne,Tvede,389
Theodor,Tvede,389
Selmer,Theodor,389
Christine,Selmer,389
Christine,Tvede,392
Mozart,Tvede,392
Mozart,Theodor,392
Chrisfine,Theodor,392
Ferdinand Haffner,Haffner,394
Ferdinand Christoffer Haffner,Theodor,395
Christine,Theodor,396
Christine,Hanne,400
Hanne,Theodor,400
Augusta,Christine,401
Christine,Hanne,402
Gud,Hanne,402
Angusta,Clausen,403
Clausen,Gorm,403
Angusta,Gorm,403
Angusta,hnn,403
Gorm,hnn,403
Augusta,Gorm,403
Augusta,næsfen,404
Bohave,hnn,405
Angusta,hnn,405
Augusta,lille Augusta,406
Augusta,Øe,411
Augusta,Øe,411
Augusta,Clausen,414
Clausen,Gorm,414
Augusta,Gorm,415
Angusta,Augusta,415
Augusta,Clausen,416
Augusta,Clausen,416
Augusta,Clausen,416
Augusta,Gorm,416
Augusta,Gorm,416
Clausen,Gorm,418
Clausen,Selmer,425
Gorm,Selmer,427
Clausen,Johansen,429
Johansen,Thomas,430
Hanne,Thomas,432
Clansen,Hanne,433
Clansen,Thomas,433
Clansen,Thomas,438
Christine,Thomas,440
Elvinæ,Thomas Marie,444
Elvinæ,Kong Hannibal,444
Kong Hannibal,Marie,444
Hannibal,Marie,444
Hannibal,Thomas,444
Christian,Thomas,444
Christian,hiin,444
Thomas,hiin,444
Hanne,Thomas,444
Hanne,Marie,444
Marie,Thomas,444
Marie,Thomas,444
Marie,Thomas,444
Tvede,hnn,445
Christine,hnn,445
Christine,Hanne,445
Christine,Hanne,445
Selmer,Tvede,446
Selmer,Tvede,446
Theodor,Tvede,446
Thee,Theodor,446
Frøken Hasfner,Selmer,447
Christine,Selmer,447
Hanne,Tvede,450
Hanne,Tvede,450
Christine,Selmer,451
Clara,Gorm,452
Clara,Hanne,452
Christine,Selmer,453
Christine,Hanne,454
Christine,Hanne,454
Christine,Hanne,454
Christine,Hanne,454
Christine,Hanne,454
Christine,Hanne,454
Christine,Hanne,454
Christine,Hanne,454
Christine,Tvede,455
Bruun,Christine,455
Bruun,Christine,457
Christine,Hanne,464
Christine,Hanne,464
Christine,Hanne,468
Christine,Hanne,469
Christine,Hanne,470
Christine,Hanne,470
Hanne,lee,470
Hanne,lee,470
Christine,Selmer,473
Christine,Theodor,473
hiin,j,476
Christine,hiin,476
Christine,Theodor,476
Theodor,Tvede,476
Theodor,Tvede,476
Bruun,Christine,477
Bruun,Christine,477
Bruun,Christine,477
Christine,Theodor,479
Frøken Haffner,Theodor,483
Gud,Theodor,483
Fransfe,Gud,483
Fransfe,Frøken Haffner,483
Bruun,Christine,490
Bruun,Theodor,490
Selmer,Theodor,490
Bruun,Selmer,490
Bruun,Christine,490
Christine,Selmer,490
Bruun,Selmer,490
Bruun,Selmer,490
Bruun,Selmer,490
Bruun,lee høit,490
Christine,lee høit,490
Christine,Theodor,490
Bruun,Christine,491
Christine,Christine fog,491
Christine fog,Hanne,491
Christine,Hanne,492
Hanne,Johansen,492
Johansen,Thomas,492
Hanne,Johansen,493
Christine,Thomas,497
Kraft,Thomas,497
Christine,Frøken Haffner,502
Frøken Haffner,lille Christine,502
Christine,Gorm,505
Christine,Gorm,505
Christine,Gorm,506
felv,lille Christine,508
Christine,Gorm,510
Christine,Hanne,517
Hanne,je^,523
Bruun,Støien,524
Bruun,Clausen,540
Hanne,Selmer,541
Hanne,Selmer,541
Hanne,Selmer,541
Christine,Johansen,542
Selmer,Thomas,545
Gorm,Gumling,547
Gumling,von,547
Gumling,von,547
Gumling,knn,547
Diderik von Gumling,Saffians,548
Diderik von Gumling,Gorm,548
Abel,Gorm,548
Abel,Augusta,548
Abel,Augusta,548
Abel,Augusta,548
Augusta,Gorm,548
Frederiksen,Poulsen,549
Petersen,Poulsen,549
Frederiksen,Poulsen,550
Petersen,Poulsen,550
Petersen,Svendsen,550
Gorm,Svendsen,550
Augusta,Bohave,551
Augusta,Gorm,551
Angusta,Gorm,551
Angusta,Augusta,552
Augusta,Gorm,552
Augusta,Gorm,552
Augusta,Clausen,560
Augusfa,Clausen,560
Augusfa,Clausen,560
Clansen,Gorm,562
Clansen,felv,563
Clausen,hnn,566
Angusta,hnn,566
Angusta,Dokfor Clansen,566
Augusfa,Dokfor Clansen,566
Augusfa,Clansen,566
Augusfa,Gorm,568
Gorm,Krog,568
Gorm,Krog,568
Gorm,Krog,568
Karl,Krog,568
Augusta,Karl,568
