Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Karl,0,0,0,0,5,0.07,7,0.03,5,0.07,0.05,0.14,0.01,0.02
hans Praxis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,11,0.18,15,0.06,11,0.18,0.16,0.46,0.01,0.02
Hanne,0,0,0,0,32,0.54,170,0.72,32,0.54,0.27,0.77,0.12,0.3
Christine,0,0,0,0,42,0.72,237,1.0,42,0.72,0.32,0.91,0.21,0.52
Thomas,0,0,0,0,20,0.33,75,0.31,20,0.33,0.16,0.46,0.07,0.18
,0,0,0,0,2,0.02,7,0.03,2,0.02,0.03,0.09,0.0,0.0
Lieutenanten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Clausen,0,0,0,0,23,0.39,57,0.24,23,0.39,0.23,0.66,0.06,0.15
Roes,0,0,0,0,3,0.04,3,0.01,3,0.04,0.05,0.14,0.0,0.0
Architekf,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.06,0.01,0.02
Muurmesfer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gorm,0,0,0,0,58,1.0,210,0.89,58,1.0,0.35,1.0,0.4,1.0
Honneurs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
hnn,0,0,0,0,19,0.32,33,0.14,19,0.32,0.21,0.6,0.04,0.1
Abel,0,0,0,0,28,0.47,80,0.33,28,0.47,0.19,0.54,0.14,0.35
Justitsraad Gorm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
taug,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
fil,0,0,0,0,1,0.0,3,0.01,1,0.0,0.02,0.06,0.0,0.0
jnst de,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Mama,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.06,0.0,0.0
Gumling,0,0,0,0,12,0.19,22,0.09,12,0.19,0.09,0.26,0.05,0.12
Johan,0,0,0,0,3,0.04,5,0.02,3,0.04,0.05,0.14,0.0,0.0
Hanne boer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
