Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Diana,0,0,0,0,58,1.0,198,1.0,58,1.0,0.34,1.0,0.29,1.0
Niels Skytte,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.09,0.0,0.0
def,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Knud,0,0,0,0,3,0.04,3,0.01,3,0.04,0.04,0.12,0.0,0.0
Niels,0,0,0,0,5,0.07,5,0.02,5,0.07,0.07,0.21,0.0,0.0
ester,0,0,0,0,24,0.4,36,0.18,24,0.4,0.22,0.65,0.06,0.21
Kudsk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
paany,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
KuS,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.06,0.01,0.03
fig,0,0,0,0,48,0.82,119,0.6,48,0.82,0.33,0.97,0.2,0.69
skens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Karlsen,0,0,0,0,15,0.25,27,0.13,15,0.25,0.15,0.44,0.03,0.1
Gud,0,0,0,0,19,0.32,38,0.19,19,0.32,0.2,0.59,0.05,0.17
Linds,0,0,0,0,7,0.11,7,0.03,7,0.11,0.03,0.09,0.02,0.07
Mo,0,0,0,0,6,0.09,6,0.03,6,0.09,0.05,0.15,0.01,0.03
lille Diana,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
lille Henrik,0,0,0,0,6,0.09,6,0.03,6,0.09,0.03,0.09,0.02,0.07
Gynt,0,0,0,0,7,0.11,9,0.04,7,0.11,0.09,0.26,0.01,0.03
Bjerres,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Diana høs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Chatollets,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
øg,0,0,0,0,6,0.09,7,0.03,6,0.09,0.05,0.15,0.01,0.03
Jens Krold,0,0,0,0,12,0.19,25,0.12,12,0.19,0.12,0.35,0.03,0.1
Marie,0,0,0,0,20,0.33,41,0.2,20,0.33,0.1,0.29,0.06,0.21
ban,0,0,0,0,24,0.4,45,0.22,24,0.4,0.21,0.62,0.06,0.21
Søren,0,0,0,0,31,0.53,81,0.41,31,0.53,0.18,0.53,0.12,0.41
Jens Kcold,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Jens,0,0,0,0,3,0.04,6,0.03,3,0.04,0.02,0.06,0.01,0.03
Pauls,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Nils,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Birthe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
