source,target,timestamp
Gud,Rigmor,1
Faders,Valdemar,2
Rigmor,Valdemar,6
Stendal,Valdemar,6
Cornelia,Rigmor,8
Cornelia,as,10
Cornelia,Valdemar,11
Cornelia,Rigmor,13
Richard,Valdemar,15
Cornelia,Sigurd,16
Dn,Sigurd,18
Cornelia,Sigfred Engberg,22
Cornelia,Rigmor,22
Rigmor,ester,22
ester,lille Rigmor,22
Sigfred,fig,23
Rigmor,fig,23
Cornelia,Sigfred,24
Sigfred,ester,25
Sigfred,Sigfred Engberg,26
Cornelia,Hr. Engberg,28
Sigfrid,Stendal,30
Sigfrid,Valdemar,30
Rigmor,hnn,34
Stendal,hnn,34
Bøgelund,Rigmor,44
Rigmor,Sigfred,48
Rigmor,Sigfred,50
Sigfred,Stendal,53
Rigmor,Sigfred,64
Gud,Rigmor,64
Sigfred,^sra,70
Eornelia,Sigfred,70
Eornelia,Sigfred,70
Rigmor,Sigfred,70
Rigmor,Sigfred,70
Rigmor,Sigfred,70
Rigmor,Sigfred,74
Sigfred,Stendal,81
Rigmor,Sigfred,85
Rigmor,Sigfred,86
Reifens,Rigmor,86
Reifens,Sigfred,86
Bøgelund,Sigfred,86
Bøgelund,Sigfred,86
Husbond,Sigfred,88
Rigmor,Sigfred,89
Rigmor,Rigmor elsfede,89
Rigmor elsfede,Sigfred,89
Sigfred,ester,90
Rigmor,Sigfred,91
Rigmor,Rigmor elsfede,91
Rigmor elsfede,Sigfred,91
Rigmor,Sigfred,92
Rigmor,Sigfred,93
Elsfer,Rigmor,93
Elsfer,Rigmor,93
Rigmor,Sigfred,97
Hr. Engberg,Rigmor,99
Hnsbond,Sigfred,103
Dn,Sigfrcds,106
Rigmor,taus,108
Rigmor,taus,108
Rigmor,Sigfred,108
Rigmor,Sigfred,110
Rigmor,Sigfred,110
Rigmor,hnn,113
Rigmor,Rigmor Engberg,114
Rigmor,Sigfred,118
Rigmor,Sigfred,118
Rigmor,Sigfred,118
Hr. Engberg,Sigfred,118
Hr. Engberg,Sigfred,118
Rigmor,Sigfred,119
Rigmor,Sigfred,120
Bøgelund,Rigmor,121
Rigmor,Sigfred,127
Sigfred,hnn,129
Rigmor,Sigfred,132
Rigmor,Sigfred,132
Rigmor,Sigfred,135
Rigmor,Sigfred,135
Birgitte,Sigfred,139
Rigmor,Sigfred,141
Rigmor,Sigfred,141
Gud,Rigmor,141
Gud,Rigmor,141
Rigmor,Sigfred,141
Hr. Engberg,Sigfred,142
Aaget,Sigfred,146
Gud,Sigfred,147
Gud,Sigfred,147
Rigmor,Sigfred,148
Rigmor,Sigfred,150
L ' hombre,Sigfred,152
Rigmor,Sigfred,153
Pasfor,Rigmor,153
Rigmor,Sigfred,157
Rigmor,Sigfred,157
Rigmor,Sigfred,159
Rigmor,Sigfred,159
Nigmors,Rigmor,161
Cornelia,Rigmor,173
Rigmor,Sigfred,180
Rigmor,Sigfred,180
Rigmor,Vorherr,180
Hr. Engberg,Vorherr,180
Birgitte,Rigmor,181
Rigmor,ask,186
Rigmor,ask,186
Rigmor,Sigfred,186
Gud,Sigfred,186
Gud,Rigmor,186
Rigmor,Sigfred,186
Rigmor,Sigfred,186
Rigmor,paany,188
Offre,Rigmor,189
Rigmor,Sigfred,193
Dn,Rigmor,195
Dn,Sigfred,195
Rigmor,Sigfred,198
Rigmor,Sigfred,201
Rigmor,Sigfred,202
Rigmor,Sigfred,204
Brun,Rigmor,210
Brun,L ' hombre,210
L ' hombre,Sigfred,210
Præsfens,Sigfred,210
Pastor Brun,Rigmor,214
Rigmor,Sigfred,218
Rigmor,Sigfred,218
Frn Engberg,Rigmor,224
Frn Engberg,hnn,224
Sigfred,hnn,224
Rigmor,Sigfred,224
Rigmor,blor,225
Forgjeves,Rigmor,225
Forgjeves,Rigmør,225
Rigmor,Rigmør,225
Rigmor,Sigfred,225
Birgitte,Rigmor,226
Sigfred,Sigfred Rigmors,235
Hr. Engberg,Rigmor,238
Hr. Engberg,Sigfred,238
Marie,Rigmor,243
Rigmor,Sigfred,256
Rigmor,Sigfred,266
Rigmor,Sigfred,267
Jakob,Rachel,275
Aare,Rachel,275
Gud,Sigfred,277
Gud,Sigfred,277
Dn,Sigfred,277
Rigmor,hnn,278
Sigfred,hnn,278
Rigmor,Sigfred,282
Cornelia,Rigmor,283
Rigmor,Sigfred,284
Hr. Engberg,Ørengen,288
Gud,Øe,293
Gud,asbrød,296
Gud,Hr. Engberg,297
Jørgens,Rigmor,300
Hr. Engberg,Jørgens,300
Hr. Engberg,stulde,300
Rigmor,Sigfred,311
Brun,Sigfred,311
Brun,Hr. Engberg,312
Hr. Engberg,Rigmor,312
Rigmor,Sigfred,313
Rigmor,Sigfred,315
Rigmor,Sigfred,321
Rigmor,Sigfred,321
Rigmor,Sigfred,321
Rigmor,Sigfred,321
Rigmor,Sigfred,321
Rigmor,Sigfred,323
Hr. Engberg,Rigmor,328
Rigmor,Sigfred,329
Rigmor,Sigfred,329
Rigmor,Sigfred,331
Rigmor,Sigfred,331
Gud,Sigfred,332
Rigmor,jæg,338
Rigmor,jæg,338
Rigmor,Sigfred,338
Sigfred,ask,338
Sigfred,jæg,339
Rigmor,Sigfred,341
Rigmor,Sigfred,344
Hr. Engberg,Keiser,345
Andersens,Keiser,345
Rigmor,Sigfred,347
Rigmor,Sigfred,347
Rigmor,Sigfred,353
Gud,Sigfred,354
Rigmor,paany,362
Jesus,Rigmor,362
Kapifell,sigfred,364
Argusoine,Rigmor,367
Argusoine,Taalmodig,367
Rigmor,Taalmodig,367
Rigmor,Sigfred,367
Rigmor,Sigfred,368
Rigmor,nn,371
Rigmor,Sigfred,374
Rigmor,Sigfred,374
Rigmor,Sigfred,375
Morbroder,Rigmor,375
Morbroder,Oluf,375
Rigmor,Sigfred,377
Rigmor,Sigurd,378
Rigmor,Sigurd,379
