Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Hr. Svendsen,0,0,0,0,25,0.27,38,0.26,25,0.27,0.21,0.43,0.06,0.19
Svendsen,0,0,0,0,8,0.08,8,0.05,8,0.08,0.11,0.22,0.01,0.03
Gud,0,0,0,0,17,0.18,25,0.17,17,0.18,0.15,0.31,0.04,0.13
Henrik,0,0,0,0,16,0.17,24,0.16,16,0.17,0.16,0.33,0.04,0.13
as,0,0,0,0,5,0.05,5,0.03,5,0.05,0.05,0.1,0.01,0.03
Høirc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Leonidas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sokrates,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Harald,0,0,0,0,15,0.16,29,0.19,15,0.16,0.16,0.33,0.03,0.1
Ida,0,0,0,0,25,0.27,46,0.31,25,0.27,0.17,0.35,0.07,0.23
Fløiels,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
hnn,0,0,0,0,10,0.1,15,0.1,10,0.1,0.1,0.2,0.02,0.06
jcg,0,0,0,0,89,1.0,145,1.0,89,1.0,0.49,1.0,0.31,1.0
Jcg,0,0,0,0,36,0.4,63,0.43,36,0.4,0.26,0.53,0.1,0.32
Frederik Krog,0,0,0,0,12,0.12,13,0.08,12,0.12,0.05,0.1,0.04,0.13
Muhameds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
lille Idas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Hanndcn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Herer Cæsar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tiberius,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Claudius,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Nero,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Agrippina den,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Liv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ieg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nemesis,0,0,0,0,4,0.03,5,0.03,4,0.03,0.04,0.08,0.0,0.0
Hr. Svendsen staac,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Gudskcelov,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
kjær,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nna,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Frederik,0,0,0,0,25,0.27,34,0.23,25,0.27,0.22,0.45,0.05,0.16
Jacobs,0,0,0,0,3,0.02,3,0.01,3,0.02,0.03,0.06,0.0,0.0
Franyaise,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Talang,0,0,0,0,2,0.01,2,0.01,2,0.01,0.01,0.02,0.0,0.0
Jcg sattc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Nci,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
tans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
taus,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
esterhaandcn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Thebordct,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Rosen reisfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
lee,0,0,0,0,6,0.06,6,0.03,6,0.06,0.03,0.06,0.02,0.06
Sophaen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
mcd,0,0,0,0,7,0.07,8,0.05,7,0.07,0.1,0.2,0.01,0.03
De gothiske,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Echo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Vesf,0,0,0,0,2,0.01,3,0.01,2,0.01,0.02,0.04,0.0,0.0
Dor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
hoi Nosf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Apollo Belvedcres,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Jngcn sormaaer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Rosens,0,0,0,0,2,0.01,3,0.01,2,0.01,0.02,0.04,0.0,0.0
Hnn,0,0,0,0,11,0.11,11,0.07,11,0.11,0.05,0.1,0.02,0.06
Clara,0,0,0,0,19,0.2,33,0.22,19,0.2,0.19,0.39,0.05,0.16
Frøken Svendsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
trocr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
igjcn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Sands,0,0,0,0,3,0.02,3,0.01,3,0.02,0.05,0.1,0.01,0.03
Frøken Stines,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Levald,0,0,0,0,7,0.07,12,0.08,7,0.07,0.11,0.22,0.01,0.03
dc,0,0,0,0,6,0.06,7,0.04,6,0.06,0.1,0.2,0.01,0.03
Dandsen,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Halvmaamn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Soliman,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
jcg raspc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
skjærc,0,0,0,0,2,0.01,2,0.01,2,0.01,0.01,0.02,0.0,0.0
Dct cr cn,0,0,0,0,2,0.01,2,0.01,2,0.01,0.04,0.08,0.0,0.0
Orion,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
dcn,0,0,0,0,3,0.02,4,0.02,3,0.02,0.05,0.1,0.0,0.0
ct,0,0,0,0,11,0.11,12,0.08,11,0.11,0.12,0.24,0.02,0.06
Harald Rosen,0,0,0,0,6,0.06,9,0.06,6,0.06,0.09,0.18,0.01,0.03
taalc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Pjalte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Ten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Alan,0,0,0,0,5,0.05,5,0.03,5,0.05,0.04,0.08,0.01,0.03
dct,0,0,0,0,15,0.16,18,0.12,15,0.16,0.13,0.27,0.03,0.1
cct,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Jcg maattc,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.08,0.0,0.0
Kong Lear,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Støi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
nf Arnolds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Arnold,0,0,0,0,60,0.67,96,0.66,60,0.67,0.34,0.69,0.23,0.74
mcgct,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
sphærc,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Elfenbens,0,0,0,0,2,0.01,2,0.01,2,0.01,0.04,0.08,0.0,0.0
saalcdes,0,0,0,0,3,0.02,3,0.01,3,0.02,0.02,0.04,0.0,0.0
Mechanist,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Draabernc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
dandscndc,0,0,0,0,2,0.01,2,0.01,2,0.01,0.06,0.12,0.0,0.0
Ahncr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
ilct,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
leie dct,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Brandt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Prindscn,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.01,0.03
Sidcn,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
dcn blcvcn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. Vesf,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
Attraa,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Dct,0,0,0,0,9,0.09,9,0.06,9,0.09,0.08,0.16,0.02,0.06
Kjærcre,0,0,0,0,2,0.01,2,0.01,2,0.01,0.06,0.12,0.0,0.0
maattc jcg,0,0,0,0,2,0.01,2,0.01,2,0.01,0.01,0.02,0.0,0.0
lillc,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.04,0.0,0.0
Jmorgen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Emilie,0,0,0,0,2,0.01,3,0.01,2,0.01,0.04,0.08,0.0,0.0
Henriette,0,0,0,0,2,0.01,3,0.01,2,0.01,0.01,0.02,0.0,0.0
Benfsteg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
