Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Holger,0,0,0,0,20,0.4,33,0.14,20,0.4,0.17,0.41,0.12,0.44
es,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Gud,0,0,0,0,22,0.44,42,0.18,22,0.44,0.22,0.54,0.13,0.48
Marie,0,0,0,0,16,0.31,29,0.12,16,0.31,0.21,0.51,0.05,0.19
Vilhelmine,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Salomon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
ji,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
lille Marie,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.05,0.0,0.0
sfal,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.1,0.0,0.0
Jens,0,0,0,0,49,1.0,233,1.0,49,1.0,0.41,1.0,0.27,1.0
vos,0,0,0,0,5,0.08,5,0.02,5,0.08,0.1,0.24,0.02,0.07
Malene,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.1,0.0,0.0
Elias,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Madam Sørensen,0,0,0,0,3,0.04,3,0.01,3,0.04,0.07,0.17,0.0,0.0
Holger Dansfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Morgana,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.1,0.01,0.04
Sørensen,0,0,0,0,5,0.08,5,0.02,5,0.08,0.04,0.1,0.01,0.04
Birte,0,0,0,0,2,0.02,2,0.0,2,0.02,0.01,0.02,0.0,0.0
Kaptejn Petersen,0,0,0,0,3,0.04,4,0.01,3,0.04,0.02,0.05,0.0,0.0
Petersen,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.05,0.0,0.0
Ola,0,0,0,0,22,0.44,65,0.28,22,0.44,0.24,0.59,0.11,0.41
Pisfolen,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.05,0.0,0.0
Kristus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Jens Sørensen,0,0,0,0,30,0.6,72,0.31,30,0.6,0.33,0.8,0.14,0.52
Povl Hansens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
H. S.,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.05,0.0,0.0
Karen Povls,0,0,0,0,3,0.04,3,0.01,3,0.04,0.05,0.12,0.0,0.0
Karen,0,0,0,0,12,0.23,48,0.2,12,0.23,0.23,0.56,0.03,0.11
Povl,0,0,0,0,19,0.38,104,0.44,19,0.38,0.27,0.66,0.05,0.19
Sidsfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Povl Hansen,0,0,0,0,10,0.19,24,0.1,10,0.19,0.19,0.46,0.02,0.07
Holger Sørensens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Valborg,0,0,0,0,32,0.65,184,0.79,32,0.65,0.32,0.78,0.2,0.74
Frank,0,0,0,0,2,0.02,3,0.01,2,0.02,0.06,0.15,0.0,0.0
Marie Sykones,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Peder ørnenæbsKjendingsnavn,0,0,0,0,2,0.02,2,0.0,2,0.02,0.05,0.12,0.0,0.0
Jesper,0,0,0,0,16,0.31,49,0.21,16,0.31,0.19,0.46,0.09,0.33
Hareulds,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.05,0.01,0.04
Jesper Kakkelovnsrør,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
b fluide,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
henders,0,0,0,0,2,0.02,2,0.0,2,0.02,0.05,0.12,0.0,0.0
Marie Sykone,0,0,0,0,3,0.04,3,0.01,3,0.04,0.04,0.1,0.05,0.19
Holbergs,0,0,0,0,2,0.02,2,0.0,2,0.02,0.03,0.07,0.0,0.0
Ingemanns,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.0,0.0
Morlille,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Jærn,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.05,0.01,0.04
Træflo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mette,0,0,0,0,17,0.33,35,0.15,17,0.33,0.21,0.51,0.06,0.22
Somme,0,0,0,0,2,0.02,2,0.0,2,0.02,0.05,0.12,0.0,0.0
Stine Mogens,0,0,0,0,2,0.02,2,0.0,2,0.02,0.01,0.02,0.01,0.04
Persen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Magdalene Skomagers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
Grete,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Jesper Røghat,0,0,0,0,5,0.08,5,0.02,5,0.08,0.08,0.2,0.01,0.04
Mariane,0,0,0,0,3,0.04,3,0.01,3,0.04,0.0,0.0,0.02,0.07
j,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Møllerens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
l,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.03,0.11
Holger Danske og,0,0,0,0,2,0.02,2,0.0,2,0.02,0.0,0.0,0.04,0.15
Magdalene,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.1,0.0,0.0
lille Jens,0,0,0,0,2,0.02,2,0.0,2,0.02,0.02,0.05,0.0,0.0
