Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Adam,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.1,0.0,0.0
Gud,0,0,0,0,43,0.53,84,0.33,43,0.53,0.26,0.62,0.17,0.41
Hasting,0,0,0,0,56,0.69,176,0.69,56,0.69,0.33,0.79,0.23,0.56
Marie,0,0,0,0,8,0.09,17,0.06,8,0.09,0.11,0.26,0.01,0.02
ottcaars,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Tu,0,0,0,0,17,0.2,35,0.13,17,0.2,0.14,0.33,0.05,0.12
øs,0,0,0,0,2,0.01,3,0.01,2,0.01,0.04,0.1,0.0,0.0
Kjære Hølman,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Holman,0,0,0,0,15,0.17,84,0.33,15,0.17,0.14,0.33,0.07,0.17
Dr. Pusey,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.01,0.02
bedsf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Charlotte Gerner,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
vidsfe,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Charlotte,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.02
kjære Holman,0,0,0,0,3,0.03,3,0.01,3,0.03,0.01,0.02,0.02,0.05
Frøken Charlotte Gerner,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Margrethe,0,0,0,0,81,1.0,253,1.0,81,1.0,0.42,1.0,0.41,1.0
Præsf,0,0,0,0,2,0.01,3,0.01,2,0.01,0.03,0.07,0.01,0.02
Hjeni,0,0,0,0,1,0.0,2,0.0,1,0.0,0.03,0.07,0.0,0.0
jø,0,0,0,0,2,0.01,3,0.01,2,0.01,0.04,0.1,0.0,0.0
Capellan,0,0,0,0,3,0.03,3,0.01,3,0.03,0.07,0.17,0.0,0.0
Præsteines,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.07,0.0,0.0
PastorHasfing,0,0,0,0,3,0.03,3,0.01,3,0.03,0.03,0.07,0.0,0.0
Capifel De to,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.07,0.0,0.0
k Figur,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.02,0.05
k,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.02
Bei,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.02
l,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Else,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.02
Jens Røgter,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.02
lille Margrethe,0,0,0,0,7,0.07,8,0.03,7,0.07,0.08,0.19,0.02,0.05
