source,target,type,weight
Alvitra,Axel,Undirected,6
Axel,Ulrika Cornelius,Undirected,1
Dands,Ulrika —,Undirected,1
Alvitra Barnay,Ulrika —,Undirected,1
Axel,Maia,Undirected,3
Alvitra,Maia,Undirected,2
Axel,alfor,Undirected,1
Alvitra,Rikardt,Undirected,1
Axel,Axel Cornelius,Undirected,1
Baron L—.,Rikardt,Undirected,1
Axel,Rikardt,Undirected,1
Alvitra,Madam Reimer,Undirected,1
Greven,Maia,Undirected,1
Axel,Greven,Undirected,3
Axel,Madam Krogh,Undirected,1
Line,taus,Undirected,1
Greven,Madam Krogh,Undirected,1
Gyntelberg,Vilhelm Krogh,Undirected,1
Axel Kornelius,Grev Axel,Undirected,1
Grev Axel,Vilhelm,Undirected,1
Greven,Vilhelm,Undirected,9
Kristian Olsen,Vilhelm,Undirected,1
Alvitra,Vilhelm,Undirected,3
Gud,ilaas,Undirected,1
Axel,Gud,Undirected,1
Vilhelm,iveien,Undirected,1
Komtessen,Vilhelm,Undirected,31
Komtessen,Pandora,Undirected,11
Alvitra,Pandora,Undirected,2
Axel,Vilhelm,Undirected,2
Axel Heinrik Ludvig,Axel Ringberg,Undirected,1
Axel äs,Barny,Undirected,2
Hansen,Trieft,Undirected,1
Pandora,Vilhelm,Undirected,3
Svolvstikken,Vilhelm,Undirected,1
Mo,Pandora,Undirected,1
Helga,Mo,Undirected,3
Helga,Pandora,Undirected,6
Christian Olsen,betvang,Undirected,1
Alvitra,Helga,Undirected,1
Axel,Komtessen,Undirected,3
Axel Cornelius,Vilhelm Krogh,Undirected,1
Axel Cornelius,Chrisfian Olsen,Undirected,1
Grev Barny,Greven,Undirected,1
Gud,Vilhelm,Undirected,3
Jomfru Estrups,Vilhelm,Undirected,1
Axel,Krogh,Undirected,1
Ferdinand,Vilhelm,Undirected,3
Ferdinand,Komtessen,Undirected,3
Greven,Komtessen,Undirected,7
Greven,Pandora,Undirected,6
Ferdinands Leie,Greven,Undirected,1
Ferdinands Leie,jhavde,Undirected,1
Ferdinand,Pandora,Undirected,18
Christian Olsen,dora Frederikke Olsen,Undirected,2
Barny,Hansen,Undirected,1
Axel,Greves,Undirected,1
Alvitra,Damms,Undirected,1
Barny,Olivia,Undirected,1
Olivia,Pandora,Undirected,9
Bachus,Richard,Undirected,1
Peter Byrke,Richard,Undirected,1
Lisette,hnn,Undirected,1
Endnn,Lisette,Undirected,1
Richard,Satan,Undirected,1
Olaf,Søren Hansen,Undirected,1
Richard,lille Lisette,Undirected,1
Mo ,er Svendsen,Undirected,3
Greve,Karl,Undirected,1
Greve,Richard,Undirected,1
Richard,er Svendsen,Undirected,1
Aurelia Selmer,Kristiansen,Undirected,1
Don Juan,Osvald Boberg,Undirected,1
Ferdinand,Helga,Undirected,1
Greven,Svendsen,Undirected,2
Greven,Richard,Undirected,4
Richard,Vexlen,Undirected,1
Grevinde Strømstjerne,Richard,Undirected,1
Greven,Nicoline Olsen,Undirected,1
Komtesse Alvitras,Nicoline Olsen,Undirected,1
Axel,Richard,Undirected,1
Aurelia,Pandora,Undirected,2
Pandora,seire,Undirected,1
Aurelia,Joseph Alarm Largetto,Undirected,1
Greven,hnn,Undirected,1
Fransf,hnn,Undirected,1
Greve,Saaret,Undirected,1
Kjøn,Vilhelm,Undirected,1
Greven,Madam Kortsen,Undirected,2
Frøken Hilda,Sofie,Undirected,1
Eugenik,Greven,Undirected,1
Greven,Rosa,Undirected,2
Eugenie,Greven,Undirected,4
Grevinde Strømstjerne,Z.,Undirected,1
Barny,Z.,Undirected,1
Barny,Louisdorer,Undirected,1
Anna,Strømstjerne,Undirected,3
Grev Barny,Strømstjerne,Undirected,1
Dein,nied,Undirected,1
Barny,nied,Undirected,1
Barny,Strømstjerne,Undirected,2
Komtessen,Svendsen,Undirected,1
Komtessen,er Svendsen,Undirected,1
Komtessen,Madam Svendsen,Undirected,2
