Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Dante,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dickens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bernadette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Prinds af,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.02
Hamelinaye,0,0,0,0,3,0.05,3,0.03,3,0.05,0.0,0.0,0.02,0.05
Herr von,0,0,0,0,2,0.02,3,0.03,2,0.02,0.0,0.0,0.01,0.02
von Levetzau,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Levetzau,0,0,0,0,5,0.09,6,0.07,5,0.09,0.0,0.0,0.04,0.09
Keisers,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.05,0.12
von Bardenfleth,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
von Haffner,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ehefen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Prindsen,0,0,0,0,5,0.09,6,0.07,5,0.09,0.0,0.0,0.27,0.63
Flaades,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Marechalens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Marquis de la Romana,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.0,0.0
Talleyrand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Keiserens,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.02
Marechalen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Souverain,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.02,0.05
Keiseren,0,0,0,0,5,0.09,5,0.05,5,0.09,0.0,0.0,0.07,0.16
Hidalgo de naturalezza,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
høs Marquis de la Romana,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Karl,0,0,0,0,5,0.09,6,0.07,5,0.09,0.04,0.07,0.03,0.07
sine Sfridt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Joseph,0,0,0,0,7,0.14,7,0.08,7,0.14,0.04,0.07,0.09,0.21
øg,0,0,0,0,3,0.05,3,0.03,3,0.05,0.03,0.05,0.28,0.65
Gud,0,0,0,0,7,0.14,8,0.09,7,0.14,0.11,0.2,0.05,0.12
Marie,0,0,0,0,11,0.23,19,0.24,11,0.23,0.14,0.25,0.06,0.14
Elsbeth,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.02
dunkell,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Castor,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.04,0.0,0.0
Heide,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
