Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Jesn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kristi,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
l Penge,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Holm,0,0,0,0,40,1.0,115,0.92,40,1.0,0.34,1.0,0.23,1.0
Johanne,0,0,0,0,26,0.64,54,0.43,26,0.64,0.27,0.79,0.1,0.43
Hr. Holms Cherub,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.09,0.0,0.0
Møller,0,0,0,0,28,0.69,72,0.57,28,0.69,0.27,0.79,0.16,0.7
Hr. Møller,0,0,0,0,4,0.08,4,0.02,4,0.08,0.05,0.15,0.01,0.04
Brøndum,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Marie,0,0,0,0,29,0.72,125,1.0,29,0.72,0.33,0.97,0.11,0.48
Marie Møller,0,0,0,0,23,0.56,51,0.4,23,0.56,0.28,0.82,0.08,0.35
sladens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
fig,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.15,0.0,0.0
Hansen,0,0,0,0,16,0.38,30,0.23,16,0.38,0.2,0.59,0.05,0.22
Carl,0,0,0,0,23,0.56,101,0.81,23,0.56,0.25,0.74,0.08,0.35
Carl Block,0,0,0,0,19,0.46,36,0.28,19,0.46,0.23,0.68,0.06,0.26
Madam Møllers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Clara,0,0,0,0,10,0.23,18,0.14,10,0.23,0.16,0.47,0.03,0.13
Frøken Holm,0,0,0,0,3,0.05,3,0.02,3,0.05,0.04,0.12,0.0,0.0
von,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.06,0.0,0.0
Grosferer Holms,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.15,0.0,0.0
Josephs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Faraos,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lsllum omnium,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Evropa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Knud den,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Stores,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Block,0,0,0,0,20,0.49,58,0.46,20,0.49,0.25,0.74,0.07,0.3
fror,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Elsfede,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.09,0.0,0.0
Methusalem,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.15,0.0,0.0
Sands,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.15,0.0,0.0
Karl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Karlen,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.09,0.0,0.0
Jødes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
skn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peter Møllers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
longe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Paslor Hansen,0,0,0,0,3,0.05,3,0.02,3,0.05,0.04,0.12,0.02,0.09
Johanne Abel,0,0,0,0,21,0.51,49,0.39,21,0.51,0.25,0.74,0.07,0.3
Rybergs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Black,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Johannes Blufærdighed,0,0,0,0,1,0.0,2,0.01,1,0.0,0.02,0.06,0.0,0.0
Holmblad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Cæsar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Madammen,0,0,0,0,3,0.05,6,0.04,3,0.05,0.04,0.12,0.0,0.0
ester,0,0,0,0,7,0.15,10,0.07,7,0.15,0.09,0.26,0.01,0.04
Madam Sommer,0,0,0,0,10,0.23,15,0.11,10,0.23,0.16,0.47,0.02,0.09
Vaarens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
hnn,0,0,0,0,2,0.03,3,0.02,2,0.03,0.05,0.15,0.0,0.0
Dumas,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.04
Paul de,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
fiis,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.02,0.09
Gud,0,0,0,0,15,0.36,22,0.17,15,0.36,0.12,0.35,0.11,0.48
Holbergs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.09,0.0,0.0
Chambertin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Petersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Don Johan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Putte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Clara Holm,0,0,0,0,4,0.08,6,0.04,4,0.08,0.08,0.24,0.0,0.0
