Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
"Svend,",0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Wachmann,0,0,0,0,66,0.4,251,0.3,66,0.4,0.23,0.55,0.12,0.29
Bønhas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
pellas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Anne,0,0,0,0,26,0.16,84,0.1,26,0.16,0.1,0.24,0.02,0.05
Svend,0,0,0,0,12,0.07,17,0.02,12,0.07,0.08,0.19,0.01,0.02
fil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Oret,0,0,0,0,9,0.05,9,0.01,9,0.05,0.03,0.07,0.01,0.02
Ester,0,0,0,0,6,0.03,11,0.01,6,0.03,0.06,0.14,0.0,0.0
Adam,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Ernst,0,0,0,0,10,0.06,22,0.02,10,0.06,0.03,0.07,0.01,0.02
Ørenge,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
itte,0,0,0,0,27,0.16,49,0.06,27,0.16,0.13,0.31,0.03,0.07
Holger Danske,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Niels,0,0,0,0,11,0.06,12,0.01,11,0.06,0.05,0.12,0.01,0.02
Carolus magnus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Karl den store,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ernsf,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Ernst Wachmann,0,0,0,0,5,0.02,7,0.01,5,0.02,0.01,0.02,0.01,0.02
ester,0,0,0,0,16,0.09,27,0.03,16,0.09,0.1,0.24,0.02,0.05
Vessel,0,0,0,0,2,0.01,3,0.0,2,0.01,0.02,0.05,0.0,0.0
Mutter,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Madammen,0,0,0,0,3,0.01,3,0.0,3,0.01,0.01,0.02,0.0,0.0
A,0,0,0,0,6,0.03,18,0.02,6,0.03,0.06,0.14,0.0,0.0
a,0,0,0,0,31,0.19,79,0.09,31,0.19,0.13,0.31,0.03,0.07
Glands,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Jakob,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Rachel,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
løkkes,0,0,0,0,7,0.04,8,0.01,7,0.04,0.05,0.12,0.0,0.0
Hr. Wachmann,0,0,0,0,8,0.04,10,0.01,8,0.04,0.07,0.17,0.0,0.0
Md. Wachmann,0,0,0,0,8,0.04,14,0.02,8,0.04,0.06,0.14,0.0,0.0
Carl,0,0,0,0,118,0.73,583,0.69,118,0.73,0.35,0.83,0.25,0.6
Susanne,0,0,0,0,16,0.09,52,0.06,16,0.09,0.1,0.24,0.01,0.02
Lotte,0,0,0,0,5,0.02,9,0.01,5,0.02,0.03,0.07,0.0,0.0
Fredrik,0,0,0,0,162,1.0,846,1.0,162,1.0,0.42,1.0,0.42,1.0
Præsfens,0,0,0,0,2,0.01,3,0.0,2,0.01,0.04,0.1,0.0,0.0
Stade,0,0,0,0,15,0.09,27,0.03,15,0.09,0.1,0.24,0.02,0.05
Kusken,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
Fredrik Stade,0,0,0,0,5,0.02,5,0.0,5,0.02,0.04,0.1,0.0,0.0
Carl Wachmann,0,0,0,0,5,0.02,7,0.01,5,0.02,0.05,0.12,0.0,0.0
nn,0,0,0,0,7,0.04,8,0.01,7,0.04,0.06,0.14,0.0,0.0
Præsfen,0,0,0,0,5,0.02,10,0.01,5,0.02,0.06,0.14,0.0,0.0
hiin,0,0,0,0,1,0.0,2,0.0,1,0.0,0.01,0.02,0.0,0.0
jæ,0,0,0,0,11,0.06,16,0.02,11,0.06,0.06,0.14,0.0,0.0
Tysf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Filning,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
A—jæ,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Chren Smeds,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Chren Smed,0,0,0,0,2,0.01,3,0.0,2,0.01,0.02,0.05,0.0,0.0
Jæ,0,0,0,0,6,0.03,9,0.01,6,0.03,0.04,0.1,0.0,0.0
Thema,0,0,0,0,1,0.0,2,0.0,1,0.0,0.01,0.02,0.0,0.0
Ehren Smed,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.07,0.0,0.0
Chresten,0,0,0,0,2,0.01,5,0.0,2,0.01,0.02,0.05,0.0,0.0
Jørgen,0,0,0,0,9,0.05,10,0.01,9,0.05,0.05,0.12,0.0,0.0
jen,0,0,0,0,4,0.02,5,0.0,4,0.02,0.05,0.12,0.0,0.0
Maren,0,0,0,0,4,0.02,4,0.0,4,0.02,0.01,0.02,0.0,0.0
jen Ting Wachmann,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Søren,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
a itte,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Søren Hyldegaards,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Svendsen,0,0,0,0,7,0.04,13,0.01,7,0.04,0.05,0.12,0.0,0.0
Nissen,0,0,0,0,20,0.12,58,0.07,20,0.12,0.11,0.26,0.03,0.07
