Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Frøken Theben,0,0,0,0,3,0.08,3,0.04,3,0.08,0.11,0.24,0.0,0.0
Stella,0,0,0,0,23,0.88,38,0.7,23,0.88,0.43,0.93,0.29,1.0
Frøken Theden,0,0,0,0,2,0.04,2,0.02,2,0.04,0.06,0.13,0.01,0.03
Karen,0,0,0,0,26,1.0,54,1.0,26,1.0,0.46,1.0,0.27,0.93
Lille Karen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.13,0.0,0.0
Hr. Eilersen,0,0,0,0,9,0.32,11,0.19,9,0.32,0.25,0.54,0.06,0.21
jø,0,0,0,0,3,0.08,4,0.06,3,0.08,0.12,0.26,0.01,0.03
Elise,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Gud,0,0,0,0,14,0.52,17,0.3,14,0.52,0.3,0.65,0.12,0.41
lille Karen,0,0,0,0,4,0.12,9,0.15,4,0.12,0.13,0.28,0.02,0.07
Frøken H.,0,0,0,0,2,0.04,2,0.02,2,0.04,0.0,0.0,0.01,0.03
ril,0,0,0,0,2,0.04,2,0.02,2,0.04,0.03,0.07,0.03,0.1
Tønte Stella,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Søren,0,0,0,0,2,0.04,3,0.04,2,0.04,0.06,0.13,0.01,0.03
Tanle Srella,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Len,0,0,0,0,2,0.04,2,0.02,2,0.04,0.06,0.13,0.01,0.03
Dorthe,0,0,0,0,2,0.04,2,0.02,2,0.04,0.06,0.13,0.01,0.03
betids,0,0,0,0,2,0.04,2,0.02,2,0.04,0.07,0.15,0.0,0.0
Kjærs,0,0,0,0,2,0.04,2,0.02,2,0.04,0.07,0.15,0.0,0.0
Ieg,0,0,0,0,2,0.04,2,0.02,2,0.04,0.12,0.26,0.0,0.0
bun,0,0,0,0,4,0.12,5,0.08,4,0.12,0.13,0.28,0.02,0.07
Frokosfen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.13,0.0,0.0
ber,0,0,0,0,4,0.12,4,0.06,4,0.12,0.13,0.28,0.02,0.07
Eriksen,0,0,0,0,2,0.04,2,0.02,2,0.04,0.08,0.17,0.0,0.0
ban,0,0,0,0,12,0.44,16,0.28,12,0.44,0.32,0.7,0.07,0.24
leer,0,0,0,0,2,0.04,2,0.02,2,0.04,0.08,0.17,0.0,0.0
Tantes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
eg,0,0,0,0,2,0.04,2,0.02,2,0.04,0.0,0.0,0.0,0.0
Tante,0,0,0,0,2,0.04,3,0.04,2,0.04,0.12,0.26,0.0,0.0
bos,0,0,0,0,2,0.04,2,0.02,2,0.04,0.1,0.22,0.0,0.0
bende,0,0,0,0,2,0.04,2,0.02,2,0.04,0.03,0.07,0.01,0.03
bvor bun,0,0,0,0,1,0.0,2,0.02,1,0.0,0.02,0.04,0.0,0.0
Høire,0,0,0,0,2,0.04,2,0.02,2,0.04,0.12,0.26,0.0,0.0
Ingenieur Eilersen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Hr. Hartmann,0,0,0,0,2,0.04,2,0.02,2,0.04,0.12,0.26,0.0,0.0
Ol,0,0,0,0,2,0.04,2,0.02,2,0.04,0.02,0.04,0.0,0.0
bente,0,0,0,0,2,0.04,2,0.02,2,0.04,0.02,0.04,0.0,0.0
Thee,0,0,0,0,3,0.08,3,0.04,3,0.08,0.04,0.09,0.0,0.0
Ole køm,0,0,0,0,2,0.04,2,0.02,2,0.04,0.06,0.13,0.03,0.1
Ole,0,0,0,0,2,0.04,2,0.02,2,0.04,0.01,0.02,0.01,0.03
ril Juul,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mime,0,0,0,0,2,0.04,2,0.02,2,0.04,0.01,0.02,0.0,0.0
Dortbe,0,0,0,0,1,0.0,2,0.02,1,0.0,0.06,0.13,0.0,0.0
flet,0,0,0,0,2,0.04,2,0.02,2,0.04,0.02,0.04,0.0,0.0
Frøken Karen,0,0,0,0,2,0.04,2,0.02,2,0.04,0.07,0.15,0.01,0.03
Hr. Hariman,0,0,0,0,2,0.04,2,0.02,2,0.04,0.03,0.07,0.0,0.0
Uhret,0,0,0,0,2,0.04,2,0.02,2,0.04,0.07,0.15,0.0,0.0
Hr. Hartman,0,0,0,0,5,0.16,6,0.09,5,0.16,0.19,0.41,0.04,0.14
Li,0,0,0,0,2,0.04,2,0.02,2,0.04,0.06,0.13,0.0,0.0
dei,0,0,0,0,2,0.04,2,0.02,2,0.04,0.06,0.13,0.09,0.31
Mette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ole Jensens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ole Smeds,0,0,0,0,1,0.0,2,0.02,1,0.0,0.06,0.13,0.0,0.0
