Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Abel,0,0,0,0,1,0.0,2,0.08,1,0.0,0.0,0.0,0.0,0.0
Kain,0,0,0,0,1,0.0,2,0.08,1,0.0,0.0,0.0,0.0,0.0
Ikkun,0,0,0,0,1,0.0,2,0.08,1,0.0,0.0,0.0,0.0,0.0
Sennor Dominguez,0,0,0,0,2,0.09,3,0.17,2,0.09,0.0,0.0,0.0,0.0
Caramba,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sennor Leon Øominguez,0,0,0,0,2,0.09,2,0.08,2,0.09,0.0,0.0,0.0,0.0
as,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Leon Øominguez,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sennor Øominguez,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Leon Dominguez,0,0,0,0,6,0.45,7,0.5,6,0.45,0.0,0.0,0.01,0.2
Sennor Mandrillo,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dominguez,0,0,0,0,7,0.55,8,0.58,7,0.55,0.31,0.48,0.03,0.6
s Mine,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.12,0.0,0.0
Sennors,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.12,0.0,0.0
Sennor Garba,0,0,0,0,2,0.09,2,0.08,2,0.09,0.15,0.23,0.0,0.0
Gustavo Padilla,0,0,0,0,4,0.27,4,0.25,4,0.27,0.28,0.44,0.01,0.2
Juanita,0,0,0,0,12,1.0,13,1.0,12,1.0,0.64,1.0,0.05,1.0
Sennor,0,0,0,0,2,0.09,2,0.08,2,0.09,0.24,0.38,0.0,0.0
jelv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.12,0.0,0.0
Masfen,0,0,0,0,1,0.0,2,0.08,1,0.0,0.08,0.12,0.0,0.0
Juaniia,0,0,0,0,1,0.0,1,0.0,1,0.0,0.16,0.25,0.0,0.0
Gitanoen,0,0,0,0,2,0.09,3,0.17,2,0.09,0.22,0.34,0.0,0.0
Corambe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.16,0.25,0.0,0.0
hosSen-nora Marguerila d ' Albano,0,0,0,0,2,0.09,2,0.08,2,0.09,0.18,0.28,0.01,0.2
Sennora Marguerila,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.08,0.0,0.0
Alejandro,0,0,0,0,2,0.09,2,0.08,2,0.09,0.22,0.34,0.0,0.0
Sennora Margueritas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.16,0.25,0.0,0.0
Sennora Marguerita d,0,0,0,0,2,0.09,2,0.08,2,0.09,0.18,0.28,0.01,0.2
