source,target,type,weight
Frodor,Hester,Undirected,3
Frodor,Karo,Undirected,2
Apollo,Frodor,Undirected,2
Frodor,Greven,Undirected,3
Frodor,hnn,Undirected,2
Frodor,sif,Undirected,1
hnn,sif,Undirected,2
Fiorella,Frodor,Undirected,3
Fiorella,Zigeuner,Undirected,1
Frodor,Zigeuner,Undirected,1
Fiorella,Greven,Undirected,3
Fiorella,Gud,Undirected,26
Greve,Stjernskjold,Undirected,1
Greve,Oskar,Undirected,3
Gud,Oskar,Undirected,31
Fiorclla,Gud,Undirected,1
Fiorclla,Oskar,Undirected,2
Fiorella,Oskar,Undirected,37
Oskar,hnn,Undirected,6
Greven,hnn,Undirected,1
Greven,Mamsel Lund,Undirected,1
Mamsel Lund,Oskar,Undirected,1
Oskar,kjæræ,Undirected,2
Fio-rella,Oskar,Undirected,1
Blomfelds,Fio-rella,Undirected,1
Blomfelds,Oskar,Undirected,1
Blomfelds,Fiorella,Undirected,2
Oskar,Sangtimernc,Undirected,2
Axel,Oskar,Undirected,1
Axel,Fro-dar,Undirected,1
Fro-dar,Oskar,Undirected,1
Agata,Grev Lejon-hjelms,Undirected,1
Agata mesf,Lejonhjelms,Undirected,1
Agata,Lejonhjelms,Undirected,1
Agata,hnn,Undirected,1
Gud,hnn,Undirected,2
Oskar,lille Fiorella,Undirected,1
Fiorella,Stjerna-borgs,Undirected,2
Fiorella,hnn,Undirected,10
Fiorella,mindsf,Undirected,1
mindsf,sidsf,Undirected,1
Fiorella,sidsf,Undirected,1
Fiorella,Hr. Greve,Undirected,2
Birken,Fiorella,Undirected,1
Birken,Greven,Undirected,1
Fiorella,Ingeborgs,Undirected,1
Ingeborgs,hans Ingeborg,Undirected,1
Gud,Ingeborg,Undirected,1
Fiorella,Ingeborg,Undirected,1
Fiorella,Oskar Stjcrnsköld,Undirected,1
Fiorella,Stjernaborg,Undirected,1
Grev Ørnkors,Oskar,Undirected,3
Alvilda Ørnkors,Oskar,Undirected,2
Alvilda,Oskar,Undirected,21
Alvilda,Ørnkors,Undirected,2
Sabina,Ørnkors,Undirected,1
Oskar,Sabina,Undirected,2
Alvilda,fial Sabina,Undirected,2
Gyllenhjelm,hnn,Undirected,1
Stjernflold,hnn,Undirected,1
Elisa,Stjernflold,Undirected,1
Elisa,Mamsel,Undirected,1
Mamsel,Valfred,Undirected,3
Valfred,Ørnkors,Undirected,1
Lille Anna,Ørnkors,Undirected,1
Lille Anna,Marie,Undirected,1
Elisa,Marie,Undirected,1
Elisa,Valfred,Undirected,1
Morfars,Valfred,Undirected,1
Morfars,dein,Undirected,1
Mamsel,dein,Undirected,1
Mamsel,Oskar,Undirected,2
Oskar,fransf Gouvernante,Undirected,1
Gyllen-hjelm,Oskar,Undirected,1
Gyllen-hjelm,Mamscl,Undirected,1
Mamscl,Oskar,Undirected,1
!,Oskar,Undirected,2
Mamsel,Sabina,Undirected,2
Alvilda,Sabina,Undirected,6
Alvilda,Mamsel Maillard,Undirected,9
Mamsel Maillard,Oskar,Undirected,5
Alvilda,Virginie Maillard,Undirected,2
Alvilda,Virginie,Undirected,11
Oskar,Virginie,Undirected,13
Grevinde Gyllenhjelm,Gud,Undirected,1
Grevinde Gyllenhjelm,Virginie Maillard,Undirected,1
Oskar,Virginie Maillard,Undirected,1
Gyllenhjelm,Mamsel Maillard,Undirected,2
Gyllenhjelm,Oskar,Undirected,6
Hr. Greve,Oskar,Undirected,2
Hr. Greve,hnn,Undirected,2
Birginie,Madonna,Undirected,1
Madonna,elffe,Undirected,2
Madonna,St. Michael,Undirected,1
Johannes,St. Michael,Undirected,1
Johannes,Pater Anselm,Undirected,1
Ignatius Loyola,Pater Anselm,Undirected,2
Madonna,Pater Anselm,Undirected,1
Madonna,Virginie Maillard,Undirected,1
Virginie,Virginie Maillard,Undirected,1
Alvilda,Gyllenhjelm,Undirected,4
Alvilda,Runebergs,Undirected,1
Mamsel Maillard,Runebergs,Undirected,1
Alvilda,hnn,Undirected,1
Mamsel Maillard,hnn,Undirected,1
Alvilda,Komtesse Alvilda,Undirected,1
Komtesse Alvilda,Oskar,Undirected,2
Mamsel Maillard,Virginie,Undirected,1
Komtessens,Virginie,Undirected,2
Alvilda,Mamsellen,Undirected,1
Mamsellen,Virginie,Undirected,1
Alvilda,Grev Stjernskold,Undirected,1
Grev Stjernskold,Virginie,Undirected,1
hnn,Ørnkors,Undirected,1
Mamsellen,hnn,Undirected,1
Gyl-lenhjelm,Mamsellen,Undirected,1
Gyl-lenhjelm,Komtesse,Undirected,1
Komtesse,Oskar nn,Undirected,1
Nadeschda,Oskar nn,Undirected,1
