source,target,type,weight
Grev Geert,Kong Ehriftoffers,Undirected,1
Johan den Milde,Kong Ehriftoffers,Undirected,1
Johan den Milde,Johans,Undirected,1
Niels Ebbefen,Vilhelm Tell,Undirected,1
Grev Adolf den Sjette,barsfe,Undirected,1
Grev Adolf den Sjette,Hartvig Reventlovs,Undirected,1
Geerts,Hartvig Reventlovs,Undirected,1
Geerts,Greve,Undirected,1
Christoffer den,Geert,Undirected,1
Christoffer den,Erik,Undirected,1
Erik,Hartvig Reventlov,Undirected,1
Geert øg Elisabeth raadskoge,Hartvig,Undirected,1
Hu,Otto,Undirected,1
Christi,Hu,Undirected,1
Christi,Madonnas,Undirected,1
Grev Geert,Otto,Undirected,1
Guds,Otfo,Undirected,1
Junker,Otto,Undirected,5
Gud,Otto,Undirected,5
Otto,tang,Undirected,1
Otto,asspeiledes,Undirected,1
Jutta,Otto,Undirected,15
Jesu,Jutta,Undirected,1
Otto,stig,Undirected,1
Gud,stig,Undirected,1
Erik Glipping,Grev Geert,Undirected,1
Grev Geert,Jesusbarnet,Undirected,1
Elisabeth,Erik,Undirected,1
Erik,Madonna,Undirected,1
Elisabeth,Geert,Undirected,14
Elisabeth,hørr,Undirected,1
Christoffer,Erik Christoffersen,Undirected,1
Erik Christoffersen,GeertS,Undirected,1
Erik,—,Undirected,1
Elisabeth,Grev Geert,Undirected,2
Elisabeth,Lee meier,Undirected,2
Geert,Grev Geert,Undirected,1
Helvig,Valdemar,Undirected,5
Helvig,Mageskiffe,Undirected,1
Geert,høist,Undirected,1
Elisabeth,Maria,Undirected,1
Geert,Hartvig,Undirected,17
Elisabeth,Ridder Hartvig,Undirected,1
Geert,maa j,Undirected,1
Elisabeth,Hartvig,Undirected,2
GeertS,Hartvig,Undirected,1
Grev Geert,Hartvig,Undirected,2
Geert,Ridder Hartvig,Undirected,2
Adolf,Grev Geert,Undirected,2
Geert,slolt,Undirected,1
Gud,slolte,Undirected,1
Frænke,slolte,Undirected,1
Frænke,Madonna,Undirected,1
Geert,Madonna,Undirected,1
Garver,Jörgen,Undirected,1
Jørgen Garver,Niels,Undirected,1
Niels Ebbesen,Niels Ebdescn,Undirected,1
Garveren,Niels Ebbesen,Undirected,1
Garveren,Gud,Undirected,1
Christen Hjulmand,Niels Bugges,Undirected,1
Niels Vugge,øg,Undirected,1
Jørgen Garver,Peer,Undirected,1
Christoffer,Peer,Undirected,1
Drost Peder Hessels,Folqvard,Undirected,1
Folqvard,siig,Undirected,1
Folqvard,Gud,Undirected,2
Folqvard,Jørgens,Undirected,1
Folqvard,Peder Hcsscls,Undirected,1
Peder Hcsscls,freidig,Undirected,1
Peer,hanAa,Undirected,1
Lucius,hanAa,Undirected,1
Lambert,Lucius,Undirected,1
Lambert,Peder Hessels,Undirected,1
Folqvard,Fruerstuen,Undirected,1
Regisse,Valdemar,Undirected,9
Erik,Regisse,Undirected,1
Erik,Frøken Helvig,Undirected,1
Frøken Helvig,Valdemar,Undirected,6
Helvig,Madonna,Undirected,1
Valdemar,henoc,Undirected,1
Regisse,henoc,Undirected,1
Regisse,Rer,Undirected,1
Geert,Valdemar,Undirected,11
Helvig,Regisse,Undirected,22
Helvig,Neppe,Undirected,1
Regisse,hu,Undirected,1
Helvig,hu,Undirected,1
Junker Otto,Niels,Undirected,1
Ebbcsen,Svend,Undirected,1
Ebbcsen,Geert,Undirected,1
Geert,Otto,Undirected,2
Ebbesen,Svend,Undirected,2
Otto,Svend,Undirected,1
Ebbesen,Otto,Undirected,1
Ebbesen,Valdemar,Undirected,2
Bisspen,Norreriis,Undirected,1
Bisspen,Jakob Splidt,Undirected,1
Jakob,Jakob Splidt,Undirected,1
Hesfen,Niels Ebbesen,Undirected,1
Grev Geert,Hesfen,Undirected,1
Brynje,Grev Geert,Undirected,1
Niels,Niels Ebbesen,Undirected,6
Ebbescn,Jakob,Undirected,1
Jakob,Niels,Undirected,1
Ebbesen,Jakob,Undirected,4
Ebbesen,Niels,Undirected,13
Niels,Svend,Undirected,1
Karl,Svend,Undirected,1
Gerhard,Karl,Undirected,1
Jakob eller,Niels Ebbesen,Undirected,1
Ebbesen,Knud,Undirected,1
Niels,ahner,Undirected,1
Ebbesen,Niels Ebbesen,Undirected,3
Niels Ebbesen,NørreriiS,Undirected,1
Gud,Niels,Undirected,3
Arne,Gud,Undirected,1
Jakob rede,Niels Ebbesen,Undirected,1
Werthe,djærv Stolthco,Undirected,1
Agnete,Werthe,Undirected,8
Gud,Werthe,Undirected,1
Thjodi,Werthe,Undirected,7
Dvcrgcn,Mcrthe,Undirected,1
Mcrthe,Thjodi,Undirected,4
Merthe,Thjodi,Undirected,48
Agnete,Merthe,Undirected,29
Agnete,Thjodi,Undirected,48
Thjodi,paany,Undirected,5
Thjodi,taus,Undirected,1
Werthe,taus,Undirected,1
Dvergen,Werthe,Undirected,5
Dvergen,Thjodi,Undirected,16
Gud,l,Undirected,1
Werthe,l,Undirected,1
Thjodi,ai,Undirected,1
Thjodi,sormaaeoe,Undirected,1
Dvergen,Merthe,Undirected,26
Dvergen,Mcrthe,Undirected,1
Mcrthe,fig,Undirected,1
Thjodi,hiint,Undirected,1
Merthe taug,Thjodi,Undirected,1
Dvergen,das,Undirected,1
Agnete,freidig,Undirected,1
Biarne,freidig,Undirected,1
Biarne,Thjodi,Undirected,1
Agnete,Biarne,Undirected,2
Agnete l,Merthe,Undirected,1
Agnete l,Dvergen,Undirected,1
j-g Thjodis,netes,Undirected,1
Agnete,taug,Undirected,1
Agnete,Dvergen,Undirected,8
Haldor,Thjodi,Undirected,33
AgncteS,Thjodi,Undirected,2
Agnete,effer,Undirected,1
Dvergen,paany,Undirected,2
Haldor,Merthe,Undirected,13
Thjodi,sif,Undirected,1
sif,sledse,Undirected,1
Agnete,sledse,Undirected,1
Agnete,ester,Undirected,1
Thjodi,hnn,Undirected,1
Jniet,Thjodi,Undirected,1
Ragnhilds,Thjodi,Undirected,1
HexenS,Ragnhilds,Undirected,1
HexenS,streife,Undirected,1
Thjodi,streife,Undirected,1
ilkc,paany,Undirected,1
In,Thjodi,Undirected,1
Dvergen,øg,Undirected,1
Dvergen,Jert,Undirected,1
Dvergen,Haldor,Undirected,4
Merthe,paany,Undirected,1
Agnete,Haldor,Undirected,31
Esrom,Johannes,Undirected,1
Abbed ^Johannes,Haldor,Undirected,1
Abbed ^Johannes,Thjodi,Undirected,1
Haldor hiin,Thjodi,Undirected,1
Otto,Valdemar,Undirected,5
Markgrev Ludvig,Valdemar,Undirected,2
Margret«,Markgrev Ludvig,Undirected,1
Keiserens,Margret«,Undirected,1
Erik,Otto,Undirected,1
Euphemia,Wartislaff,Undirected,1
Christoffer,Markgrev Ludvig,Undirected,1
Keiser,Valdemar,Undirected,1
Bernhard,Nikolaus,Undirected,8
