source,target,timestamp
Holger Friis,hvi,1
Holger Friis,hvi,1
Kong Frederiks,Maane,2
Holger,Kong Frederiks,2
Knud,Saamcend,5
Knud,knn,5
Gud,Holger,14
Gud,Holger,14
Gud,Holger,14
Holger,Kammeraad Friis,14
Cupido,Mars,32
Breitenfeldt,Hans Excellence,34
Greven,Lilien,36
Breche,hiin,41
Baastrup,Breche,41
Arnsted,hiin,44
Arnsted,Lundsgaard,44
Holger,Lundsgaard,45
Comtesse Breitenfeldt,Holger,45
Holger,Hr. Larsen,48
Breitenfeldt,Damasfes,50
Alexander,Keiser,56
Alexander,Bernadotte,56
Bernadotte,Napoleon,56
Gud,Napoleon,56
Andientsen,Lakaien,62
Gud,Holger Friis,64
Holger Friis,conseqvente Tanshed,64
Gud,Holger,68
Holger,Høgholms,68
Beringfeldt,Holger Friis,73
Breden,hiin,75
Frederik den,Greven,86
Greven,Kronprindsen,88
Hr. Greve,Napoleon,89
Hn fuit aoeomM,Keiseren,91
Frederik,Keiseren,91
Dana,Svea,94
Beringfeldt,Gud,102
Dodt,Holger Friis,103
Greven,Gud,107
Gud,Napoleon,107
Greven,Moses,109
Barton,Gud,114
Holger,Niels,124
Dodt,Holger Friis,130
Holger,Niels,132
Holger,Niels,132
Gud,Holger,132
Holger,Nielses,143
Holger,Holger Friis,144
Niels,Roes,146
Holger,Niels,147
Holger,von Leyden,149
Leyden,von,150
Leyden,hiin,150
Gud,iland,153
Holger,iland,164
Holger,Nielses,165
Holger,Nielses,165
Holger,Niels,165
Gud,Line,168
Hølger,Skipper,171
Hølger,Hølger Friis,171
Morten Lund,Niels,172
Gud,Niels,176
Holger,Niels,177
Comtesse Breitenfeldt,Holger,178
Holger,spiist,185
Holger,betvang,188
Breitenfeldt,Oresfes,192
Oresfes,Pylades,192
Oresfes,Pylades,193
Don Juan,Friis,197
Holger,Leyden,203
Gud,Holger,205
Holger,Leyden,205
Greven,Leyden,205
Comtesse Ida,Greven,205
Comtesse Ida,Comtessen,205
Grev Breitenfeldt,Holger Friis,207
Holger,von Breden,209
Breitenfeldt,von Breden,209
Beringfeldt,Breitenfeldt,223
Breitenfeldt,Greven,223
Grev Breitenfeldt,nei,225
Leyden,Lille,228
Cavaleer,Comtesse Breitenfeldt,229
Breitenfeldt,Horizont,231
Breitenfeldt,Comtessen,231
Comtessen,Lieutenant,231
Leyden,Lieutenant,231
Comtessen,hiin,232
Breden,Holger Friis,233
Grev Breitenfeldt,Gud,236
Grev Breitenfeldt,Lilie,236
Beringfeldt,Breitenfeldt,246
Beringfeldt,ester,246
Comtesse Breitenfeldt,Lilie,247
Friis,Greve,250
Gud,hiin,253
Beringfeldt,Lilie,254
Beringfeldt,Comtessen,254
Comtessen,Holger,255
Comtesse Breitenfeldt,Holger,255
Comtesse Breitenfeldt,Holger,255
Comtesse Breitenfeldt,Holger,255
Dodt,Holger Friis,256
Holger,Niels,262
Comtesse Breitenfeldt,Leyden,267
Comtesse Breitenfeldt,Leyden,270
Corfits Ulfeldt,Friis,271
Friis,Ulfeldts,271
Fordeel,Ulfeldts,271
Comtesse Breitenfeldt,Holger,272
Eleonore Christines,Holger,272
Christian den,Comtesse Breitenfeldt,274
Comtessen,Corfits Ulfeldt,278
Comtessen,Holger,283
Grev Breitenfeldt,ganfle,286
Breitenfeldt,Friis,292
Breitenfeldt,Glcedens,292
Beringfeldt,Timur Beg,295
Dandsen,Greven,297
Dandsen,Friis,297
Dands,Dandsen,301
Beringfeldt,Holger,302
Kudflens,Livree,303
Comtessen kjørte,Grev Breitenfeldt,305
Gud,Holger,309
Gud,sorn,309
"Anna,",Knud Beringfeldt,313
Holger,Madam Svendsen,319
Holger,hnn,328
Holger,tom Smiger,328
Beringfeldt,Madam Svendsen,329
Anna,Madam Svendsen,330
Beringfeldt,Madam Svendsen,333
Holger,Madam Svendsen,333
Holger,Svendsen,333
Holger,Madam Svendsen,337
Holger,Madam Svendsen,340
Anna,Holger,343
Anna,Ingemanns,345
Holger,Ingemanns,345
Holger,Madam Svendsen,345
Knud,Madam Svendsen,345
Holger,Knud,345
Holger,Madam Svendsen,348
Holger,Madam Svendsen,348
Holger,Madam Svendsen,353
Holger,Madam Svendsen,356
Gud,Holger,357
Gud,Madam Svendsen,359
Frøken Anna,Holger Friis,371
Anna,Holger,372
Baronen,Madam Svendsen,373
Knud,Madam Svendsen,376
Madam Svendsen,dein,378
Holm,hiin,387
Anna,Holm,387
Anna,næsfen,388
Holger,Knud,389
Beringfeldt,Holger,393
Holger,jusf,393
Holger,jusf,393
Beringfeldt,Holger,393
Beringfeldt,Holger,393
Ellen Brandt,Holger,393
Ellen,Ellen Brandt,393
Ellen,Holger,393
Anna svin,Holger,393
Anna svin,Holger,393
Brandt,Ellen,394
Ellen,Holger,394
Ellen,Holger,395
Ellen,Holger,395
Anna,Holger,397
Dn,Ellen,398
Ellen,Holger,408
Grev Breitenfeldt,Holger,411
Holger,Holger Friis,412
Brandt,Holger,413
Brandt,Grev Breitenfeldt,413
Grev Breitenfeldt,sorenes,413
Ellen,Holger,416
Ellen,Gud,416
Ellen,Gud,416
Brandt,fleet,417
Holger,ban,418
Ellen,ban,418
Ellen,Gud,418
Gud,Holger,419
Ellen,Holger,420
Barons,Holger,420
