Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Anna Present,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.02,0.08
Skinkel,0,0,0,0,3,0.02,3,0.01,3,0.02,0.0,0.0,0.01,0.04
Johan,0,0,0,0,8,0.07,12,0.03,8,0.07,0.02,0.05,0.03,0.12
Hilleborg,0,0,0,0,70,0.67,265,0.69,70,0.67,0.26,0.7,0.13,0.52
Ruggaard,0,0,0,0,9,0.08,14,0.03,9,0.08,0.09,0.24,0.0,0.0
Christoffer Parsbergs,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Knud Gyldenstjerne,0,0,0,0,60,0.57,112,0.29,60,0.57,0.23,0.62,0.16,0.64
Jørgens,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Lydeke,0,0,0,0,4,0.03,7,0.02,4,0.03,0.01,0.03,0.0,0.0
Margrethe,0,0,0,0,10,0.09,14,0.03,10,0.09,0.06,0.16,0.01,0.04
Anna,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
esterlod,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Thronhimmel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Claus,0,0,0,0,17,0.16,22,0.05,17,0.16,0.11,0.3,0.02,0.08
Hans,0,0,0,0,8,0.07,10,0.02,8,0.07,0.07,0.19,0.0,0.0
Jørgen,0,0,0,0,16,0.15,20,0.05,16,0.15,0.08,0.22,0.02,0.08
Frederik Barsebek,0,0,0,0,7,0.06,7,0.02,7,0.06,0.04,0.11,0.01,0.04
Elvedgaard,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.04
Albert,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Ottes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Peder Hogenskilb,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Juulskov,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Absalons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frederik,0,0,0,0,3,0.02,3,0.01,3,0.02,0.02,0.05,0.0,0.0
Albert Barsebek,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Bernickson,0,0,0,0,4,0.03,4,0.01,4,0.03,0.02,0.05,0.01,0.04
Jomfru Hilleborg,0,0,0,0,18,0.17,32,0.08,18,0.17,0.1,0.27,0.02,0.08
