source,target,timestamp
Holm,Laura Holm,2
Holm,Laura,2
Laura,Trine Skram,2
Laura,Trine Skram,2
Laura,Trine,3
Hanne,Laura,4
Hanne,Laura,4
Emilie,Laura,4
Emilie,Peter,4
Laura,Peter,4
Laura,Trine Skram,4
Laura,Trine Skram,4
Laura,Trine,6
Gud,Trine,7
Kruses,Laura,9
Kruses,Trine Skram,9
Laura,Trine Skram,9
Laura,Mr .,10
. Knutzon,Mr .,10
. Knutzon,Knutzon,10
Knutzon,Laura,10
Klara,Stine,11
Klara,Laura,11
Klara,Theodor,12
Klara,Theodor,13
Klara,Theodor,13
Klara,Theodor,13
Laura,Theodor,13
Laura,Theodor,14
Laura,Theodor,14
Laura,Theodor,14
Laura,Theodor,14
Laura,Theodor,14
Laura,Theodor,14
Klara,Laura,14
Klara,Theodor,21
Klara,Laura,21
Laura,Theodor,21
Laura,Theodor,21
Laura,Theodor,22
Laura,Theodor,22
Laura,Theodor,32
Laura,Theodor,32
Laura,Theodor,32
Laura,Theodor,32
Klara,Theodor,32
Laura,Theodor,35
Gud,Klara,36
Gud,Theodor,36
Laura Holm,Theodor,36
Laura Holm,Tantes,36
Tante,Tantes,36
Tante,Theodor,37
Laura,Theodor,37
Klara,Laura,37
Klara,Theodor,37
Klara,Klausen,38
Klara,Klausen,39
Klausen,Laura,39
Laura,Theodor,39
Klara,Theodor,39
Klara,Theodor,39
Tante,Theodor,40
Frederikke,Theodor,40
Karl,Klara,43
Klara,Stine,44
Klara,Theodor,44
Klara,Theodor,44
Gud,Klara,44
Klara,Stine,47
Klara,Laura,47
Laura,Theodor,47
Klara,Theodor,47
Sofies,Tante,49
Klara,Theodor,51
Klara,Tante,51
Klara,Tante,51
Klara,Tante,51
Justitsraad Klausens,Tante,51
Justitsraad Klausens,Klara,51
Klara,Laura,53
Klara,Tante,53
Klausen,Tante,53
Klausen,Theodor,53
Laura,Theodor,53
Gud,Laura,53
Gud,Theodor,53
Laura,Theodor,53
Klara,Klausen,54
Klara,Tante,54
Klara,Tante,54
. Klausen,Klara,54
. Klausen,Johannes,54
Johannes,Klara,54
Klara,Theodor,54
Laura,Theodor,54
Laura,Theodor,54
Theodor,Villie,56
Klara,Villie,56
Laura,Theodor,58
Laura,Theodor,58
Laura,Theodor,59
Laura,Moder,59
Laura,Moder,59
Laura,Theodor,59
Gud,Laura,61
Laura,Theodor,64
Laura,Moder,73
Laura,Moder,76
Laura,Moder,76
Klara,Laura,77
Klara,Laura,77
Johannes,Laura,77
Johannes,Laura,77
Laura,Theodor,77
Klara,Laura,79
Laura,lille Sofie,79
Laura,Sofie,80
Klausen,Laura,83
Klara,Klausen,83
Klara,Laura,83
Laura,R,85
.,R,85
.,Laura,85
Laura,Sofie,85
Frøken Holm,Hyad,96
Frøken Holm,Hyad,96
Frøken Holm,Julie Fosberg,100
Gud,Laura,106
Laura,sorn,110
Kapitajn Fosherg,Laura,110
Frøken Holm,Kapitajn Fosherg,110
Fosberg,Laura,113
Fosberg,linn,114
Fosberg,Julie,117
Gud,véd,127
Laura,véd,127
Frøken Holm,Laura,148
Frøken Holm,Karen,152
Frøken Holm,Laura,157
Laura,Maa-aa-neskin,166
Fosberg,Laura,169
Laura,Theodor,171
Klara,Theodor,171
Klara,Laura,171
Frøken Holm,Laura,171
Fosberg,Laura,173
Fosberg,Laura,176
Fosberg,Frøken Stein,176
Laura,Moder,177
Laura,Tante,177
Kapitajn Fosberg,Tante,177
Laura,Rasmussen,178
Laura,Laura Holm,180
Laura,lille Sofie,181
Laura,Moder,191
Laura,Moder,195
Laura,Moder,195
Laura,Tante,196
Laura,Tante,196
Aloder,Laura,197
Laura,Rasmussen,198
Laura,Rasmussen,199
Laura,Rasmussen,199
Klausen,Laura,206
Klausen,Tante,206
Klara,Tante,206
Klara,Klausen,206
Klausen,Sofie,206
Laura Holm,Sofie,206
Klara,Laura,208
Klara,Rasmussen,209
Laura,Rasmussen,212
Laura,Sofie,212
Gud,Laura,219
Frøken Stein,Laura,221
Klaussens,Laura,224
Klaussens,Laura,224
Klausen,Laura,224
Klausen,Laura,224
Klausen,Laura,224
Klara,Klausen,224
Klara,Laura,224
Klausen,Laura,224
Klara,Laura,225
Klara,Laura,225
Klara,Laura,226
Klara,Laura,228
Klara,Laura,228
Klara,Laura,228
Klara,Madam Rasmussen,228
Laura,Madam Rasmussen,228
Kapitajn Fosberg,Laura,235
Gud,Laura,239
Klara,Laura,241
Klara,Laura,241
Klara,Laura,241
Klausen,bun,247
Gud,bun,247
Klausen,Laura,251
Klara,Laura,252
Klara,Laura,252
Klara,Laura,259
Klara,Laura,259
Klara,Laura,260
Laura Holm,Sofie Stein,262
Gud,Laura,265
Laura,endel,267
Klausen,Laura,267
Klara,Klausen,267
Klara,Laura,267
Klara,Laura,267
Klara,Laura,267
Laura,Theodor,267
Laura,Theodor,267
Klara,Laura,267
Klara,Theodor,267
Klausen,Theodor,267
Klausen,Laura,267
Klara,Laura,268
