Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Grethe,0,0,0,0,3,0.04,5,0.02,3,0.04,0.05,0.1,0.0,0.0
Haløi,0,0,0,0,2,0.02,2,0.0,2,0.02,0.01,0.02,0.0,0.0
Birthe,0,0,0,0,6,0.1,7,0.02,6,0.1,0.08,0.16,0.02,0.04
Kurt,0,0,0,0,25,0.48,86,0.32,25,0.48,0.33,0.65,0.18,0.4
Raabet,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Ottos,0,0,0,0,2,0.02,3,0.01,2,0.02,0.06,0.12,0.0,0.0
Linden,0,0,0,0,13,0.24,21,0.08,13,0.24,0.21,0.41,0.09,0.2
Karl,0,0,0,0,3,0.04,4,0.01,3,0.04,0.06,0.12,0.0,0.0
Duus,0,0,0,0,2,0.02,2,0.0,2,0.02,0.04,0.08,0.01,0.02
Suus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Comtessen,0,0,0,0,3,0.04,4,0.01,3,0.04,0.09,0.18,0.01,0.02
Lectie,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Otto,0,0,0,0,51,1.0,265,1.0,51,1.0,0.51,1.0,0.45,1.0
Trinenes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Wlde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
gansie,0,0,0,0,1,0.0,2,0.0,1,0.0,0.05,0.1,0.0,0.0
Thran,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Mama,0,0,0,0,6,0.1,8,0.03,6,0.1,0.08,0.16,0.03,0.07
Papa,0,0,0,0,2,0.02,3,0.01,2,0.02,0.06,0.12,0.0,0.0
Egards,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
le bon Dieu,0,0,0,0,2,0.02,2,0.0,2,0.02,0.01,0.02,0.0,0.0
Prindsessen,0,0,0,0,7,0.12,7,0.02,7,0.12,0.03,0.06,0.04,0.09
Pater Ioseph,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Alexis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Grandpapa,0,0,0,0,7,0.12,8,0.03,7,0.12,0.08,0.16,0.05,0.11
Max,0,0,0,0,2,0.02,2,0.0,2,0.02,0.01,0.02,0.0,0.0
Prinds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Baron Astolf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Dands,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Grev Alex,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
pauvre lui,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Alex,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nourrice,0,0,0,0,2,0.02,2,0.0,2,0.02,0.06,0.12,0.0,0.0
Gud,0,0,0,0,14,0.26,28,0.1,14,0.26,0.24,0.47,0.11,0.24
