source,target,type,weight
Sopha,henoe,Undirected,1
Damms,henoe,Undirected,1
Elffe,Goethe,Undirected,1
Mabille,Pisfolen,Undirected,1
Pisfolen,as,Undirected,1
Manzoni,xroinsssi sxosi,Undirected,1
Manzoni,Sandra,Undirected,1
Madame,Sopha,Undirected,1
Sands,fransfe,Undirected,1
engelsfe,fransfe,Undirected,1
Cholera,Signor Sandro,Undirected,1
Fourniere,Jardin des,Undirected,1
Cassen,Fourniere,Undirected,2
Byron,hnn,Undirected,1
hnn,taus,Undirected,1
Sophaen,hnn,Undirected,1
Gud,hnn,Undirected,1
Abels,Gud,Undirected,1
fnart,sif,Undirected,1
Lignoro,Signorina,Undirected,1
LiZnoro,Lignoro,Undirected,1
Gud,nora,Undirected,1
Fransfe,jusf,Undirected,1
Gullivers,Swift,Undirected,1
Byron,elffe,Undirected,1
Sands,elffe,Undirected,1
Fortepiano,Krisis,Undirected,1
Fortepiano,Sophaen,Undirected,1
Sandro,sif,Undirected,1
Alanden,Susanne,Undirected,2
Bjelke,Susanne,Undirected,1
Alex,Ester,Undirected,2
Alex,Gud,Undirected,2
Alex,kydsk,Undirected,1
Richard,Shakespeare,Undirected,1
DsurkaUinA pitz-,Richard,Undirected,1
Svensieren,sial,Undirected,1
Byron,sial,Undirected,1
Adlersparre,faldl,Undirected,1
Melancholi,faldl,Undirected,1
Adolf —,Gustav,Undirected,1
Adolf —,Gustav Rosenskold,Undirected,1
Lucile,Rosenskolds,Undirected,1
Alex,Pisa,Undirected,1
Hnn,Pisa,Undirected,1
Gud,Pisa,Undirected,1
Gud,Satan,Undirected,1
Byron,Dirs,Undirected,1
Dirs,orny kor a inomsnt sootdn,Undirected,1
it oannot slnllo tlio ksvsr ok vain longing,orny kor a inomsnt sootdn,Undirected,1
Cagnacci,Magdalena,Undirected,1
Marchesa di Cagnola,Marchesen,Undirected,1
Marchesen,Signore,Undirected,1
Marco,Marquien,Undirected,1
Cngnola,Marquien,Undirected,1
Marquisens,Signor Antonio,Undirected,1
Imidlerlid,ester,Undirected,1
Antonio,Marquisen,Undirected,3
Venus,as,Undirected,1
Marquisen,Venus,Undirected,1
Marquien,Marquisen,Undirected,1
Cag-nola,Marquien,Undirected,1
Marquien,hnn,Undirected,1
Marquien,Signor Antonio,Undirected,2
Antonio,Signor Antonio,Undirected,1
Ahnelse,Marquisen,Undirected,1
Cagnola,Marquien,Undirected,1
Antonio,Cagnola,Undirected,1
Antonio,Hr. Abbate,Undirected,1
Hr. Abbate,Signor Sandro,Undirected,1
Marquisen,taug,Undirected,1
Madonna,Petrarca,Undirected,1
Laura,Madonna,Undirected,2
Laura,Marquisen,Undirected,1
Abbaten,Petrarca,Undirected,1
Laura,Petrarca,Undirected,2
Per divina bellezza,Petrarca,Undirected,1
Per divina bellezza,mira Chi,Undirected,1
giammai,mira Chi,Undirected,1
giammai,soavemente ella gli gira.,Undirected,1
Hr. Abbate,Marquisen,Undirected,1
Hr. Abbate,Laura,Undirected,1
Cag-nola,apathifle,Undirected,1
apathifle,sif,Undirected,1
Kiærliabed,Sandro,Undirected,2
Sandro,Tu,Undirected,2
