Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Johannes Holmer,0,0,0,0,3,0.04,4,0.01,3,0.04,0.09,0.19,0.0,0.0
Rosen,0,0,0,0,9,0.18,12,0.05,9,0.18,0.13,0.28,0.05,0.09
Ebba,0,0,0,0,46,1.0,219,1.0,46,1.0,0.47,1.0,0.54,1.0
Johannes,0,0,0,0,32,0.69,101,0.46,32,0.69,0.36,0.77,0.32,0.59
farbroders,0,0,0,0,1,0.0,4,0.01,1,0.0,0.04,0.09,0.0,0.0
Frantz,0,0,0,0,3,0.04,3,0.01,3,0.04,0.02,0.04,0.0,0.0
Frantz Holmer,0,0,0,0,3,0.04,3,0.01,3,0.04,0.05,0.11,0.02,0.04
Frantz Hohners,0,0,0,0,2,0.02,2,0.0,2,0.02,0.01,0.02,0.0,0.0
Jios,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Jægermester Rosens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Ebha,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
lian,0,0,0,0,2,0.02,6,0.02,2,0.02,0.08,0.17,0.0,0.0
Gud,0,0,0,0,9,0.18,14,0.06,9,0.18,0.17,0.36,0.07,0.13
lille Carl,0,0,0,0,2,0.02,7,0.03,2,0.02,0.08,0.17,0.0,0.0
bohave,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
sopha,0,0,0,0,3,0.04,4,0.01,3,0.04,0.06,0.13,0.02,0.04
Lene,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
Dbren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Gyritte,0,0,0,0,2,0.02,4,0.01,2,0.02,0.05,0.11,0.02,0.04
Frederik,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Carlsen,0,0,0,0,6,0.11,8,0.03,6,0.11,0.06,0.13,0.04,0.07
Carl,0,0,0,0,6,0.11,10,0.04,6,0.11,0.16,0.34,0.0,0.0
Larsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
dbren,0,0,0,0,2,0.02,2,0.0,2,0.02,0.05,0.11,0.02,0.04
bjne,0,0,0,0,4,0.07,9,0.04,4,0.07,0.11,0.23,0.02,0.04
Beethovens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.09,0.0,0.0
Moster,0,0,0,0,4,0.07,5,0.02,4,0.07,0.11,0.23,0.0,0.0
mosters,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.11,0.0,0.0
tetid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
