Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Agnete Ru g tv ed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anders Rugtveds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hugo van der Wisch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
von Pleyelt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Agnete Rugtved,0,0,0,0,3,0.05,3,0.01,3,0.05,0.07,0.13,0.01,0.02
Pleyelt,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
Ellensborg,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.15,0.0,0.0
Johan Charles Alexander Valdemar Michael Wenzel Lothar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nepomuk van der Wisch,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.02,0.04
von Pleyell,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.13,0.03,0.06
Johan,0,0,0,0,38,1.0,161,1.0,38,1.0,0.54,1.0,0.47,1.0
Agnete,0,0,0,0,4,0.08,9,0.05,4,0.08,0.09,0.17,0.03,0.06
Jens Baggesen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
hnn,0,0,0,0,3,0.05,6,0.03,3,0.05,0.07,0.13,0.03,0.06
sidsf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Knud Nielsen,0,0,0,0,5,0.11,7,0.04,5,0.11,0.17,0.31,0.02,0.04
Rugtveds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Knud,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
disfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.13,0.0,0.0
Greven,0,0,0,0,1,0.0,2,0.01,1,0.0,0.01,0.02,0.0,0.0
paany,0,0,0,0,3,0.05,3,0.01,3,0.05,0.08,0.15,0.02,0.04
sif,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.15,0.0,0.0
Strange,0,0,0,0,4,0.08,10,0.06,4,0.08,0.1,0.19,0.01,0.02
snild,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.13,0.0,0.0
Hvenild,0,0,0,0,6,0.14,12,0.07,6,0.14,0.14,0.26,0.04,0.09
Heras,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.13,0.0,0.0
Dandsen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.06,0.0,0.0
