source,target,type,weight
Harald Klak,høs,Undirected,1
Ludvig den Frømme,høs,Undirected,1
Odins,Regnar Lodbrog,Undirected,1
Gotfred,Regnar Lodbrog,Undirected,1
Gotfred,Sigurd Snogoje,Undirected,2
Gotfred,Karl den,Undirected,2
Gotfred,Sigurd Snogøje,Undirected,1
Hardeknud,Sigurd Snogøje,Undirected,1
Ansgarius,Hardeknud,Undirected,1
Ansgarius,Gorm,Undirected,2
Gorm,Hardeknud,Undirected,2
Gorm,Thyra,Undirected,49
Gorm,Hnn,Undirected,1
Gorm,Knud,Undirected,22
Harald,Knud,Undirected,61
Gorm,Harald,Undirected,16
Gorm,hnn,Undirected,5
Hejmdal,Odin,Undirected,1
Odin,Thor,Undirected,17
Baldur,Thor,Undirected,3
Guds,Knnd,Undirected,1
Gorm,Knnd,Undirected,9
Jarl Harald,Knud,Undirected,1
Jarl Harald,sfjont Thyras,Undirected,1
Gorm,sfjont Thyras,Undirected,1
Gud,Thyra,Undirected,8
Harald,Thyra,Undirected,14
Knud,Niodur,Undirected,1
Niodur,Thyra,Undirected,1
Bjarmer,Mimer,Undirected,1
Mimer,Tu,Undirected,1
Harald,Tu,Undirected,1
Thyra,Tu,Undirected,6
Eders,Thyra,Undirected,1
Bjarner,Knud,Undirected,2
Bjarner,fog,Undirected,1
Knud,Norner,Undirected,1
Knud,Nan,Undirected,1
Knud,lund,Undirected,2
Knnd,Vindnfts,Undirected,1
Bjarner,Tine,Undirected,1
Knud,Vindulf,Undirected,38
Knud Danaast,Knud Gormsøn,Undirected,1
Bjarner,Odin,Undirected,1
Mimer,Thor,Undirected,1
Mimer,Roes,Undirected,1
Loke,Vindnlf,Undirected,1
Knud,Loke,Undirected,2
Knud,Ægirs,Undirected,1
Loke,Ægirs,Undirected,1
Loke,Signe,Undirected,2
Loke,Ragnarok,Undirected,1
Loke,Surtur,Undirected,1
Muspels,Surtur,Undirected,1
Hejmdal,Muspels,Undirected,1
Gjelderig,Gud,Undirected,1
Bjarkas,Gud,Undirected,1
Bjarkas,Halvor,Undirected,5
Gjelderig,Halvor,Undirected,2
Bjarkas,Gjelderig,Undirected,6
Bjarkas,Loke,Undirected,1
Hel,Loke,Undirected,1
Eg,Hel,Undirected,1
Eg,Halvor,Undirected,1
Gjelderig,j g,Undirected,1
Gorm,Vindulf,Undirected,6
Styrtebak,Vegtams,Undirected,1
Bjarkas,Vegtams,Undirected,1
Baldur,Knud,Undirected,1
Hejmdal,Nasfrand,Undirected,1
Nasfrand,Norma,Undirected,1
Norma,Thor,Undirected,1
Thorvor,Toke,Undirected,1
Aage,Thorvor,Undirected,1
Aage,Palna,Undirected,17
Palna,rasfe,Undirected,1
djærve,rasfe,Undirected,1
Toke,djærve,Undirected,1
Harald,Løvte,Undirected,2
Jutta,Norma,Undirected,46
Forsigfig,Norma,Undirected,2
Norma,Norner,Undirected,1
Gefions,Norner,Undirected,1
Gefions,Norma,Undirected,1
Norma,ester,Undirected,1
Norma,Tyo,Undirected,1
Arne,Norma,Undirected,4
Jutta,Thor,Undirected,10
Loke,Thor,Undirected,7
Henrik Fuglefænger,Jagfen,Undirected,1
Gorm,Kong Knupa,Undirected,1
Kong Knupa,Kong Sølverskalle,Undirected,1
Gorm,Kong Solversfalle,Undirected,1
Frejers,Gorm,Undirected,1
Baldur,Gorm,Undirected,2
Baldur,Ingeborg,Undirected,1
Baldur,Norma,Undirected,1
Ingeborg,Norma,Undirected,6
Nonna,Norma,Undirected,1
Ingeborg,Nonna,Undirected,1
Frigga,Norma,Undirected,1
Jette,Norma,Undirected,1
Jutta,Mtar,Undirected,1
Mtar,Norma,Undirected,1
Brela,Kong Mistivi,Undirected,1
Brela,Tofa,Undirected,10
Brela,Mistivi,Undirected,1
Kong Mistivi,Vrela,Undirected,1
Kong Mistivi,Tofa,Undirected,1
Dronning Brela,Tofa,Undirected,3
Harald,Kong Gorm,Undirected,5
Harald,visfnok,Undirected,1
Harald,Hardeknud,Undirected,1
Knud,Toke,Undirected,1
Raløv,Rurik,Undirected,1
Ralov,Rurik,Undirected,6
Gorm,Røsfen,Undirected,1
Harald,Rurik,Undirected,1
Nalov,Rurik,Undirected,3
Kongsgaard,Nalov,Undirected,1
Kongsgaard,Røsfen,Undirected,1
Harald,Morbroders,Undirected,1
Ralov,Tofa,Undirected,2
Ralov,Svantevit,Undirected,1
Dronning Brela,Tøfa,Undirected,1
Tofa,Tøfa,Undirected,1
Toke,Venden,Undirected,1
Kong Gorm,Toke,Undirected,1
Knud,Kong Gorm,Undirected,7
Knud,Tøfa,Undirected,3
Gud,Harald,Undirected,3
Thyra Dannebod,ester,Undirected,1
Hnn,Norma,Undirected,5
Hilber-tus,Hnn,Undirected,1
Hilber-tus,Hilbertus,Undirected,1
Brysf,Frue,Undirected,1
Ansgarius,fasf,Undirected,1
Gud,fasf,Undirected,1
Gud,Knud,Undirected,5
Harald,sorn,Undirected,1
Engelbrets,Jutta,Undirected,1
Hil-bertus,tom,Undirected,1
Hilbertus,tom,Undirected,1
Gud,Hilbertus,Undirected,1
Gud,frein,Undirected,1
Engelbrets,frein,Undirected,1
Engelbrets,Norma,Undirected,1
Norma,sinn,Undirected,2
Norma,Uttars,Undirected,2
Gorm,Gud,Undirected,2
Gorm,son,Undirected,1
son,taalmodig,Undirected,1
Gorm,Harde-lnud,Undirected,2
Gorm,Seepter,Undirected,1
AnsgariuS,Seepter,Undirected,1
AnsgariuS,Gorm,Undirected,1
Gorm,Nette,Undirected,2
Gorm,Henrik,Undirected,2
Gorm,Thyra Dannebod,Undirected,6
Gud,alf,Undirected,1
Thyra Dannebod,hnn,Undirected,1
Gotfred,Kejser Karl den Stores,Undirected,1
Engel-bret,Engelbret,Undirected,1
Engelbret,Jutta,Undirected,7
Norma,Thyra,Undirected,39
Karl den Store,Thyra,Undirected,2
Ebbo,Norma,Undirected,4
Askers,Norma,Undirected,1
Askers,Ebbo,Undirected,1
Baldur,Ebbo,Undirected,1
Thyra,hnn,Undirected,1
Dronning Thyra,Tu,Undirected,1
Dronning Thyra,Norma,Undirected,2
Dronning Thyra,Thor,Undirected,1
Dronning,Thyra,Undirected,2
Dronning Thyra,Gud,Undirected,4
Gud,Norma,Undirected,3
Gorm den,Knnd,Undirected,1
Knnd,Vinduff,Undirected,2
Knnd,ftl Vinduff,Undirected,1
Knnd,Vindulf,Undirected,4
Knnd,Vindnlf,Undirected,1
Ninko,Nørd,Undirected,1
Knud,Vinduff,Undirected,17
Thor,Vindulf,Undirected,5
Asathor,Thor,Undirected,2
Mjølner,Thor,Undirected,2
Gjelderig,Tu,Undirected,1
Bjarkas,Thor,Undirected,4
Thor,Vjarkas,Undirected,1
Thor,Utgardsloke,Undirected,2
Loke,Utgardsloke,Undirected,1
Marven,Thor,Undirected,3
Thor,Tjalfa,Undirected,7
Marven,Tjalfa,Undirected,1
Nøska,Tjalfa,Undirected,1
Nøska,Thor,Undirected,1
Røska,Thor,Undirected,2
Røska,Tjalfa,Undirected,1
Ntgards-loke,Thor,Undirected,2
Thor,Thorsloftede,Undirected,1
Mjølner,Thorsloftede,Undirected,1
Thor,blol,Undirected,2
Skirmer,Thor,Undirected,2
Kong Utgardsloke,Thor,Undirected,2
Loke,tilsidsf,Undirected,1
Dn,Loke,Undirected,1
Tjalfa,Utgardslvke,Undirected,1
Hugi,Utgardslvke,Undirected,1
Hugi,Tjalfa,Undirected,1
Thor,son,Undirected,1
Thor,Thor stræks,Undirected,1
Loke,Tjalfa,Undirected,1
Halvor,Thor,Undirected,1
Rinko,Thor,Undirected,1
Harald,Toke,Undirected,1
Jarl Ottar,Toke,Undirected,2
Ingeborg,Jarl Ottar,Undirected,1
Aage,Ingeborg,Undirected,2
Aage,Toke,Undirected,2
Aare,Toke,Undirected,1
Aare,Gorm,Undirected,1
Toke,j,Undirected,1
Aage,j,Undirected,1
Knud,Palna,Undirected,11
Aage,Tofes,Undirected,1
Karl,Palna,Undirected,2
Aage,Karl,Undirected,1
Palna,son,Undirected,1
Halfdan,son,Undirected,1
Halfdan,Harald,Undirected,1
Esbern,Harald,Undirected,1
Esbern,Hrvlf,Undirected,1
Hrvlf,Nalko,Undirected,1
Nalko,Toke,Undirected,1
Pilten,Toke,Undirected,1
Svend—,son,Undirected,1
Fjolner,Palna,Undirected,3
Knud,Tjalfa,Undirected,1
Bindulf,Tjalfa,Undirected,1
Bendereu,Bindulf,Undirected,1
Ingeborg,Toke,Undirected,1
Thorvør,hnn,Undirected,2
Olusfa,hnn,Undirected,1
Olusfa,Toke,Undirected,1
Thorvør,Toke,Undirected,7
Oluffa,Thorvør,Undirected,1
Fjolner,Oluffa,Undirected,2
-Oluffa,Oluffa,Undirected,1
Bræla,Harald,Undirected,1
Dronning Brela,Vinduff,Undirected,1
Rosten,Rostens,Undirected,1
Nurik,Rosten,Undirected,1
Nurik,saaret,Undirected,1
saaret,sander,Undirected,1
Knud,sander,Undirected,1
Kong Gorm,Thyra,Undirected,3
Bræla,Thyra Danne-bodj^men,Undirected,1
Dronning Thyra,Marfinus,Undirected,1
Jl,def,Undirected,1
Thyra,def,Undirected,1
Knud,Thyra,Undirected,21
Knud,fhi,Undirected,1
Knud tor,fhi,Undirected,2
Harald,fhi,Undirected,1
Knud,Tu,Undirected,2
Martinus,Niga-samus,Undirected,2
Dronning Thyra,Martinus,Undirected,1
Dronning Thyra,Thyra,Undirected,2
Thyra,hamZ,Undirected,2
Gorm,Odin,Undirected,2
Gorm,Martinns,Undirected,1
Bræla,Martinns,Undirected,2
Martinns,nn,Undirected,1
Thyra,nn,Undirected,1
Knud,Rigasamus,Undirected,1
Knud,Kristi,Undirected,1
Harald,Roes,Undirected,1
Espens,Harald,Undirected,1
Harald,Petrus,Undirected,2
Harald,Otto den 1ste,Undirected,2
Gud,tysfe,Undirected,1
Knud,tysfe,Undirected,1
Kristo,Rigasamus,Undirected,1
Hain,Knud,Undirected,1
Thym,Thyra,Undirected,1
Knud,Thym,Undirected,1
Knud,Martinus,Undirected,2
Knud,Tofa,Undirected,11
Harald,Tofa,Undirected,16
Gorm,sfak,Undirected,1
Knud,miu,Undirected,1
Ahners,Freja,Undirected,1
Ahners,Thorvør,Undirected,1
Toke,hnn,Undirected,1
Freja,Toke,Undirected,1
Freja,J. Val-durs,Undirected,1
J. Val-durs,Lofna,Undirected,1
Olussa,Vinduff,Undirected,1
Knnd,Olussa,Undirected,1
Knud,Olussa,Undirected,1
Harald,Thyra Dannebod,Undirected,3
Harald,Vinduff,Undirected,6
Harald,Knnd,Undirected,11
Nivrdur,Vindulf,Undirected,1
Harald,Tøfa,Undirected,1
Drøbna,Dusa,Undirected,1
Drøbna,Kolga,Undirected,1
Kolga,Ran,Undirected,1
Harald,ll,Undirected,1
Knud,Oluffa,Undirected,22
Palna,Tok,Undirected,1
Fjølner,Tok,Undirected,1
Fjølner,Palna,Undirected,4
Aage,Knud,Undirected,4
Knud Gormsøn,Oluffa,Undirected,1
Knud,frei,Undirected,2
Knnd,Oluffa,Undirected,4
Knnd,Odin,Undirected,1
Freja,Odin,Undirected,1
Freja,hnn,Undirected,2
Knnd,hnn,Undirected,2
Oluffa,Palna,Undirected,2
Ingeborg,Palna,Undirected,1
Harald,Vindulf,Undirected,20
Knud,Olusfa,Undirected,1
Adelbert,Knud,Undirected,16
Adelbert,Harald,Undirected,28
Størmen,Thyra,Undirected,1
Nan,Størmen,Undirected,1
Olussa,Thyra,Undirected,1
Thyra,Vindufl,Undirected,1
Knud,Vindufl,Undirected,1
Knud,Nindnlf,Undirected,1
Arne,Knud,Undirected,1
Arne,Sønlvens,Undirected,1
Knud,Sønlvens,Undirected,2
Knud,endnn,Undirected,1
Thyra,endnn,Undirected,1
Gorm,Vinduff,Undirected,4
Gorm,Toke,Undirected,1
Maria,Rigasamus,Undirected,1
Lukas,Rigasamus,Undirected,1
Gud,Lukas,Undirected,1
Knubs,Thyra,Undirected,2
Bindulf,Knud,Undirected,1
