Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Harald Klak,0,0,0,0,5,0.04,5,0.01,5,0.04,0.02,0.07,0.02,0.11
høs,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Ludvig den Frømme,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Odins,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Regnar Lodbrog,0,0,0,0,4,0.03,4,0.01,4,0.03,0.0,0.0,0.01,0.06
Gotfred,0,0,0,0,5,0.04,7,0.02,5,0.04,0.0,0.0,0.01,0.06
Sigurd Snogoje,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Karl den,0,0,0,0,1,0.0,2,0.0,1,0.0,0.0,0.0,0.0,0.0
Sigurd Snogøje,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Hardeknud,0,0,0,0,7,0.05,8,0.02,7,0.05,0.04,0.13,0.01,0.06
Ansgarius,0,0,0,0,5,0.04,6,0.01,5,0.04,0.02,0.07,0.0,0.0
Gorm,0,0,0,0,88,0.78,243,0.62,88,0.78,0.24,0.8,0.13,0.72
Thyra,0,0,0,0,67,0.59,252,0.64,67,0.59,0.2,0.67,0.08,0.44
Hnn,0,0,0,0,18,0.15,30,0.07,18,0.15,0.08,0.27,0.01,0.06
Knud,0,0,0,0,113,1.0,392,1.0,113,1.0,0.3,1.0,0.18,1.0
Harald,0,0,0,0,82,0.72,294,0.75,82,0.72,0.24,0.8,0.11,0.61
hnn,0,0,0,0,59,0.52,117,0.3,59,0.52,0.2,0.67,0.09,0.5
Hejmdal,0,0,0,0,3,0.02,3,0.01,3,0.02,0.01,0.03,0.0,0.0
Odin,0,0,0,0,24,0.21,45,0.11,24,0.21,0.11,0.37,0.02,0.11
Thor,0,0,0,0,40,0.35,100,0.25,40,0.35,0.09,0.3,0.05,0.28
Baldur,0,0,0,0,30,0.26,47,0.12,30,0.26,0.08,0.27,0.03,0.17
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Knnd,0,0,0,0,32,0.28,61,0.15,32,0.28,0.14,0.47,0.02,0.11
Jarl Harald,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
sfjont Thyras,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Gud,0,0,0,0,37,0.32,66,0.17,37,0.32,0.15,0.5,0.04,0.22
Niodur,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.07,0.0,0.0
Bjarmer,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mimer,0,0,0,0,4,0.03,4,0.01,4,0.03,0.01,0.03,0.0,0.0
Tu,0,0,0,0,27,0.23,37,0.09,27,0.23,0.11,0.37,0.02,0.11
Eders,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Bjarner,0,0,0,0,4,0.03,5,0.01,4,0.03,0.02,0.07,0.0,0.0
fog,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Norner,0,0,0,0,6,0.04,7,0.02,6,0.04,0.04,0.13,0.0,0.0
Nan,0,0,0,0,5,0.04,5,0.01,5,0.04,0.02,0.07,0.0,0.0
lund,0,0,0,0,1,0.0,2,0.0,1,0.0,0.01,0.03,0.0,0.0
Vindnfts,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Tine,0,0,0,0,8,0.06,8,0.02,8,0.06,0.02,0.07,0.0,0.0
Vindulf,0,0,0,0,65,0.57,233,0.59,65,0.57,0.24,0.8,0.07,0.39
Knud Danaast,0,0,0,0,8,0.06,8,0.02,8,0.06,0.05,0.17,0.0,0.0
Knud Gormsøn,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Roes,0,0,0,0,6,0.04,6,0.01,6,0.04,0.02,0.07,0.0,0.0
Loke,0,0,0,0,20,0.17,29,0.07,20,0.17,0.05,0.17,0.02,0.11
Vindnlf,0,0,0,0,20,0.17,37,0.09,20,0.17,0.11,0.37,0.01,0.06
Ægirs,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.07,0.0,0.0
Signe,0,0,0,0,6,0.04,8,0.02,6,0.04,0.01,0.03,0.0,0.0
Ragnarok,0,0,0,0,3,0.02,3,0.01,3,0.02,0.01,0.03,0.0,0.0
Surtur,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Muspels,0,0,0,0,3,0.02,3,0.01,3,0.02,0.0,0.0,0.0,0.0
Gjelderig,0,0,0,0,5,0.04,11,0.03,5,0.04,0.01,0.03,0.0,0.0
Bjarkas,0,0,0,0,7,0.05,19,0.05,7,0.05,0.03,0.1,0.01,0.06
Halvor,0,0,0,0,4,0.03,9,0.02,4,0.03,0.01,0.03,0.0,0.0
Hel,0,0,0,0,6,0.04,8,0.02,6,0.04,0.02,0.07,0.0,0.0
Eg,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
j g,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Styrtebak,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Vegtams,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
