source,target,timestamp
knnnc,Ømhn,5
Filia,Filia Maris,12
Filia,Maris,12
Anacreøn,Horatius,15
Lars Krog,dein,23
hnn,voxen,26
Filia,Jomfru Olsen,33
Filia,rorc,38
Posejdons,Posejdvns,39
8tull,tllsol,44
Konrad Herbst,tllsol,44
Konrad Herbst,Møhl,44
,Møhl,44
,Filia Maris,44
Filia Maris,Kamilla,44
Kamilla,Kennst,48
Frants,Kamilla,48
Konrad,sif,51
hu,sif,51
Kamilla,Konrad,54
Konrad,hnn,54
Frants,Kamilla,55
Frøken Sidonius,Konrad,58
Frøken Sidonius,Mignon,58
Kamilla,heudes,59
Dn,Kamilla,61
Frøken Sidonins,Laura,65
Eksegesen,Kamilla,66
Eksegesen,Jørgen kure,66
Frants,Kamilla,70
Hnn,hnn,80
Hnn,hnn,80
Hnn,hnn,80
eu,hnn,80
eu,hnn,80
Laudsbypræsf,hnn,80
Laudsbypræsf,hnn,80
Filia,Ten,83
Filia,Kamilla,83
Filia,Jomfru Olsen,84
Jomfru Olsen,Krog,84
Filia,Krog,88
Filia,Konrad,88
Filia,Konrad,90
Laura,fig,93
Filia,Pastor Krog,95
Frøken Sidonius,Konrad,96
Hebe,Najade,102
Aphrodite,Hebe,102
Filia,Man.,105
Mare Filia,deu Filia Maris,111
Filia,Konrad,112
Filia,Gud,113
Filia,Konrad,114
Konrad,Storm,115
Froken Sidonius,Kamilla,118
Filia,Toren,121
Filia,Kamilla,121
Kjære,jæg,126
Hnn,Kamilla,127
Hnn,huu,127
Krog,frein,128
Filia,Graad,134
Filia,Storm,135
taa,trofasf,140
Filia,hilsfe,144
Frants,Konrad,145
Frants,Frøken Sidonins,145
Frøken Sidonins,Konrad,145
Filia,hnn,157
Filia,Krog,162
Filia,Kamilla,168
Frants,Kamilla,169
Filia,hnn,170
Svens,hnn,173
Filia,Mesteren,174
Berg,Filia,179
Berg,Storm,179
Dn,lee,180
Gud,Hain,183
Gud,Knud Storm,183
Kokef,Mads,184
Jomfru Olsen,Krog,186
Filia,Krog,190
Filia,Krog,194
Jomfru Olsen,Krog,194
Filia,Nn,195
,Frøken Sidonius,203
,Krog,203
Filia,Krog,203
Hnn,hnn,205
Filia,Jfolge,216
Jfolge,lille Filia,216
Filia,bævænde,217
Krog,Øe,218
Filia,kjæræ Pastor Krog,219
Filia,Øe,220
Filia,Ur. Berg,229
Storm,Ur. Berg,229
Mignon,Søren Kierkegaard,230
Froken Sidonius,Konrad,233
Filia,Konrad,233
Berg,Filia,245
Berg,hnn,248
hnn,neskc,248
Filia,Krog,264
Filia,Krog,274
Krog,Storm,274
Hebe,Knnstens,275
Knnstens,Lars Krag,275
,Møhl,280
,Krog,280
Filia,Frn Mohl,282
Filia,hnn,295
Filia,hnn,297
Kamilla,Mohl,300
Møhl,hcnde,301
Filia,Storm,303
Brønchitis,hnn,304
Marie,Mohl,319
Froken,Malene,321
Froken,Ræd-selsudbrud,321
Kjon,Riig,325
Malene,Riig,325
Malene,hnn,325
Beto,Froken Sidonius,336
Frants,Storm,344
Ebba Krog,Storm,344
Ebba Krog,Filia,344
Filia,Krag,346
,Krag,346
,s.,346
Frants,lille Ebba,348
Frants,Kamilla Mohl,348
Ebbas,Filia,349
Ebbas,hnn,349
Filia Mignon,Tideu,355
Filia,Storm,363
Storm,oni,368
Filia,Kamilla,370
Filia,Kamilla,370
Filia,Kamilla,374
Filia,Storm,375
Filia,Lars Krag,376
Lars Krog,Storm,377
Filia Maris,hnn,380
Hnn,dandse,386
Gud,Martha,387
Dn,Martha,389
Volmer,dies,391
dies,hnn,391
-,Hnn,392
Ballel,Martha,394
Dandsen,Martha,394
Blæmst,mau,397
Toden,mau,397
Greven,hnn,404
Rudolf Vernet,hnn,404
Jæg,hnn,405
Greven,Jæg,407
Hnn,hnn,408
hnn,wie,408
die Ochsen,wie,408
Myggeus Dands,ester,415
fig,gauske,416
Greven,hnn,420
Greven,hnn,425
Melanie Vernet,hnn,425
Melanie Vernet,notam,425
Frn Frits,notam,425
Valmuen,hnn,431
Gud,Malene,435
Hr. Kleist,eil sand,437
Storm,Ten Forsfe,439
Knud Storm,Ten Forsfe,439
Filia Maris,Melanie Vernet,445
Filia Maris,Melanie,445
Melanie,kjæresfe,445
Filia,Melanie,446
Filia,Melanie,446
,Melanie,446
Filia,hnn,452
Filia,Knud Storni,453
Filia,Marie Krog,453
Filia,Marie Krog,453
Filia,Melanie,460
Berg,Storm,461
Hon,Tokforeu,462
Berg,Filia,463
Storni,af-gjoreude,464
Berg,af-gjoreude,464
Marie Krog,lee,468
jen skrin,jæ,469
jen skrin,lOO,469
anner,lOO,469
Melanie Vernet,anner,469
Melanie Vernet,hennes,469
hennes,lisom,469
Lars M.,lisom,469
K ren sen,Lars M.,469
Filia,Melanie,472
Berden,Melanie,472
Berden,fiden,472
Melanie,fiden,472
Lars Krag,Melanie,472
Lars Krag,Malene,472
Usnoaur,ester,473
Frants Vernet,Melanie Pernet,474
Filia,Lars Krag,476
,Lars Krag,476
,Herbst,476
Filia,Herbst,476
Filia,Melanie,478
Filia,Tu,488
Dokforen,Filia,489
Knud,son,491
Knud,Lux,491
Filia,Marie,493
Herbst,Lars Krag,497
Lars Krag,Storm,499
Præsfen,nn,503
Provst Hoegh,Præsfen,505
Jeppe,Provst Hoegh,505
Jeppe,Madsen,505
Berg,Maren,513
Berg,Jeppe Madsen,513
Filia,Jeppe Madsen,513
Jeppe,Jeppe Madsen mesf,514
Herbst,Lars Krag,515
Hoegh,Lars Krag,515
Filia,Marie Krog,516
Filia,Marie,516
Gud,pjanke,517
Filia,pjanke,517
Lars Krag,Malene,521
Filia,Lars Krag,521
Filia,Melanie,521
Marie,kundc,528
Marie,Storm,528
Storm,j,528
Hnn,Melanie Vernet,534
Hnn,nn,534
Filia,Madam Melauie,535
Alf,Melanie Bernet,540
Filia,hnn,542
Gud,Menuesfer,543
hnn,næsfen,544
Malene,Marie Krog,552
Filia Maris,Hain,556
Filia,Madam Melanie Vernet,559
Melanie,hnn,563
Filia,Knud,565
Filia,Melanie,569
Berg,Knud,572
Filia,Melanie,574
Filia,Filia Maris,577
Filia Maris,Najade,577
Hebe,Najade,577
Hebe,Mignon,577
,Marie Krog,579
