Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
knnnc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ømhn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Filia,0,0,0,0,43,1.0,88,1.0,43,1.0,0.56,1.0,0.32,1.0
Filia Maris,0,0,0,0,8,0.17,9,0.09,8,0.17,0.18,0.32,0.07,0.22
Maris,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Anacreøn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Horatius,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lars Krog,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.05,0.01,0.03
dein,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hnn,0,0,0,0,24,0.55,38,0.43,24,0.55,0.31,0.55,0.24,0.75
voxen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
Jomfru Olsen,0,0,0,0,2,0.02,5,0.05,2,0.02,0.09,0.16,0.0,0.0
rorc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Posejdons,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Posejdvns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
8tull,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
tllsol,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.03
Konrad Herbst,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.02,0.06
Møhl,0,0,0,0,3,0.05,4,0.03,3,0.05,0.02,0.04,0.04,0.12
,0,0,0,0,10,0.21,12,0.13,10,0.21,0.14,0.25,0.07,0.22
Kamilla,0,0,0,0,11,0.24,19,0.21,11,0.24,0.15,0.27,0.09,0.28
Kennst,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Frants,0,0,0,0,6,0.12,9,0.09,6,0.12,0.07,0.12,0.03,0.09
Konrad,0,0,0,0,9,0.19,14,0.15,9,0.19,0.18,0.32,0.09,0.28
sif,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.04,0.01,0.03
hu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frøken Sidonius,0,0,0,0,3,0.05,4,0.03,3,0.05,0.04,0.07,0.02,0.06
Mignon,0,0,0,0,3,0.05,3,0.02,3,0.05,0.01,0.02,0.01,0.03
heudes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Dn,0,0,0,0,3,0.05,3,0.02,3,0.05,0.02,0.04,0.01,0.03
Frøken Sidonins,0,0,0,0,3,0.05,3,0.02,3,0.05,0.03,0.05,0.03,0.09
Laura,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.02,0.06
Eksegesen,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.04,0.01,0.03
Jørgen kure,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hnn,0,0,0,0,7,0.14,11,0.11,7,0.14,0.07,0.12,0.09,0.28
eu,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.07,0.0,0.0
Laudsbypræsf,0,0,0,0,1,0.0,2,0.01,1,0.0,0.04,0.07,0.0,0.0
Ten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Krog,0,0,0,0,6,0.12,15,0.16,6,0.12,0.14,0.25,0.02,0.06
fig,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.03
Pastor Krog,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Hebe,0,0,0,0,4,0.07,5,0.05,4,0.07,0.01,0.02,0.01,0.03
Najade,0,0,0,0,2,0.02,3,0.02,2,0.02,0.02,0.04,0.01,0.03
Aphrodite,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Man.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Mare Filia,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
deu Filia Maris,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,7,0.14,7,0.07,7,0.14,0.1,0.18,0.04,0.12
Storm,0,0,0,0,13,0.29,19,0.21,13,0.29,0.22,0.39,0.06,0.19
Froken Sidonius,0,0,0,0,3,0.05,3,0.02,3,0.05,0.04,0.07,0.01,0.03
Toren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Kjære,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
jæg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
huu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
frein,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Graad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
taa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
trofasf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hilsfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Svens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
Mesteren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Berg,0,0,0,0,7,0.14,10,0.1,7,0.14,0.16,0.29,0.04,0.12
lee,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.04,0.0,0.0
Hain,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.05,0.0,0.0
Knud Storm,0,0,0,0,2,0.02,2,0.01,2,0.02,0.02,0.04,0.0,0.0
Kokef,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mads,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Jfolge,0,0,0,0,2,0.02,2,0.01,2,0.02,0.07,0.12,0.01,0.03
lille Filia,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
bævænde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Øe,0,0,0,0,2,0.02,2,0.01,2,0.02,0.09,0.16,0.0,0.0
kjæræ Pastor Krog,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.12,0.0,0.0
Ur. Berg,0,0,0,0,2,0.02,2,0.01,2,0.02,0.1,0.18,0.0,0.0
Søren Kierkegaard,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
neskc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.07,0.0,0.0
