source,target,timestamp
Ivarson,s,16
Ivarson,s,16
Ivar Ivarson,Silfverstolpe,23
Ivar Ivarson,Jacobo,23
Ivar Ivarson,øg,25
Ivar Ivarson,Ivarson,30
Herr Ivar,Ivarson,32
Ivar Ivarson,blol,34
Jvar-son,Stefana,36
Jacobe,Jocobos,41
Jocobos,Stefana,41
Ivarsøn,kjæræ,43
Ivarsøn,Stefano,43
Dn,Jacobs,44
Dn,Olga,44
Ivarson,Stefana,48
Ivarson,Jacobo,48
Ivarson,Jacobo,49
Jacobo,Olga,51
Ivarson,Stefana,53
Ivarson,Olga,53
Aakernæs,Langes,54
Stefana,kjæræ,55
Ivar Ivarson,Jacobo,56
Ivar Ivarson,Jacobo,56
Herr Ivarson,Levy,68
Jøden,Minna,72
Llinära,liroatrsn,76
Asten,Sara,78
Frøken Minna,Ivarson,81
Ivarson,Minna,83
Ivarson,Levy,85
Iacobo Ivarson,Jacobs,88
Jacobs,Minna,88
Jacobo Ivarson,Minna,89
Jacobo,Vexler,90
Ivar Ivarson,Vexler,90
Ivar Ivarson,Jacobo,90
Jacobo,Minna,90
Ja-cobo,Minna,92
Ja-cobo,Minna,92
Jacobs,Minna,92
Ivarson,Jacobs,92
Bhes,Jacobo,93
Bhes,Ivarson,93
Ivarson,Minna,93
Ivarson,Minna,93
Ivar Ivarson,Ivarson,93
Hnn,Romarhjerte,96
Ivarson gjerne,Romarhjerte,97
Grevinde Romarhjertcs,Ivarson,98
Grevinde Romarhjertcs,rilføies,98
hnn,rilføies,98
Jacobo Ivarson,Romarhjerta,101
Jacobo Ivarson,Romarhjerta,102
Constance,Jacobo,105
Ivarson,Jacobo,107
Jacobo,Stephans,108
Constance,Stephans,108
Arthur Sjøberg,sif,113
Romarhjerta,sif,113
Romarhjerta,Sjyberg,113
Arthur Sjøberg,Sjyberg,113
Arthur,Arthur Sjøberg,113
Arthur,lee,113
Arthur Sjøberg,lee,113
Jvarso,Romarhjerta,117
Romarhjerta,saaleoes,117
Arthur,Ieg,121
Beilednmg,Øe,122
Beilednmg,Jacobo,122
Arthur,Constance,125
Constance,nied,125
Arthur,Ivarson,126
Ivarson,Jacobo,126
Arthur,Romarhjerle,127
Jacobo kjært,Romarhjerle,127
Arthur,Jacobo kjært,127
Arthur,Jacobo,128
Arthur,Jacobo,128
Arthur,Jacobo,128
Arthur,Jacobo,128
Jacobo,Sjøberg,129
Ieg,Jacobo,134
Arthur,Jacobo,135
Jacobs,Sjøberg,136
Arthur,Jacobs,136
Arthur,Jacobo,136
Jacobo,Romarhjerta,136
Arthur,Romarhjerta,136
Arthur,Jacobo,136
Jacobo,JacoboS,144
Jacobo,froe,144
Arthur Sjøberg,Jacobo,145
Cæsar,Jacobo,148
Gud,Minna,161
Jacobo,Minna,161
Figuranlinders,Gud,164
Minna,Sjøberg,166
Dn,Jacobo,171
Dn,Jacobo,173
Jacobo,Sjøberg,175
Frøken Minna,Jacobo,175
Jacobo,Sjøberg,187
Romarhjerta,Sjøberg,187
Constance Ivarson,Romarhjerta,187
Constance Ivarson,Minna,187
Minna,nn,187
Ivar Ivarson,nn,188
Ivar,Ivar Ivarson,189
Ivar,Ivarson,189
Ivar Ivarson,Ivarson,189
Ivar Ivarson,Jacobo Lange,191
Ivar Ivarson,Jacobo Lange,191
Ivar Ivarson,Lange,191
Ivarson,Lange,192
Ivarson,Lange,192
Ivar-sons,Lange,192
Ivarson,ban,195
Ivarson,Jacobo,195
Ivarson,Jacobo,195
Ivarson,Lange,195
Ivarson,Lange,195
