source,target,type,weight
Brahe,hansBpnder,Undirected,1
Ridefogdens,hansBpnder,Undirected,1
Pidsk,Ridefogdens,Undirected,1
Brahe,nran,Undirected,1
Jb,Jesper,Undirected,3
Ib,Jesper fil,Undirected,1
Ib,Jesper,Undirected,5
Hille,Ib,Undirected,1
Drude,Moer,Undirected,2
Drude,Jesper,Undirected,2
Drude,Ib,Undirected,9
Gud,Jesper,Undirected,2
Brahe,Moer Drude,Undirected,1
Brahe,Jesper,Undirected,3
Jesper,hnn,Undirected,1
Aloer,hnn,Undirected,1
Aloer,Drude,Undirected,1
Gud,øg,Undirected,1
Drude,Gud,Undirected,1
Gud,Ib,Undirected,6
Drude,Jb,Undirected,1
Ib,Moer Drude,Undirected,4
Gud,Moer Drude,Undirected,2
Byrncnc,Gud,Undirected,1
Henrik,Kirsfine,Undirected,1
Gud,Kirsfine,Undirected,5
Drude,tanse,Undirected,1
Drude,laae,Undirected,1
Drude,Hexckvinde,Undirected,1
Hexckvinde,Ib,Undirected,1
Henrik,Ib,Undirected,7
Henrik,Knud,Undirected,4
Ib,iveien,Undirected,1
Henrik,Marv,Undirected,1
Jb,Marv,Undirected,1
Knndstrup,Otto Krähe,Undirected,1
Otto Brahe,Otto Krähe,Undirected,1
Hnn,Otto Brahe,Undirected,1
Sophie,Tyge,Undirected,12
Otto Brahe,Sophie,Undirected,4
Otto Brahe,Tyge,Undirected,17
Tyge,^nan,Undirected,1
^nan,yar,Undirected,1
Tyge,j,Undirected,1
Otto Brahe,j,Undirected,1
Otto Brahe,soran,Undirected,1
Otto Brahe,ban,Undirected,1
Tyge,Tyge Brahc,Undirected,1
har,j,Undirected,1
Ofto Brahe,Tyge,Undirected,3
Brahc,ban,Undirected,1
Brahe,Herr Brahes,Undirected,1
Herr Brahes,Herr. Brahe,Undirected,1
Brahe,Herr Brahe,Undirected,3
Herr Brahe,bvorledcs,Undirected,1
Moer Drude,bvorledcs,Undirected,1
Hexckvindc,Moer Drude,Undirected,1
Ester,Otto Brahe,Undirected,2
Drude,Ester,Undirected,1
Drude,sorn,Undirected,1
Hr. Brahe,sorn,Undirected,1
Hr. Brahe,Troldkoncns,Undirected,1
Mo,Troldkoncns,Undirected,1
Drude,Mo,Undirected,1
Otto Brahe,Oxen,Undirected,1
Brahe,Otto Brahe,Undirected,10
Ib,Knud,Undirected,4
Kirsfine,Kirstine,Undirected,4
Ferle,ban,Undirected,1
Ferle,Kirstine,Undirected,1
Gud,Kirstine,Undirected,9
Eierindc,Gud,Undirected,1
Ib,Kirstine,Undirected,13
Brahe,Ib,Undirected,7
Attraa,Kirstine,Undirected,1
Ib,Kirsfine,Undirected,2
Brahe,Kirsfine,Undirected,2
Herr Brahe,Ib,Undirected,16
Brahe,Tyge,Undirected,48
Knndstrup,Tyge Brahc,Undirected,1
Kong Frederik den Anden,Salomons,Undirected,1
Frederik den Andens,Sophie,Undirected,2
Sophie,Ulrik,Undirected,1
Hans,Ulrik,Undirected,1
Dronning Sophie,Kronprinds Kristian,Undirected,1
Dronning Sophie,Voxen,Undirected,1
Frederik den,Otto Brahe,Undirected,2
Herr Brahc,Tyge,Undirected,1
Frederik den,Tyge,Undirected,4
Frederik den,Krogens,Undirected,1
Brahe,Krogens,Undirected,1
-,Steen,Undirected,1
Brahe,Steenwinkel,Undirected,3
Brahe,Stenwinkel,Undirected,1
Otto Brahe,Stenwinkel,Undirected,1
Steenwinkel,Thge,Undirected,3
Steenwinkel,Tyge,Undirected,7
Brahe,knn,Undirected,1
Tyge,øg,Undirected,3
Stecnwinkel,Tyge,Undirected,1
Otto Brahe,Stecnwinkel,Undirected,1
Frederik den,Oluf Bager,Undirected,1
Otto Brahe,Ridder Brahe,Undirected,1
Brahe,ban,Undirected,1
Brahc,Tyge,Undirected,2
Brahe,Gud,Undirected,2
Brahe,kim faa,Undirected,1
Gud,kim faa,Undirected,1
Herr Brahe,iland,Undirected,1
Herr Brahe,Tyge,Undirected,13
Herr Brahe,Jesper,Undirected,3
Jesper,Otto Brahe,Undirected,1
Brahe,Jb,Undirected,1
Hr. Brahe,Jb,Undirected,1
Jb,sægde,Undirected,1
Herr Brabe,Herr Brahe,Undirected,1
Brahc,Herr Brahe,Undirected,1
Brahc,Jesper,Undirected,1
Herr Brahc,Ib,Undirected,2
Drude,Mocr,Undirected,1
Gud,Herr Brahe,Undirected,1
Ib,Otto Brahe,Undirected,3
Ib,Knudstrnps,Undirected,1
Karaktecrs,Knudstrnps,Undirected,1
Herr Brahe,Karaktecrs,Undirected,1
Ib,deur,Undirected,1
Knud,nn,Undirected,1
Henrik,Kirstine,Undirected,2
Brahe,Parsberg,Undirected,3
Herr Parsbergs,Ib,Undirected,1
Herr Parsberg,Jb,Undirected,1
Herr Brahe,Herr Parsberg,Undirected,1
Herr Parsberg,Otto Brahe,Undirected,1
Herr Parsberg,Ib,Undirected,5
Otto Brahe,Parsberg,Undirected,1
Ester,Herr Parsberg,Undirected,1
Herr Parsberg,Kirstine,Undirected,1
Ib,Parsberg,Undirected,1
Ib,Jb,Undirected,1
Henrik,Jb,Undirected,2
Jb,Kirstine,Undirected,5
Knud,Moer Drude,Undirected,1
Herr Parsberg,Parsberg,Undirected,1
Hr. Parsberg,er Drude,Undirected,1
Henrik,Rnnd,Undirected,1
Henrik,Knnd,Undirected,2
Kirstine,Knnd,Undirected,2
Knnd,Skyttekones,Undirected,1
Kirsfine,Skyttekones,Undirected,1
Ib,Mo,Undirected,1
Mo,er,Undirected,1
Drude,er,Undirected,1
Drude,hair,Undirected,1
Hain,hair,Undirected,1
Hain,Henrik,Undirected,1
Hans,Herr Brahe,Undirected,1
Drude,Herr Brahe,Undirected,2
Herr Brahe,Kirstine øg Henrik,Undirected,1
Ib,Tyge,Undirected,13
Hr. Brahe,Ib,Undirected,1
Herr Brahe,Kirstine,Undirected,6
Kirstine,Tyge,Undirected,89
Ieg,Kirstine,Undirected,1
Ieg,benaade,Undirected,1
Drude,Tyge,Undirected,1
Herr Otto Brahc,Kirstine,Undirected,1
Gud,sfal,Undirected,1
Herr Brahe,Ib laae Kirstine,Undirected,1
Ib laae Kirstine,Tyge,Undirected,1
Gud,Tyge,Undirected,13
Jb,øg,Undirected,1
Kirstine,øg,Undirected,1
Kirstine,hnn,Undirected,8
Hain,Ib,Undirected,1
Drude,Hain,Undirected,1
Hr. Brahe,Kjelderen,Undirected,1
Herr Brahc,ban,Undirected,1
Kirsfine,hnn,Undirected,2
Herr Parsberg,hnn,Undirected,1
Kirsfine,Tyge,Undirected,20
Tyge,Tyge-,Undirected,1
Jb,Tyge,Undirected,4
Tyge,eg,Undirected,1
eg,j,Undirected,1
Leklie,Tyge,Undirected,1
Herr Brahe,Thge,Undirected,6
Ib,Junker Tyge,Undirected,1
Herr Brahe,Jb,Undirected,1
Plato,Tyge,Undirected,1
Herodor,Plato,Undirected,1
Herr Junker,Kirstine,Undirected,1
Sophia,Tyge,Undirected,2
Brahe,Braheske,Undirected,1
Brahe,Herr Otto Brahe,Undirected,3
Herr Otto Brahe,Inger Oxe,Undirected,1
Inger Oxe,Thge,Undirected,1
Brahe,Thge,Undirected,15
Tyge,ban,Undirected,4
Sands,Thge,Undirected,3
Brahe,Oxe,Undirected,2
Jørgen Brahe,Oxe,Undirected,3
Herr Brahe,Peder Oxe,Undirected,1
Peder Oxe,Tygcs,Undirected,1
Hain,Peder Oxe,Undirected,1
Gud,dersoni,Undirected,1
Peder Oxe,Thge,Undirected,4
Kong Valdemars,Tyge,Undirected,1
Gud,Kong Valdemars,Undirected,1
Ib,Thge,Undirected,2
Tyge,Tyge Brahe,Undirected,33
Jb,Thge,Undirected,2
Gud,Junker,Undirected,1
Herr Jørgens,Thge,Undirected,1
Jørgen Brahe,Otto Brahe,Undirected,2
Herr Otto Brahe,Tyge,Undirected,3
Herr Otto Brahe,Otto Brahe,Undirected,2
Jørgen Brahe,Thge,Undirected,2
Thge,Thgeø,Undirected,1
Thgeø,Tyge,Undirected,1
Tyge,ester,Undirected,5
Dei,ester,Undirected,1
Christian lV,Dei,Undirected,1
Christian lV,Munk,Undirected,1
Ellen Marsvin,Munk,Undirected,1
Anders Sørensen,Brahe,Undirected,9
Anders Sørensen,Wedel,Undirected,1
Beile,Wedel,Undirected,1
Beile,Tyge,Undirected,1
Herr Jørgen Brahe,Tyge,Undirected,3
Anders Sørensen Wedel,Herr Jørgen Brahe,Undirected,1
Anders Sørensen Wedel,Tyge,Undirected,1
Tyge,Wedel,Undirected,3
Thge,Wedel,Undirected,5
Herr Jørgen Brahe,Thge,Undirected,1
Herr,Herr Jørgen Brahe,Undirected,1
Anders Sørensen,Tyge,Undirected,38
Anders Sørensen,ban,Undirected,4
Herr,ban,Undirected,1
Anders Sørensen,Herr,Undirected,1
Anders Sørensen,Herr Brahe,Undirected,2
Hain,Tyge,Undirected,2
Brahc,Hain,Undirected,1
Anders Sørensen Wedel,Brahe,Undirected,1
Anders Sørensen,Anders Sørensen Wedel,Undirected,1
Niels Ebbesen,hans Hellegjerning,Undirected,1
Frederik den,Jørgen Brahe,Undirected,1
Anders Sørensen,Jørgen Brahe,Undirected,2
Anders Sørensen,Tyge —,Undirected,1
Brahe,Sørensen,Undirected,1
Anders Sørensen,Herr Jørgen,Undirected,4
Glands,Herr Jørgen,Undirected,1
Oxe,Tyge,Undirected,7
Thge,Tyge,Undirected,62
Christian den,Frederik den,Undirected,4
Anders Sørensen Wedel,Tyge Brahe,Undirected,1
Herr Jørgen,Tyge,Undirected,4
