Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Charles Levers,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Jason,0,0,0,0,6,0.16,6,0.04,6,0.16,0.11,0.21,0.06,0.16
Mademoiselle,0,0,0,0,8,0.22,10,0.07,8,0.22,0.13,0.25,0.08,0.21
Monsieur Caillou,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.06,0.0,0.0
Caillou,0,0,0,0,8,0.22,10,0.07,8,0.22,0.12,0.23,0.13,0.34
Krebs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
as,0,0,0,0,4,0.09,5,0.03,4,0.09,0.07,0.13,0.03,0.08
Mr. Caillou,0,0,0,0,5,0.12,5,0.03,5,0.12,0.04,0.08,0.02,0.05
Søshge,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Anton Hasting,0,0,0,0,4,0.09,6,0.04,4,0.09,0.19,0.37,0.02,0.05
Hasting,0,0,0,0,33,1.0,122,1.0,33,1.0,0.52,1.0,0.38,1.0
Mademviselles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.07,0.13,0.0,0.0
Mr. Hasting,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
eu,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.02,0.05
Mr. Hafting,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Stewarten,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.0,0.0
Jason med,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
K le,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
ys,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.02,0.05
L,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.03,0.08
an,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.04,0.11
nn,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.06,0.16
Graad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
ester,0,0,0,0,2,0.03,3,0.02,2,0.03,0.12,0.23,0.0,0.0
Papa,0,0,0,0,1,0.0,2,0.01,1,0.0,0.07,0.13,0.0,0.0
l London,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.01,0.03
Anton Hasling,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bente,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bernhard,0,0,0,0,18,0.53,87,0.71,18,0.53,0.34,0.65,0.14,0.37
Bernhard Anton,0,0,0,0,2,0.03,2,0.01,2,0.03,0.12,0.23,0.0,0.0
Dir,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Ida,0,0,0,0,25,0.75,115,0.94,25,0.75,0.4,0.77,0.24,0.63
Hasfing,0,0,0,0,3,0.06,9,0.07,3,0.06,0.09,0.17,0.02,0.05
sordi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
