Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Rolf,0,0,0,0,10,0.15,16,0.12,10,0.15,0.18,0.31,0.03,0.06
vaa Lander,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
SøkroneS,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
fig,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.01,0.02
,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Væxt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mathilde,0,0,0,0,26,0.42,63,0.51,26,0.42,0.24,0.41,0.2,0.43
Meo,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.05,0.01,0.02
Huri,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Glassing,0,0,0,0,7,0.1,12,0.09,7,0.1,0.03,0.05,0.06,0.13
Løvenstcdt,0,0,0,0,2,0.02,2,0.01,2,0.02,0.03,0.05,0.0,0.0
ec,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
GlaLsing,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
Løvenstedts,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Løvenstedt,0,0,0,0,6,0.08,6,0.04,6,0.08,0.09,0.15,0.02,0.04
Quolstrup,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
strop,0,0,0,0,2,0.02,2,0.01,2,0.02,0.0,0.0,0.02,0.04
Hain,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
itke,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.05,0.0,0.0
