source,target,type,weight
Georges,hu,Undirected,2
Fanchette,Georges,Undirected,15
Fanchstte,Myrthekrandse,Undirected,1
Fanchette,Myrthekrandse,Undirected,1
Alfons,Franks,Undirected,1
Georges,Valsry,Undirected,4
Georges,æt,Undirected,1
Grev Valorys,u. ig,Undirected,1
Alfons,Jstdor,Undirected,1
Georges,taus,Undirected,1
Georges,Himle,Undirected,2
Pisfolen,hu,Undirected,1
Jsidor,Maane,Undirected,1
Alfons,Valery,Undirected,1
Fanchette,Jsidor,Undirected,1
D,Fanchette,Undirected,1
Fanchette,Jfidør,Undirected,1
Valsry,fig,Undirected,1
Georges,äs,Undirected,6
Valsry,äs,Undirected,5
Georges,Le,Undirected,1
Alfons,Georges,Undirected,8
George- äs,Valsry,Undirected,1
Jsidor Mustapha,Valsry,Undirected,1
Fanchette,hu,Undirected,1
Jstdor,Pepo,Undirected,1
Alfons,Fanchette,Undirected,5
Georges,Gud,Undirected,3
Georges,jæg,Undirected,1
Fanchette,Gud,Undirected,1
Istdor,Pepo,Undirected,1
Alfons,Istdor,Undirected,1
Fanchette,pinlig,Undirected,1
Jsidor,mia d,Undirected,1
Eie,Gud,Undirected,2
Fanchette,chette,Undirected,1
Georges,Greve«,Undirected,1
Georges,Greven,Undirected,2
Nina,hu,Undirected,1
Grev äs,Valsry,Undirected,2
Fanchette,slolt,Undirected,1
Georges,slolt,Undirected,1
Fanchette,Favchettss,Undirected,1
Fanchette,Greven,Undirected,1
Fanchette,Kane,Undirected,1
Gud,hu,Undirected,1
Adam,Keiser Napoleon,Undirected,1
Adam,fig,Undirected,1
Georges,Lise,Undirected,1
Adam,Georges,Undirected,2
Isidor,Jeannette,Undirected,1
Alfons,Ifidors,Undirected,1
Ingeborg,skjønne,Undirected,1
Birthe,Ingeborg,Undirected,9
Ingeborg,Karls,Undirected,1
Birthe,Karls,Undirected,1
Beiler,Ingeborg,Undirected,2
Ingeborg,hu,Undirected,1
Ole,Ole Jensen,Undirected,3
Ingeborg,Ole,Undirected,3
Alfons,Ingeborg,Undirected,5
Endnn,Ingeborg,Undirected,1
AlfonS,Alfons,Undirected,1
Ingeborg,Norup,Undirected,2
Alfons,Norup,Undirected,5
Mimi,Norup,Undirected,4
Alfons,Mimi,Undirected,6
Ole,fig,Undirected,1
J,fig,Undirected,1
Gud,Norup,Undirected,1
Mimi,Ole Jensen,Undirected,3
Mimi,hu,Undirected,3
Alfons,Rimi,Undirected,1
Alfons,fig,Undirected,1
Steen,hnn,Undirected,1
Mimi,Steen,Undirected,1
Green,bøier,Undirected,1
Alfons,Ole Jensen,Undirected,1
Norup,Ole Jensen,Undirected,1
Alfons,Karlen,Undirected,2
Alfons,hu,Undirected,1
Mimi,hu«,Undirected,1
Hu,hnn,Undirected,1
Emil,Lydia,Undirected,1
Lydia,gio,Undirected,1
Adam Fuglefænger,Liredreiers,Undirected,1
Aurelia,taus,Undirected,1
Josef Margot,Liredreiere,Undirected,1
Aurelia,Lydia,Undirected,25
Josef,Lydia,Undirected,15
Athos,Iosef,Undirected,2
Athos,Franks,Undirected,1
Aurelia,Josef,Undirected,19
Gud,Mairen,Undirected,1
Eieren,Karl,Undirected,1
Aurelia,Franks,Undirected,1
Lydia,lilsyne,Undirected,1
Lydia,äs,Undirected,2
Greven,skog Hesfen,Undirected,1
Lydia,Lydia fog,Undirected,1
Lydia,reisfe Greve,Undirected,1
Lydia,hu,Undirected,2
Alf,attio,Undirected,1
Greven,Josef,Undirected,2
Hsn,Verdielle,Undirected,1
Lydia,hendeMusette,Undirected,1
AurelLa,Josef,Undirected,1
Verde,hu,Undirected,2
Aurelia,Gud,Undirected,3
Adam,Josef,Undirected,3
Adam,sire,Undirected,1
Adam,Aurelia,Undirected,4
