source,target,type,weight
Olaf Lund,slolt,Undirected,1
Kvik,Olaf Lund,Undirected,1
Sørensen,hnn,Undirected,1
Mo ' er,Sørensen,Undirected,11
Adam,Ole,Undirected,4
Mo ,er Sørensens,Undirected,1
Aten Mo ,er,Undirected,1
Sørensen,er,Undirected,1
Mo ,Sørensen,Undirected,5
Sørensen,hans,Undirected,1
Ole,son,Undirected,1
Mo ' r Sørensen,Ole,Undirected,1
Mo ,er Sørensen,Undirected,18
Sørensen,ester,Undirected,2
Mo,Sørensen,Undirected,6
Sørensen,tthi,Undirected,1
Ole,Sørensen,Undirected,5
Adam,Sørensen,Undirected,11
Adam,lille Adam,Undirected,3
Mo,er Sørensen,Undirected,1
,Mo,Undirected,2
,Sørensen,Undirected,2
Sørensen,er Sørensen,Undirected,5
Madam Sørensen,er Sørensen,Undirected,1
Helene,Ole,Undirected,5
Hansen,Mo ' er Sørensen,Undirected,1
Helene,Louise,Undirected,1
Adam,er Sørensen,Undirected,9
Peter,hnn,Undirected,1
Ole,Peter,Undirected,1
er Sørensen,soni,Undirected,1
Adam,Mo ,Undirected,3
' er,Sørensen,Undirected,1
Peter,Sørensen,Undirected,3
Jensen,Ole,Undirected,1
Ole,er Sørensen,Undirected,4
Peter,er Sørensen,Undirected,2
Helene,Mo ,Undirected,4
Holm,Ole,Undirected,8
Mo ' er Sørensen,Ole,Undirected,2
Helene,Holm,Undirected,4
Adam,Ester,Undirected,2
er Sørensen,sorn,Undirected,1
Peder,Sørensen,Undirected,1
Helene,Sørensen,Undirected,14
er Sørensen,sfreg,Undirected,1
Mo ,Ole,Undirected,1
Helene,Karl Hansen,Undirected,1
Hansen,hisf,Undirected,1
Holger Svendsens,L Wain,Undirected,1
Bladam Nielsen,Naa,Undirected,1
Eva,Hansen,Undirected,2
Adam,Eva,Undirected,1
Eva,Karl,Undirected,1
Hansen,Madam Nielsen,Undirected,2
eugang,nn,Undirected,1
Helene,Holger Svendsen,Undirected,12
Helene,Holger,Undirected,7
Holger,ester,Undirected,1
H Hi,Helene,Undirected,1
Hansen,lulter,Undirected,1
Hansen,næsfen,Undirected,1
Pi,er Sørensen,Undirected,1
Hansen,Kjøn,Undirected,1
Dokfor,Madam Mikkelsen,Undirected,1
Hansen,Madam Mikkelsen,Undirected,1
Adam,Mo ' er Sørensen,Undirected,2
Adanr,Hansen,Undirected,1
Adam,son,Undirected,1
Adam,Hansen,Undirected,12
Adam,lille AdamS,Undirected,1
Hansen,Helene,Undirected,19
Adam,Helene,Undirected,10
Helene,er Sørensen,Undirected,2
Adam,Peter,Undirected,2
Bakkus,Hansen,Undirected,1
Peter,Sørensen dingle,Undirected,1
Mo,Peter,Undirected,1
Hansen,gøs,Undirected,1
Adam,Ørengens,Undirected,1
Fa ,Sørensen,Undirected,1
Fa ,er Sørensen,Undirected,1
Knark,er Sørensen,Undirected,2
Knark,Sørensen,Undirected,1
Knark,ester,Undirected,1
Adam standsede,Sørensen,Undirected,1
Helene,lille Adam,Undirected,2
Helene,mo^,Undirected,1
Helene,Mo,Undirected,1
Helene,Ljeutenant,Undirected,1
Helene,Ørengen,Undirected,1
Adam,Doktor Hansens,Undirected,1
Hansen,Holger Svendsen,Undirected,17
Ludvig,Ole,Undirected,23
Karl,Ole,Undirected,1
Ole,fhan,Undirected,1
Aland,Guds,Undirected,1
Ole,as Ludvigs,Undirected,1
Ludvig,Syle,Undirected,1
Doktor Hansens,ogfaa,Undirected,1
Ludvig,Peter,Undirected,1
Ludvig,Ole Sørensen,Undirected,3
Holger,Ole Sørensen,Undirected,1
Hansen,Ludvig,Undirected,5
Akester,Dokfor Hansen,Undirected,1
Dtand,Valdemar,Undirected,1
Ludvig,nicn,Undirected,1
Hr. Skov,son,Undirected,1
Karl,Manuelo,Undirected,1
Hr. Skov,Manuelo,Undirected,4
Manuelo,setil,Undirected,1
Mannelo,fopstod,Undirected,1
Mannelo,Mythen,Undirected,1
Mythen,Samson,Undirected,1
Dalilla,Samson,Undirected,1
Dalilla,Mannelo,Undirected,1
Manuelo,husf,Undirected,2
Hr. Skov,Ludvig,Undirected,16
Hr. Holm,Søulk,Undirected,1
Ole Sørensen,ester,Undirected,1
Ludvig,Skov,Undirected,4
Ludvig,sidsfe,Undirected,1
Ludvig,hnn,Undirected,1
Guds,Ludvig,Undirected,1
Olaf,soni,Undirected,1
Lund,Olaf,Undirected,5
Helene,Hr. Skov,Undirected,2
Helene,ester,Undirected,2
Holm,Hr. Skov,Undirected,2
Søulk,c,Undirected,1
Eva Holms,Oskar Skov,Undirected,1
Eva Holms,Olaf Lund,Undirected,2
Eva Holms,ester,Undirected,1
Holm,Oskar Skov,Undirected,4
Helene Sørensens,Holger Svendsen,Undirected,1
Helene,Helene Sørensen,Undirected,1
Svendsen,ester,Undirected,1
Svendsen,Sørenselv,Undirected,1
Svendsen,Sørensen,Undirected,1
Holger,Svend,Undirected,1
Schindler,portioginsn,Undirected,1
Hr. Schindler,portioginsn,Undirected,1
Holger Svendsen,Schindler,Undirected,5
lassen,verblüffen,Undirected,1
Skaal,lassen,Undirected,1
Holger Svendsen,Hr. Schindler,Undirected,1
Potz,tausend,Undirected,1
Schindler,Svendsen,Undirected,1
Holger Svendsen,Holm,Undirected,1
Madam Petersen,Mortensen,Undirected,1
Madam Petersen,dingle,Undirected,1
Mortensen,dingle,Undirected,1
Helene Sørensen,Holm,Undirected,1
Hansen,hnn,Undirected,2
E.,Helene,Undirected,1
Helene,skgu,Undirected,2
Holger,Hr. Svendsen,Undirected,1
Aled,Helene,Undirected,1
Holger,bisse,Undirected,1
Helene,Hnn,Undirected,1
Hain,Madam Mikkelsen,Undirected,1
Adam,Madam Mikkelsen,Undirected,3
Adam,Doktør Hansen,Undirected,1
Aken Doktor Hansen,Ole askegraa,Undirected,1
Sørensen,nn,Undirected,1
Hansen,er Sørensen,Undirected,1
Adam,Ole Sørensen,Undirected,1
Hansen,Mo ,Undirected,1
er Sørensen,hnn,Undirected,1
Adam,hnn,Undirected,1
Adam,ban,Undirected,1
Dein,ban,Undirected,1
Nickolin,Nikoline,Undirected,1
Nikoline,son,Undirected,1
ester,hnn,Undirected,1
Ludvig,Nickolm,Undirected,1
Dn,Ole,Undirected,1
Hin,Ole,Undirected,2
Ole,deur,Undirected,1
Hejda,Ole,Undirected,1
Hejda,Ole Sørensen,Undirected,1
Ole,Ole Sørensen,Undirected,1
Ole,das,Undirected,1
Ole,nien,Undirected,1
Ludvig,lille Ole,Undirected,1
Ole,lille Ole,Undirected,1
Hansen,Ole,Undirected,3
Ludvig,son,Undirected,1
Dein,Øe,Undirected,1
Ludvig,Manuelo,Undirected,1
Hr. -Skovs,Ludvig,Undirected,1
Hr. Skov,Ole,Undirected,1
Karl,Karl Hansen,Undirected,1
Holm,js,Undirected,1
: Skovs,Ludvig,Undirected,1
Skov,hani,Undirected,1
Adam,Øoktor Hansen,Undirected,1
Madam Mikkelsen,lille Adam,Undirected,1
Olaf Lund,oni Eva Holm,Undirected,1
Hansen,Hr. Skov,Undirected,6
Eva Holm,Olaf Lund,Undirected,21
Olaf,Olaf Lund,Undirected,1
Holm,Olaf,Undirected,2
Eva,Lund,Undirected,1
Eva,Oluf,Undirected,1
Karl Hansen,Olaf Lund,Undirected,4
Karl,Olaf,Undirected,1
Eva Holm,Karl,Undirected,1
Holm,Olaf Lund,Undirected,17
Lund,Søulk,Undirected,1
Eva,Olaf,Undirected,4
ester,kHolms,Undirected,1
Olaf Lund,kHolms,Undirected,1
Eva Holm,Karl Hansen,Undirected,4
Olaf Lund,Olas Lunds,Undirected,1
Karl Hansen,Olaf Lund saa,Undirected,1
Karl Hansen,hans,Undirected,1
Eva Holm,hans,Undirected,1
Eva,Holm,Undirected,2
Eva,Olaf Lund,Undirected,4
Eva,Eva Holm,Undirected,1
Olaf Lund,nied Eva,Undirected,1
Eva Holm,Hansen,Undirected,1
Frygts,Holm Olaf Lund,Undirected,1
Hansen,Olaf Lund,Undirected,6
Hr. Skov,Olaf Lund,Undirected,1
Deni,Olaf Luud,Undirected,1
Eva Holm,hamat,Undirected,1
Carl Hansen,Olaf Lund,Undirected,1
Olaf Lund,Søørn,Undirected,1
Elstendes,Eva Holm,Undirected,1
Eva Holm,Søulk,Undirected,2
Olaf Lund,Søulk,Undirected,2
Ester,Hr. Skov,Undirected,1
Hansen,niig,Undirected,1
Olaf Lund,Skov,Undirected,1
Karl,Olaf Lund,Undirected,1
Hansen,Olaf,Undirected,1
Jærnhaand,Olaf,Undirected,1
Hansen,Søulk,Undirected,1
Zigeunerliv,as Robert Hjelm,Undirected,1
Holger,Mille,Undirected,2
Helene,Mille,Undirected,1
Helene Sørensen,Holger,Undirected,2
Dn,Holger,Undirected,1
Gud,Helene,Undirected,1
Helene Sørensen,k,Undirected,1
Holger,hnn,Undirected,1
Helene,Jaquette,Undirected,1
Aeg,Helene,Undirected,1
Hansen,Helme,Undirected,1
Hansen,Holger,Undirected,2
Faders,Hansen,Undirected,2
Doktor Hansen,Hansen,Undirected,1
Hansen,Hnn,Undirected,1
Helene,Hrnsen,Undirected,1
Dien,Helene,Undirected,1
Furien,Holger Svendsen,Undirected,3
Furien,Mille,Undirected,2
Holger Svendsen,Mille,Undirected,1
Helene,Hr. Svendsen,Undirected,2
Helene,j,Undirected,1
Furien,Helene,Undirected,3
Helene,Svendsen,Undirected,1
Hnn,Holger Svendsen,Undirected,1
Ester,Helene,Undirected,1
Helene,Skogger,Undirected,1
Holm,Sands,Undirected,1
Hansen,Holm,Undirected,1
Helene Sørensen,Holger Svendsen,Undirected,3
Adam,Madam Nielsen,Undirected,5
Bladam Mikkelsen,hans,Undirected,1
Helene,hans,Undirected,1
Dokfor,elsfe,Undirected,1
