Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Olaf Lund,0,0,0,0,20,0.47,69,0.59,20,0.47,0.13,0.36,0.09,0.41
slolt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Kvik,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Sørensen,0,0,0,0,21,0.5,75,0.64,21,0.5,0.2,0.56,0.1,0.45
hnn,0,0,0,0,9,0.2,10,0.08,9,0.2,0.17,0.47,0.01,0.05
Mo ' er,0,0,0,0,1,0.0,11,0.09,1,0.0,0.02,0.06,0.0,0.0
Adam,0,0,0,0,23,0.55,77,0.66,23,0.55,0.26,0.72,0.1,0.45
Ole,0,0,0,0,34,0.82,82,0.7,34,0.82,0.34,0.94,0.18,0.82
Mo ,0,0,0,0,7,0.15,33,0.28,7,0.15,0.16,0.44,0.01,0.05
er Sørensens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Aten Mo ,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
er,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.06,0.01,0.05
hans,0,0,0,0,5,0.1,5,0.03,5,0.1,0.07,0.19,0.01,0.05
son,0,0,0,0,5,0.1,5,0.03,5,0.1,0.08,0.22,0.02,0.09
Mo ' r Sørensen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
er Sørensen,0,0,0,0,16,0.38,51,0.43,16,0.38,0.21,0.58,0.05,0.23
ester,0,0,0,0,9,0.2,11,0.09,9,0.2,0.1,0.28,0.01,0.05
Mo,0,0,0,0,5,0.1,11,0.09,5,0.1,0.09,0.25,0.0,0.0
tthi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
lille Adam,0,0,0,0,4,0.07,7,0.05,4,0.07,0.1,0.28,0.0,0.0
,0,0,0,0,2,0.03,4,0.03,2,0.03,0.03,0.08,0.0,0.0
Madam Sørensen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Helene,0,0,0,0,41,1.0,116,1.0,41,1.0,0.36,1.0,0.21,0.95
Hansen,0,0,0,0,37,0.9,103,0.89,37,0.9,0.36,1.0,0.22,1.0
Mo ' er Sørensen,0,0,0,0,3,0.05,5,0.03,3,0.05,0.09,0.25,0.0,0.0
Louise,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Peter,0,0,0,0,8,0.17,12,0.1,8,0.17,0.13,0.36,0.01,0.05
soni,0,0,0,0,4,0.07,4,0.03,4,0.07,0.08,0.22,0.0,0.0
' er,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Jensen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Holm,0,0,0,0,17,0.4,49,0.42,17,0.4,0.19,0.53,0.07,0.32
Ester,0,0,0,0,5,0.1,6,0.04,5,0.1,0.14,0.39,0.0,0.0
sorn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Peder,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
sfreg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Karl Hansen,0,0,0,0,6,0.12,12,0.1,6,0.12,0.07,0.19,0.01,0.05
hisf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Holger Svendsens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
L Wain,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Bladam Nielsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Naa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Eva,0,0,0,0,9,0.2,17,0.14,9,0.2,0.11,0.31,0.02,0.09
Karl,0,0,0,0,7,0.15,7,0.05,7,0.15,0.08,0.22,0.01,0.05
Madam Nielsen,0,0,0,0,3,0.05,8,0.06,3,0.05,0.06,0.17,0.01,0.05
eugang,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
nn,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.06,0.01,0.05
Holger Svendsen,0,0,0,0,13,0.3,48,0.41,13,0.3,0.15,0.42,0.04,0.18
Holger,0,0,0,0,11,0.25,20,0.17,11,0.25,0.12,0.33,0.03,0.14
H Hi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
lulter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
næsfen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Pi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Kjøn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Dokfor,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.01,0.05
Madam Mikkelsen,0,0,0,0,5,0.1,7,0.05,5,0.1,0.07,0.19,0.03,0.14
Adanr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
lille AdamS,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Bakkus,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Sørensen dingle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
gøs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Ørengens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Fa ,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.11,0.0,0.0
Knark,0,0,0,0,3,0.05,4,0.03,3,0.05,0.05,0.14,0.0,0.0
Adam standsede,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
mo^,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Ljeutenant,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Ørengen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Doktor Hansens,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.06,0.01,0.05
Ludvig,0,0,0,0,17,0.4,63,0.54,17,0.4,0.15,0.42,0.08,0.36
fhan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Aland,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guds,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.01,0.05
as Ludvigs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Syle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
ogfaa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ole Sørensen,0,0,0,0,6,0.12,8,0.06,6,0.12,0.09,0.25,0.01,0.05
Akester,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Dokfor Hansen,0,0,0,0,3,0.05,3,0.02,3,0.05,0.07,0.19,0.01,0.05
Dtand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Valdemar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
nicn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Hr. Skov,0,0,0,0,9,0.2,34,0.29,9,0.2,0.16,0.44,0.03,0.14
Manuelo,0,0,0,0,5,0.1,9,0.07,5,0.1,0.04,0.11,0.02,0.09
setil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mannelo,0,0,0,0,3,0.05,3,0.02,3,0.05,0.0,0.0,0.0,0.0
fopstod,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mythen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Samson,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Dalilla,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
husf,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Hr. Holm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Søulk,0,0,0,0,7,0.15,10,0.08,7,0.15,0.09,0.25,0.02,0.09
Skov,0,0,0,0,3,0.05,6,0.04,3,0.05,0.03,0.08,0.0,0.0
sidsfe,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.14,0.0,0.0
Olaf,0,0,0,0,8,0.17,16,0.13,8,0.17,0.09,0.25,0.01,0.05
Lund,0,0,0,0,3,0.05,7,0.05,3,0.05,0.03,0.08,0.0,0.0
c,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Eva Holms,0,0,0,0,3,0.05,4,0.03,3,0.05,0.02,0.06,0.0,0.0
Oskar Skov,0,0,0,0,3,0.05,6,0.04,3,0.05,0.03,0.08,0.0,0.0
Helene Sørensens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Helene Sørensen,0,0,0,0,5,0.1,8,0.06,5,0.1,0.08,0.22,0.01,0.05
Svendsen,0,0,0,0,5,0.1,5,0.03,5,0.1,0.07,0.19,0.01,0.05
Sørenselv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Svend,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Schindler,0,0,0,0,4,0.07,8,0.06,4,0.07,0.05,0.14,0.01,0.05
portioginsn,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.0,0.0
Hr. Schindler,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.0,0.0
lassen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
verblüffen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Skaal,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Potz,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
tausend,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Madam Petersen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Mortensen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
dingle,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
E.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
skgu,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.08,0.0,0.0
Hr. Svendsen,0,0,0,0,2,0.03,3,0.02,2,0.03,0.04,0.11,0.0,0.0
Aled,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.17,0.0,0.0
bisse,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Hnn,0,0,0,0,4,0.07,4,0.03,4,0.07,0.08,0.22,0.0,0.0
Hain,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Doktør Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Aken Doktor Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ole askegraa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
ban,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.06,0.0,0.0
Dein,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.0,0.0
Nickolin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nikoline,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.03,0.01,0.05
Nickolm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Dn,0,0,0,0,4,0.07,4,0.03,4,0.07,0.05,0.14,0.01,0.05
Hin,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.08,0.0,0.0
deur,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Hejda,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.11,0.0,0.0
das,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
nien,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
lille Ole,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.11,0.0,0.0
Øe,0,0,0,0,3,0.05,3,0.02,3,0.05,0.05,0.14,0.01,0.05
Hr. -Skovs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
js,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
: Skovs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
hani,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.08,0.0,0.0
Øoktor Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
oni Eva Holm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Eva Holm,0,0,0,0,9,0.2,33,0.28,9,0.2,0.08,0.22,0.02,0.09
Oluf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
kHolms,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.06,0.0,0.0
Olas Lunds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Olaf Lund saa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
nied Eva,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Frygts,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Holm Olaf Lund,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Deni,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Olaf Luud,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hamat,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Carl Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Søørn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Elstendes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
niig,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Jærnhaand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Zigeunerliv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
as Robert Hjelm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mille,0,0,0,0,4,0.07,6,0.04,4,0.07,0.06,0.17,0.0,0.0
Gud,0,0,0,0,4,0.07,4,0.03,4,0.07,0.07,0.19,0.0,0.0
k,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Jaquette,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Aeg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Helme,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Faders,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.08,0.0,0.0
Doktor Hansen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.11,0.0,0.0
Hrnsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Dien,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Furien,0,0,0,0,3,0.05,8,0.06,3,0.05,0.05,0.14,0.0,0.0
j,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Skogger,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Sands,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Bladam Mikkelsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
elsfe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hdn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
traadk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
lille Helene,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
dorske,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
harm,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
paany,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
-iDa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Doklor Hansen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
vesk,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.14,0.0,0.0
Dokloren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Madam,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nielsens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Liv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Drr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
