source,target,timestamp
Linet,liun,2
Ane,Gud,3
Ane,Bruhnhylde,3
Bruhnhylde,Grimmild,3
Bruhnhylde,Grimmild,4
Bruhnhylde,Karl,4
Bertel,Karl,4
Bertel,Karl,4
Bertel,Karl,4
Anniskaal,liun,5
Grubbe,Marie Grubbe,6
Erik Grubbe,Nadvre,7
Ane .Tensdatter,Erik Grubbe,9
Ane .Tensdatter,hnn,9
Wulborg,gyres,12
Stine aa Buel,Wulborg,12
Mari,Stine aa Buel,12
Ane,Mari,14
Ane,Gud,14
Ane,Gud,14
A,Mari,16
Ane,Erik Giubbe,22
Christian Skeel,lian,24
Erik Grubbe,lian,24
Christian Skeel,Erik Grubbe,24
Ane,Erik Grubbe,26
Erik Grubbe,Marie,26
Marie,Rigitze,26
Ane,Marie,27
Erik Grubbe,haan,30
Gud,Viborrig,31
Junker,Jørgen,33
Gud,nyssens,35
Erik Grubbe,Grubbe,37
Grubbe,Hans Ulrik Gyldenløves,44
Krag,Trolle,45
Joachim Gersdorff,Krag,45
Carl van Manderns,Joachim Gersdorff,45
Lucie,Marie,49
Lucie,Marie,51
Lucie,Marie,55
Lucie,hnn,55
Karle,hnn,55
Ganteras,Karle,55
Ganteras,Lorens,55
Lucie,Marie,58
Erik Grubbe,Marie,61
Erik Grubbe,Marie,61
Marie,tillivs,61
Marie,Rigitze Grubbe,63
Marie,Marie knude,64
Ane Marie,liun,67
Ane Marie,Gud,68
Faster,Gud,68
Faster,Ulrik Frederik,68
Chicane,Ulrik Frederik,68
Chicane,Franzosisk,68
Faster,Franzosisk,68
Faster,Stycho,68
Ane Marie Grubbe,Stycho Høeghs,70
Marie,livor Lucie bod,71
Marie,Ulrik Frederik,71
Marie,Ulrik Frederik,71
Christen Skeel,Mademoiselle,73
Aurora,Christen Skeel,73
Evan,Monsieur,74
Erik Lauritzen,Gert Pyper,84
Erik Lauritzen,livor,84
Gert,Gud,85
Gud,Indigofarve,85
Gert,Indigofarve,85
Erik Lauritzen,Lasse,86
Erik Lauritzen,liar,88
Gert,Kong Kristians,90
Kong Kristians,bissed,90
Erik Lauritzen,tys,91
Gert Pyper,tys,91
Gert,Jesper Kiim,92
Jesu,Matthæus 51—54,93
Jesu,hannem,93
Jesu,hannem,93
Jesu,hannem,93
Gud,Peter den,94
