Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Asmondsen,0,0,0,0,5,0.12,13,0.19,5,0.12,0.04,0.1,0.03,0.07
Frederik,0,0,0,0,26,0.78,57,0.9,26,0.78,0.28,0.72,0.42,1.0
yvad,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Berling,0,0,0,0,2,0.03,2,0.02,2,0.03,0.0,0.0,0.01,0.02
Frederik den,0,0,0,0,3,0.06,3,0.03,3,0.06,0.03,0.08,0.03,0.07
Asmondfen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ellen,0,0,0,0,5,0.12,6,0.08,5,0.12,0.02,0.05,0.01,0.02
Aarluffsen,0,0,0,0,15,0.44,20,0.31,15,0.44,0.05,0.13,0.14,0.33
jøs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sidsfe,0,0,0,0,2,0.03,2,0.02,2,0.03,0.01,0.03,0.0,0.0
Gud,0,0,0,0,9,0.25,15,0.23,9,0.25,0.07,0.18,0.06,0.14
Sigurd Asmondsen,0,0,0,0,2,0.03,2,0.02,2,0.03,0.05,0.13,0.0,0.0
Tran,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
jæg,0,0,0,0,4,0.09,9,0.13,4,0.09,0.13,0.33,0.0,0.0
Prinfen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ondfkab,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Raferi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
jusf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Ragnhild,0,0,0,0,3,0.06,4,0.05,3,0.06,0.01,0.03,0.01,0.02
sfal,0,0,0,0,1,0.0,2,0.02,1,0.0,0.0,0.0,0.0,0.0
Jernnhrskives,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Hansine,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
Jø,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.08,0.0,0.0
