source,target,type,weight
Frederik den,Frederik den Syvendes,Undirected,1
CollJack en,Jakob,Undirected,1
Coll-Jack,Jakob,Undirected,1
Baby,Jack,Undirected,1
Mr. Birk,Rufus Rich,Undirected,17
Timpton,Tom,Undirected,1
Timpton,lange Goss,Undirected,1
Coll Jack,Tom,Undirected,1
Coll Jack,Jøsses,Undirected,1
Mr. Birk,Tom,Undirected,33
Coll Jack,Satan,Undirected,1
Gadey,Mr. Birk,Undirected,1
Gadey,Tom,Undirected,1
Coll-Jack,Tom,Undirected,32
Lilly,Mr. Birk,Undirected,12
Mr. Birk,Selma,Undirected,33
Hr. Greve,Mr. Birk,Undirected,1
Langton,Selma Langton,Undirected,1
Langton,hnn,Undirected,1
Svarts,hnn,Undirected,1
Selma,Svarts,Undirected,1
Langton,Selma,Undirected,1
Birk,Langton,Undirected,1
Selma,sine Offre,Undirected,1
Birk,sine Offre,Undirected,1
Selma,absulut,Undirected,1
absulut,sor,Undirected,1
Gud,Ole Sørensen,Undirected,1
Ole Sørensen,Søren Olsen,Undirected,1
Rusus Rich,Tom,Undirected,2
Alice,Coll-Jack,Undirected,10
Coll-Jack,Jack,Undirected,4
Alice,Jack,Undirected,25
Jack,Tom,Undirected,45
Mr. Birk,Rusus Rich,Undirected,2
Birk,Tom,Undirected,2
Jack,Mr. Birk,Undirected,28
Alice,Tom,Undirected,20
Jack,Rufus Rich,Undirected,4
,Alice,Undirected,1
,Jack,Undirected,1
Alice,Rufus Rich,Undirected,3
Coll Jack,Mr. Birk,Undirected,2
Mr. Birk,as,Undirected,1
Tom,as,Undirected,1
Tom,stans,Undirected,2
Alice,Mr. Birk,Undirected,40
Tom,paany,Undirected,3
Birk,Jack,Undirected,10
Coll-Jack,raabte Birk,Undirected,1
Coll-Jack,Rufus Rich,Undirected,3
Alice,Oluk,Undirected,1
Lady Hubert,Mr. Birk,Undirected,3
Alice,Birk,Undirected,10
Birk,Coll-Jack,Undirected,14
Smiths,Tom,Undirected,1
Coll-Jack,Smiths,Undirected,1
Filadelfia,Mr. Birk,Undirected,3
Coll-Jack,Mr. Birk,Undirected,40
Mr. Birk,Tomas Langton,Undirected,1
Mr. Birk,Wise,Undirected,2
Fifle,Mr. Birk,Undirected,1
Mr. Birk,Tomas,Undirected,1
Mr. Birk,Sir Langton,Undirected,3
Tomas Langton,alf,Undirected,1
Egegren,Gud,Undirected,1
Mr. Birk,harr,Undirected,1
CollJack,Tom,Undirected,2
Coll-Jack,Mr. Birk/,Undirected,1
Jack,paany,Undirected,1
Speile,Tom,Undirected,1
Coll-Jack,Thomas Langton,Undirected,2
Tom,ncer,Undirected,1
CollJrck,Jack,Undirected,1
Kusk,Mr. Birk,Undirected,1
Kudfl,Mr. Birk,Undirected,1
Mr. Birk,Smidts,Undirected,2
Mr. Birk,Mr. Smith,Undirected,10
Birk,Mr. Smith,Undirected,5
Hr. Smith,Mr. Birk,Undirected,3
Birk,Smiths,Undirected,1
Mr. Birk,Smith,Undirected,2
Mr. Birk,h an^,Undirected,1
Mr. Birk,Thomas Langton,Undirected,5
Alice,Thomas Langton,Undirected,2
Mr. Birk,Sir Leburne,Undirected,2
Leburne,Mr. Birk,Undirected,2
Mr. Birk,soran Gadedøren,Undirected,1
. k,Mr. Bi,Undirected,1
Birk,Smidts,Undirected,1
