source,target,type,weight
Tu,Vilhelm,Undirected,4
Eugenik,Tu,Undirected,1
Eugenie,Vilhelm,Undirected,7
Marie,Vilhelm,Undirected,47
Marie,d ' Engcourt,Undirected,2
' Engcourt,d ' Engcourt,Undirected,1
' Engcourt,bendeS,Undirected,1
Vilhelm,hnn,Undirected,3
Naadcs,Vilhelm,Undirected,1
Henrik,Vilhelm,Undirected,41
Frøken Nørsholm,Henrik,Undirected,1
Henrik,Marie,Undirected,93
Apollo,Marie,Undirected,1
' Engcourt,Asten,Undirected,1
' Engcourt,Vilhelm,Undirected,1
Vilhelm,helsf,Undirected,1
Henrik,helsf,Undirected,1
Henrik,sif,Undirected,1
Frøken Nørsholm,sif,Undirected,1
Frøken NørSholm,Henrik,Undirected,2
Blaa,Henrik,Undirected,1
,Marie,Undirected,1
Frøken NørSholm,Tet,Undirected,1
Marie,bans,Undirected,1
bans,dans,Undirected,1
Ester,dans,Undirected,1
Henrik,ban,Undirected,7
Marie,bun,Undirected,8
Marie,Tu,Undirected,14
Tu,nl,Undirected,1
lroloS,nl,Undirected,1
Tu,ester,Undirected,1
Henrik,Tu,Undirected,23
Vilhelm taug,el,Undirected,1
Gokl,el,Undirected,1
Gokl,ban,Undirected,1
' Engcourt,Henrik,Undirected,2
Vilhelm,ester,Undirected,2
Henrik taug,ester,Undirected,1
Vilhelm,eg,Undirected,1
Orv,eg,Undirected,1
Henrik,Orv,Undirected,1
Vilhelm,ban,Undirected,3
Compas,Vilhelm,Undirected,1
scm,sisfe,Undirected,1
Ester Badecuren,Marie,Undirected,1
HenrykkeIse,Marie,Undirected,1
Marie,fransfe Marquis,Undirected,2
Marie,Marquis,Undirected,2
Marie,Marquis d,Undirected,1
' Engcourt,Marquis d,Undirected,1
' Engcourt,eg,Undirected,1
Marie,eg,Undirected,1
Marie,d ' Engcourls,Undirected,1
Peter,Tine,Undirected,1
Tine,j^,Undirected,1
Henrik,loren,Undirected,1
Henrik,vederfares,Undirected,1
Cathrine,Henrik,Undirected,34
Cathrine,Tu,Undirected,6
Frøken NørSholm,Vilhelm,Undirected,1
Frokcn C.,Laban,Undirected,1
' EngcourtS,Henrik,Undirected,1
Henrik,d ' Engcourt,Undirected,3
as,d ' Engcourt,Undirected,1
Marie,as,Undirected,1
Henrik,kenne,Undirected,1
Marie,kenne,Undirected,1
Marie,d ,Undirected,1
Engcourts,d ,Undirected,1
Engcourts,Henrik,Undirected,1
Henrik Vcrtner,Marie,Undirected,1
Marie,sril,Undirected,1
Gud,sril,Undirected,1
Chrisfen,Henrik,Undirected,1
Christncs,Henrik,Undirected,1
Christncs,ester,Undirected,1
Henrik,ester,Undirected,5
Hartselts,Henrik,Undirected,1
Hartselts,Vilhelm,Undirected,1
Cathrine,Vilhelm,Undirected,8
Cathrine Vertner,nien,Undirected,1
