source,target,timestamp
Peer Gyldenstierne,Tim,1
Mads Bnndgaard,Tim,1
Mads Ladefoged,Æders,3
Bodil Marie,Peer,4
Mads Bundgaard,Peer,4
Bodil,Hvishvas,5
Bodil,Holger Enøie,5
Bodil Marie,Holger Enøie,5
Bodil,Jennild,6
Bodil,Præsien,6
Bodil,Peer,7
Bodil,Peer,7
Karl —,Peer,8
Bodil,Peer,8
Peer,Peer Thesbjerg,11
Peer,Peer Varulv,11
Jakob Rostrup,Peer Thesbferg,12
Peer Thesbferg,iland,12
Lehnseiercn,iland,12
Bodil,Lehnseiercn,12
Bodil,Peer,12
Ten,lille Peer,13
Bodil Marie,Peer,15
Bodil Marie,Peer,15
Aare,Peer,15
Kong Frederik den Anden,dein,16
Jacob Rosfrup,Leærgrav,19
Jacob Rosfrup,Leærgrav,19
Jacob Rosfrup,hans Lehn,19
Jacob Rosfrup,hans Lehn,19
Jacob Roftrup,Jacob Rosfrup,22
Jacob Rosfrup,Jacob Rostrups,24
Arons,Jacob Rostrups,24
Aron,Arons,24
Aron,Jacob Rosfrup,27
Jacob Rosfrup,Leærgrav,27
Bodil Marie,Taterkongen,30
Bodil Marie,Peer Thesbjerg,31
Bodil Marie,Peer,32
Bodil Marie,Krik,32
Gud,Krik,32
Gud,Peer,32
Peer,ifjord,32
Mikmastid,ifjord,32
Bodil,Mikmastid,32
Bodil,Peer,32
Bodil,Lauge,33
Bodil Marie,Steen,36
Bodil Marie,Peer,36
Bodil,Lucifer,40
Bodil,Peer,41
Peer,Peer Thesbferg,41
Bodil,Peer Thesbferg,41
Bodil,iland,41
Bodil,iland,41
Bodil,Marie,41
Marie,Peer Thesbferg,41
Mari,Peer,43
Bodil,Thesbjerg,44
Bodil,Køis,44
Niels,Peer,45
Bodil Marie,Peer,46
Bodil,Peer,47
Bodil,Peer,47
Bodil,Peer,47
Bodil,Peer,48
Peer,Taterkongcn,48
Aron,Bodil Marie,51
Bodil Marie,Peer,51
Aron,Eva,54
Aron,Saul,59
Aron,Eva,60
Aron,Saul,61
Aron,Eva,62
Aron,Eva,62
Aron,Gud,64
Aron,Eva,66
Aron,Freidig,69
Jakob Rostrup,Niels Skram,72
Jacob Rostrup,hnn,75
Aron,Eva,76
Aron,Linden,76
Jacob Rosirup,Peder Gyldenstjerne,77
Peer Skytte,Pidsk,78
Peter Gyldenstjerne,Pidsk,78
Peer Skytte,Peter Gyldenstjerne,78
A,deir,79
A,B.,79
Jacob Rostrup,Niels Skram,83
Bodil Marie,Peer Thesbjerg,84
Bodil Marie,Lehn,84
Palle Juul,Peer Gyldenstjernes,89
