Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Clinton,0,0,0,0,4,0.13,6,0.13,4,0.13,0.11,0.2,0.04,0.11
Haldamans,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Prenter,0,0,0,0,24,1.0,33,0.84,24,1.0,0.54,1.0,0.36,1.0
Sellene,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Gud,0,0,0,0,4,0.13,6,0.13,4,0.13,0.19,0.35,0.03,0.08
Kaner,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
fom,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Akan,0,0,0,0,2,0.04,2,0.03,2,0.04,0.1,0.19,0.02,0.06
Georg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Tø,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Martin,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Martin Prcskott,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Kjæræ,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Jsærdeleshed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Hugh,0,0,0,0,2,0.04,2,0.03,2,0.04,0.1,0.19,0.02,0.06
hugh,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Junithan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
brnne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
siii,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Junithau,0,0,0,0,2,0.04,2,0.03,2,0.04,0.12,0.22,0.0,0.0
Prenfer,0,0,0,0,3,0.09,5,0.11,3,0.09,0.06,0.11,0.01,0.03
Madam Prescott,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
hnn,0,0,0,0,3,0.09,4,0.08,3,0.09,0.12,0.22,0.02,0.06
synte-Z,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
nn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ømhu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Panteren,0,0,0,0,3,0.09,3,0.05,3,0.09,0.03,0.06,0.03,0.08
Tomahawk,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Hnn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Prenker,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Skovblomsfen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Tomahawken,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
fil,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Priis,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Washington,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mr. Primsoll,0,0,0,0,8,0.3,13,0.32,8,0.3,0.18,0.33,0.14,0.39
Primsoll,0,0,0,0,2,0.04,2,0.03,2,0.04,0.04,0.07,0.0,0.0
. Primsoll,0,0,0,0,2,0.04,2,0.03,2,0.04,0.01,0.02,0.02,0.06
Vir,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Mr. Prenter,0,0,0,0,2,0.04,2,0.03,2,0.04,0.03,0.06,0.03,0.08
Bob,0,0,0,0,11,0.43,31,0.79,11,0.43,0.17,0.31,0.18,0.5
Sam,0,0,0,0,22,0.91,39,1.0,22,0.91,0.47,0.87,0.34,0.94
loe,0,0,0,0,2,0.04,2,0.03,2,0.04,0.12,0.22,0.01,0.03
Seir,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Støi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Waschington,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jolla,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Ben Canor,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Eden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
iveiret,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
sfreg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Lados,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Kaiens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sia,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
St. Patrich,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.15,0.0,0.0
hans,0,0,0,0,2,0.04,2,0.03,2,0.04,0.18,0.33,0.0,0.0
Sergeant,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Kraff,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sergeanten,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Skovbl,0,0,0,0,1,0.0,1,0.0,1,0.0,0.1,0.19,0.0,0.0
Dick,0,0,0,0,3,0.09,4,0.08,3,0.09,0.05,0.09,0.02,0.06
Tøi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Bob igrunden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.15,0.0,0.0
Nem-OleanS,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.15,0.0,0.0
Bobs Vams,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.15,0.0,0.0
Green,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Bob igrnnden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
holla,0,0,0,0,1,0.0,2,0.03,1,0.0,0.03,0.06,0.0,0.0
