Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Alfred,0,0,0,0,71,1.0,108,1.0,71,1.0,0.68,1.0,0.56,1.0
Arthur,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.12,0.0,0.0
løi,0,0,0,0,2,0.01,2,0.01,2,0.01,0.08,0.12,0.01,0.02
Dorren,0,0,0,0,2,0.01,2,0.01,2,0.01,0.01,0.01,0.0,0.0
Alsred,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.03,0.0,0.0
Degnens,0,0,0,0,1,0.0,2,0.01,1,0.0,0.08,0.12,0.0,0.0
Boels,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Oles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
huns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
itu,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Edmund,0,0,0,0,7,0.09,14,0.12,7,0.09,0.1,0.15,0.05,0.09
Gud,0,0,0,0,11,0.14,19,0.17,11,0.14,0.15,0.22,0.07,0.12
h.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Sone,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.03,0.0,0.0
Lassen,0,0,0,0,2,0.01,3,0.02,2,0.01,0.0,0.0,0.0,0.0
Lif,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hansen,0,0,0,0,1,0.0,2,0.01,1,0.0,0.0,0.0,0.0,0.0
Flora,0,0,0,0,2,0.01,2,0.01,2,0.01,0.01,0.01,0.01,0.02
hinde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
hnn,0,0,0,0,5,0.06,8,0.07,5,0.06,0.11,0.16,0.03,0.05
Ver,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Esmund,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.01,0.0,0.0
Hain,0,0,0,0,2,0.01,2,0.01,2,0.01,0.09,0.13,0.0,0.0
Marie,0,0,0,0,14,0.19,32,0.29,14,0.19,0.18,0.26,0.06,0.11
Haabet,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
meren,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
got,0,0,0,0,5,0.06,7,0.06,5,0.06,0.12,0.18,0.04,0.07
Mari,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sela,0,0,0,0,2,0.01,2,0.01,2,0.01,0.02,0.03,0.01,0.02
Edmnnd,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
ren,0,0,0,0,2,0.01,2,0.01,2,0.01,0.0,0.0,0.0,0.0
em,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ed,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
d r,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Alsr.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
d,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hnn,0,0,0,0,3,0.03,3,0.02,3,0.03,0.11,0.16,0.0,0.0
elig,0,0,0,0,2,0.01,2,0.01,2,0.01,0.09,0.13,0.0,0.0
Ole,0,0,0,0,4,0.04,4,0.03,4,0.04,0.02,0.03,0.04,0.07
Ole Glim,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
y.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.08,0.12,0.0,0.0
