source,target,timestamp
Enkefru Vestero,Ieg,2
Ieg,Mathilde,5
Alfred,Alfred Nyland,8
Mathilde,lunde,10
Ieg,Vibeke,11
Maja,Vibeke,11
Karl,Maja,11
Fredrik,Karl,11
Fredrik,Mathilde,11
Lysalfers,Mathilde,11
Mathilde,tom,12
Hnn,Mathilde,12
Hnn,bol,12
Kammas,bol,12
Kammas,Rahheks,12
Adam,Mathilde,13
Adam,oegøve,13
Mathilde,oegøve,13
L ' hombre,Storm,16
L ' hombre,Storm,16
Storm,jaa,18
Storm,jaa,18
Storm,gol,18
Billard,Karl,26
Billard,L,26
Fyrigheb,Karl,28
Fyrigheb,Karl Storms,28
Hain,Karl Storm,36
H. C.,H. C. Andersen,38
AndersenS,H. C.,38
Gud,heil,49
Job,hani,50
Mo,dan,52
Mo,ers,52
Karl,tzjor,64
D,Karl,65
Elsfov,Ieg,68
Elsfov,Ieg,68
Elstovens,Ieg,68
Elstovens,eslers,68
eslers,pao,68
Adam,Pilatus,71
Adam,Eva,71
A. B.,L. A.,89
Chrisfian,Frederik,90
Chrisfian,Frederik,90
Hr. Storm,Hr. Storni,100
Herrens,Hr. Storm,101
Kierkegaard,S.,104
,ers,113
Mo,ers,114
Karl,Laud,122
Hnn,Madam,125
Karl,Reisen,134
Christian Winther,Karl,137
Karl,Karl strax,140
Pasforen,Storm,145
Karl,Karl bøg mesf,147
Berdens,Ulrikke,156
Lehn,hersens,161
Lehn,ester,161
Antoinette,Ulrikke,162
Ulrikke,got,164
Lunde,ers,168
Karl,Kjørfelen,171
Ulrikke,hnn,172
Karl,nieb,183
Balg,Pafborens,185
Nemedets,itke,187
Mo,ers,189
Alriaa,Karl,197
Alriaa,Karl,197
Karl,yenbe,197
Karl,yenbe,197
Karen,Vertinde,202
Karl,griin,206
Gud,Karl,207
,Mo,208
,ers,208
Gud,ester,213
Ulrikke,Ussell,218
Per,Ulriklc,222
Adam,Skyr,223
Storm,viin,224
Storm,viin,224
Graad,Graaveir,227
Karl,rasfe,238
Ulrikke,ester,241
ckan fog seil,dh,244
ber,ckan,246
hvordayJ,selp,257
Ulrikkc,got,261
lir,yun,266
Braad,lir,266
Gud,Pleierske,268
Karl,esler,271
Jesus,Kein,272
Jesus,Kein,272
Marie,Martha,273
Marie,ester,273
Gud,Martha,274
Asten,inin,282
Karl,inin,282
Dto,Gud,286
Gud,mia,289
Gud,Jesu,290
Jesu,Marie,290
Gud,Guhs,292
ester,got,293
Ulrikke,lllrikkes,300
Gud,Mo,317
Mo,ers,317
