Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Valdemarstid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
netøp,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jon Esgesøns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Thora,0,0,0,0,53,0.57,178,0.51,53,0.57,0.22,0.63,0.12,0.52
Malfrid,0,0,0,0,77,0.84,252,0.72,77,0.84,0.3,0.86,0.2,0.87
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
sagdeMalfrid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
fig,0,0,0,0,17,0.18,25,0.07,17,0.18,0.11,0.31,0.03,0.13
Ejdanejarlen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Jon,0,0,0,0,63,0.68,141,0.4,63,0.68,0.29,0.83,0.14,0.61
Knud,0,0,0,0,40,0.43,70,0.2,40,0.43,0.17,0.49,0.11,0.48
Gud,0,0,0,0,34,0.36,64,0.18,34,0.36,0.19,0.54,0.05,0.22
Knud Eriksen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
nn,0,0,0,0,8,0.08,10,0.03,8,0.08,0.07,0.2,0.0,0.0
Knud Hertug,0,0,0,0,16,0.16,23,0.06,16,0.16,0.1,0.29,0.01,0.04
Niels,0,0,0,0,10,0.1,12,0.03,10,0.1,0.06,0.17,0.01,0.04
Harald Kesje,0,0,0,0,7,0.07,8,0.02,7,0.07,0.02,0.06,0.01,0.04
Hagen Ubbesøn,0,0,0,0,2,0.01,3,0.01,2,0.01,0.01,0.03,0.0,0.0
Henrik Skatelaar,0,0,0,0,16,0.16,18,0.05,16,0.16,0.09,0.26,0.01,0.04
Mogens Nielsøn,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Malfrid-,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peder Thorstensøn,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Cæcilie,0,0,0,0,6,0.05,6,0.01,6,0.05,0.01,0.03,0.01,0.04
baadc Peder,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Jorsal,0,0,0,0,3,0.02,3,0.01,3,0.02,0.04,0.11,0.0,0.0
Thøra,0,0,0,0,16,0.16,30,0.08,16,0.16,0.13,0.37,0.01,0.04
køm Peder Thørstensøns,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Thoralillc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.06,0.0,0.0
Skraa,0,0,0,0,3,0.02,3,0.01,3,0.02,0.02,0.06,0.0,0.0
rakfe,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.06,0.0,0.0
Harald,0,0,0,0,92,1.0,349,1.0,92,1.0,0.35,1.0,0.23,1.0
Asdal,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Henrik,0,0,0,0,25,0.26,62,0.18,25,0.26,0.14,0.4,0.04,0.17
Germer,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.06,0.0,0.0
Dn,0,0,0,0,23,0.24,42,0.12,23,0.24,0.14,0.4,0.02,0.09
Zratias,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.06,0.0,0.0
ester,0,0,0,0,20,0.21,26,0.07,20,0.21,0.14,0.4,0.03,0.13
Frænkes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Gyrithe,0,0,0,0,17,0.18,34,0.09,17,0.18,0.12,0.34,0.03,0.13
Kirsten,0,0,0,0,3,0.02,4,0.01,3,0.02,0.02,0.06,0.0,0.0
Jarledøtrc,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
