Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Brutus,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.04,0.0,0.0
Robert,0,0,0,0,15,0.2,89,0.36,15,0.2,0.17,0.32,0.07,0.14
Gud,0,0,0,0,15,0.2,22,0.09,15,0.2,0.15,0.28,0.1,0.2
lian,0,0,0,0,4,0.04,5,0.02,4,0.04,0.12,0.23,0.0,0.0
Mathildes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Concierge,0,0,0,0,3,0.03,3,0.01,3,0.03,0.1,0.19,0.0,0.0
Mathilde,0,0,0,0,71,1.0,248,1.0,71,1.0,0.53,1.0,0.5,1.0
Mira,0,0,0,0,64,0.9,231,0.93,64,0.9,0.45,0.85,0.43,0.86
Marquise de Pen-Hoél,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Henri B. Mathilde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Cela,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Seladon,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.01,0.02
Marquise,0,0,0,0,6,0.07,15,0.06,6,0.07,0.13,0.25,0.01,0.02
Livree,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.0,0.0
Henri,0,0,0,0,5,0.06,5,0.02,5,0.06,0.08,0.15,0.0,0.0
Marquisen,0,0,0,0,6,0.07,8,0.03,6,0.07,0.11,0.21,0.01,0.02
Henri leende,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Cendrillon,0,0,0,0,1,0.0,2,0.0,1,0.0,0.05,0.09,0.0,0.0
Malhildes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.0,0.0
Alba,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.0,0.0
Madames,0,0,0,0,2,0.01,2,0.0,2,0.01,0.09,0.17,0.0,0.0
Don Quixotes,0,0,0,0,1,0.0,2,0.0,1,0.0,0.04,0.08,0.0,0.0
Carl den Tolvte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Mira taug,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
Gothe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
.Perdita,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
Zenith,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
Perdita,0,0,0,0,4,0.04,8,0.03,4,0.04,0.06,0.11,0.01,0.02
Demi monde,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Orlando furioso,0,0,0,0,1,0.0,2,0.0,1,0.0,0.04,0.08,0.0,0.0
stræng,0,0,0,0,1,0.0,2,0.0,1,0.0,0.04,0.08,0.0,0.0
Mama,0,0,0,0,3,0.03,3,0.01,3,0.03,0.04,0.08,0.01,0.02
Potemkin,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
Mira-Perdita,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.0,0.0
Alfred de Saint-Maur,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Madame,0,0,0,0,3,0.03,3,0.01,3,0.03,0.0,0.0,0.0,0.0
henstaa,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.09,0.0,0.0
lasgis,0,0,0,0,1,0.0,2,0.0,1,0.0,0.05,0.09,0.0,0.0
SaintMaur,0,0,0,0,2,0.01,4,0.01,2,0.01,0.09,0.17,0.0,0.0
Monsieur Litzt,0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.08,0.01,0.02
Monsieur Molière,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Salomo,0,0,0,0,2,0.01,2,0.0,2,0.01,0.05,0.09,0.01,0.02
charmant,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Maur,0,0,0,0,5,0.06,7,0.02,5,0.06,0.08,0.15,0.0,0.0
tom,0,0,0,0,2,0.01,2,0.0,2,0.01,0.06,0.11,0.0,0.0
liun,0,0,0,0,3,0.03,6,0.02,3,0.03,0.1,0.19,0.01,0.02
Madame Mira,0,0,0,0,2,0.01,3,0.01,2,0.01,0.09,0.17,0.0,0.0
Macchiavel,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
Buffon,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sokrates,0,0,0,0,3,0.03,3,0.01,3,0.03,0.04,0.08,0.02,0.04
Cicero,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Virgil,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.0,0.0
Shakespeare,0,0,0,0,3,0.03,3,0.01,3,0.03,0.05,0.09,0.01,0.02
Marquise de Blocqueville,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.02,0.01,0.02
Marskalk Davoults,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Satan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.04,0.08,0.0,0.0
