Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Jens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Peter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Anton,0,0,0,0,31,0.86,98,1.0,31,0.86,0.4,0.82,0.3,0.83
Stine,0,0,0,0,2,0.03,3,0.02,2,0.03,0.1,0.2,0.0,0.0
Mare,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
intor luusas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Sivertsen,0,0,0,0,16,0.43,33,0.33,16,0.43,0.25,0.51,0.11,0.31
Hr. Abildgaard,0,0,0,0,7,0.17,14,0.13,7,0.17,0.17,0.35,0.03,0.08
Guds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Abildgaard,0,0,0,0,36,1.0,94,0.96,36,1.0,0.49,1.0,0.36,1.0
Hr. Kolb,0,0,0,0,6,0.14,7,0.06,6,0.14,0.11,0.22,0.08,0.22
f. Ex,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Klintrup,0,0,0,0,7,0.17,7,0.06,7,0.17,0.13,0.27,0.04,0.11
Klintrups,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Anna,0,0,0,0,6,0.14,8,0.07,6,0.14,0.17,0.35,0.02,0.06
Jenny,0,0,0,0,9,0.23,18,0.18,9,0.23,0.17,0.35,0.04,0.11
Rikke,0,0,0,0,5,0.11,7,0.06,5,0.11,0.12,0.24,0.0,0.0
Honneurs,0,0,0,0,3,0.06,4,0.03,3,0.06,0.09,0.18,0.0,0.0
Baron Breidsdorfs,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.06,0.0,0.0
Kamilla v. Breidsdorf,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.1,0.0,0.0
Gud,0,0,0,0,7,0.17,8,0.07,7,0.17,0.15,0.31,0.04,0.11
Skaal Anton,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.14,0.0,0.0
Kristian,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
as,0,0,0,0,2,0.03,2,0.01,2,0.03,0.1,0.2,0.0,0.0
Hellenske,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
ester,0,0,0,0,4,0.09,4,0.03,4,0.09,0.09,0.18,0.01,0.03
j Anton,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Io,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Morten,0,0,0,0,3,0.06,3,0.02,3,0.06,0.09,0.18,0.01,0.03
Anton Kold,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
hnn,0,0,0,0,3,0.06,3,0.02,3,0.06,0.06,0.12,0.01,0.03
Jkkesandt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
K.,0,0,0,0,4,0.09,4,0.03,4,0.09,0.05,0.1,0.04,0.11
B.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
paany,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Kamilla,0,0,0,0,8,0.2,14,0.13,8,0.2,0.14,0.29,0.05,0.14
Kamillethe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
ganfke,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
felv,0,0,0,0,3,0.06,3,0.02,3,0.06,0.06,0.12,0.02,0.06
Jldklemme,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
lille Frøken Jenny,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Jndvlens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Frederikke,0,0,0,0,3,0.06,4,0.03,3,0.06,0.11,0.22,0.0,0.0
Breidsdorf,0,0,0,0,4,0.09,4,0.03,4,0.09,0.09,0.18,0.01,0.03
Kørbitz,0,0,0,0,15,0.4,29,0.29,15,0.4,0.23,0.47,0.11,0.31
jv,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
v. Breidsdorf,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.12,0.01,0.03
Ingenieur Kolb,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Jensen,0,0,0,0,14,0.37,34,0.34,14,0.37,0.25,0.51,0.1,0.28
Hr. Kold,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Hr. v.,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.06,0.0,0.0
Margrets,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.06,0.01,0.03
Abilden,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Ahner,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Hr. v. Kørbitzs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. v. Kørbitz,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. Mølsted,0,0,0,0,3,0.06,5,0.04,3,0.06,0.09,0.18,0.0,0.0
Hr. Jensen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.14,0.0,0.0
-nan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
ban,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Præsf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Kristoffer Abildgaard,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
votrs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Te,0,0,0,0,3,0.06,3,0.02,3,0.06,0.08,0.16,0.01,0.03
Breidsholms,0,0,0,0,4,0.09,7,0.06,4,0.09,0.12,0.24,0.02,0.06
SvenfkeLars,0,0,0,0,1,0.0,2,0.01,1,0.0,0.03,0.06,0.0,0.0
Baron Breidsdorf,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.12,0.03,0.08
frein,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.01,0.03
Stoltenhagen,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
dor,0,0,0,0,3,0.06,3,0.02,3,0.06,0.0,0.0,0.04,0.11
Staal-Jensen,0,0,0,0,2,0.03,3,0.02,2,0.03,0.09,0.18,0.0,0.0
tilbords,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Frue,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Mølsted,0,0,0,0,3,0.06,4,0.03,3,0.06,0.07,0.14,0.0,0.0
Pastor Klintrup,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Mølsfed,0,0,0,0,3,0.06,6,0.05,3,0.06,0.11,0.22,0.0,0.0
Pasfor Klintrup,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.05,0.14
Goethe,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.03,0.08
Svane,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.01,0.03
Jupiter,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Malvoisier,0,0,0,0,2,0.03,2,0.01,2,0.03,0.06,0.12,0.0,0.0
sud rosa,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.08,0.0,0.0
Allan,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Frøken Klintrup,0,0,0,0,2,0.03,2,0.01,2,0.03,0.04,0.08,0.0,0.0
Brava,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
brava,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Messieurs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Jenny Klintrup,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
iforgaars,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Kamilla Breidsdorf,0,0,0,0,4,0.09,6,0.05,4,0.09,0.11,0.22,0.0,0.0
Ten gamle,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
p. p.,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Kalesche,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
fom Sivertsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Kolbs,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
jusf,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Pindar,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Anton purpurrød,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Hr. Ingenieur,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Knigge,0,0,0,0,2,0.03,2,0.01,2,0.03,0.03,0.06,0.01,0.03
Jenfen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Garderkarles,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
asbrød Anton,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
d ' Hrr,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frøken Frederikke,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Auf Wiedersehen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.05,0.1,0.0,0.0
Hilfe,0,0,0,0,2,0.03,2,0.01,2,0.03,0.08,0.16,0.0,0.0
Solche,0,0,0,0,2,0.03,2,0.01,2,0.03,0.07,0.14,0.0,0.0
Pisfolen,0,0,0,0,3,0.06,5,0.04,3,0.06,0.12,0.24,0.0,0.0
Geschichte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Mathias,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Hnn,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Nidt,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Svend Dyring,0,0,0,0,2,0.03,2,0.01,2,0.03,0.02,0.04,0.01,0.03
Ragnhild,0,0,0,0,2,0.03,2,0.01,2,0.03,0.0,0.0,0.0,0.0
Hertz,0,0,0,0,2,0.03,2,0.01,2,0.03,0.01,0.02,0.0,0.0
Kridhvid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.04,0.0,0.0
Inspekteur Sivertsens,0,0,0,0,2,0.03,2,0.01,2,0.03,0.05,0.1,0.01,0.03
Kolb,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.02,0.0,0.0
Anton Kolb,0,0,0,0,1,0.0,1,0.0,1,0.0,0.06,0.12,0.0,0.0
Kørbch,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Kong...,0,0,0,0,1,0.0,1,0.0,1,0.0,0.03,0.06,0.0,0.0
Marie,0,0,0,0,1,0.0,2,0.01,1,0.0,0.05,0.1,0.0,0.0
