Id,Polarity,Polarity_normalized,Polarity_sentence,Polarity_sentence_normalized,Connections,Connections_normalized,Interactions,Interactions_normalized,Degree,Degree_normalized,Centrality,Centrality_normalized,Betweenness,Betweenness_normalized
Niels Nielsen Brahe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Wandaas,0,0,0,0,18,0.19,32,0.14,18,0.19,0.11,0.29,0.02,0.06
Axelsen Brahe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Hr. Axel,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Hr. Aage,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.01,0.03
Niels Brahe,0,0,0,0,92,1.0,221,1.0,92,1.0,0.38,1.0,0.31,1.0
Kong Christiern,0,0,0,0,49,0.53,90,0.4,49,0.53,0.26,0.68,0.13,0.42
Christiern,0,0,0,0,21,0.22,28,0.12,21,0.22,0.12,0.32,0.04,0.13
Kong Frederiks,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Norby,0,0,0,0,4,0.03,4,0.01,4,0.03,0.06,0.16,0.0,0.0
Belte,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Jørgen,0,0,0,0,28,0.3,77,0.35,28,0.3,0.18,0.47,0.07,0.23
Oluf,0,0,0,0,24,0.25,63,0.28,24,0.25,0.15,0.39,0.03,0.1
lian,0,0,0,0,29,0.31,40,0.18,29,0.31,0.18,0.47,0.06,0.19
Anna Pedersdatter,0,0,0,0,5,0.04,5,0.02,5,0.04,0.03,0.08,0.0,0.0
Lang,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Hagens,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Kirsten,0,0,0,0,43,0.46,123,0.55,43,0.46,0.25,0.66,0.11,0.35
Rosenkrantz,0,0,0,0,3,0.02,4,0.01,3,0.02,0.02,0.05,0.0,0.0
Brahes,0,0,0,0,4,0.03,4,0.01,4,0.03,0.01,0.03,0.0,0.0
Sparre,0,0,0,0,7,0.07,7,0.03,7,0.07,0.02,0.05,0.01,0.03
Axel Brahes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Aage Brahe,0,0,0,0,5,0.04,5,0.02,5,0.04,0.02,0.05,0.0,0.0
Axel,0,0,0,0,14,0.14,18,0.08,14,0.14,0.08,0.21,0.02,0.06
Aages,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Axelsen,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Frederik den,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Christiern den,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Guds,0,0,0,0,4,0.03,4,0.01,4,0.03,0.03,0.08,0.0,0.0
Sancte Oluf,0,0,0,0,8,0.08,10,0.04,8,0.08,0.07,0.18,0.0,0.0
Axel Brahe,0,0,0,0,12,0.12,16,0.07,12,0.12,0.08,0.21,0.03,0.1
Thord Ibsen Sparre,0,0,0,0,1,0.0,2,0.0,1,0.0,0.02,0.05,0.0,0.0
Thord Ibsen,0,0,0,0,5,0.04,10,0.04,5,0.04,0.07,0.18,0.0,0.0
Jomfru Marias,0,0,0,0,3,0.02,3,0.01,3,0.02,0.02,0.05,0.0,0.0
Sancte Annas,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Gud,0,0,0,0,39,0.42,68,0.3,39,0.42,0.21,0.55,0.09,0.29
Anna,0,0,0,0,9,0.09,17,0.07,9,0.09,0.06,0.16,0.02,0.06
hvi,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Aage,0,0,0,0,4,0.03,5,0.02,4,0.03,0.01,0.03,0.01,0.03
Oluf Nielsen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Niels,0,0,0,0,21,0.22,32,0.14,21,0.22,0.12,0.32,0.03,0.1
Kong Qhristiern kjær,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kjeld Bing,0,0,0,0,12,0.12,29,0.13,12,0.12,0.09,0.24,0.0,0.0
",",0,0,0,0,2,0.01,2,0.0,2,0.01,0.04,0.11,0.0,0.0
Else,0,0,0,0,11,0.11,31,0.14,11,0.11,0.1,0.26,0.01,0.03
Kjelder,0,0,0,0,4,0.03,4,0.01,4,0.03,0.03,0.08,0.0,0.0
Kjeld,0,0,0,0,12,0.12,17,0.07,12,0.12,0.08,0.21,0.0,0.0
Kirsten Spliid,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Spliid,0,0,0,0,3,0.02,4,0.01,3,0.02,0.03,0.08,0.0,0.0
Magdalene Olufsdatters,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.08,0.0,0.0
Axel Olufsen,0,0,0,0,9,0.09,13,0.05,9,0.09,0.09,0.24,0.0,0.0
eg,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Pasop,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
Skoe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
lier,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Lise,0,0,0,0,3,0.02,3,0.01,3,0.02,0.03,0.08,0.0,0.0
Edele Sparre,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Thord Sparre,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.01,0.03
Edele,0,0,0,0,5,0.04,9,0.04,5,0.04,0.07,0.18,0.0,0.0
Børge Jensen Ulfstand,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.08,0.0,0.0
Laurits,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tostrup,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Børge,0,0,0,0,14,0.14,25,0.11,14,0.14,0.11,0.29,0.01,0.03
Børge Ulfstand,0,0,0,0,5,0.04,10,0.04,5,0.04,0.05,0.13,0.0,0.0
signe,0,0,0,0,5,0.04,7,0.03,5,0.04,0.05,0.13,0.0,0.0
Gottorperens,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Frederik,0,0,0,0,15,0.15,21,0.09,15,0.15,0.09,0.24,0.03,0.1
Kong Hans,0,0,0,0,7,0.07,8,0.03,7,0.07,0.03,0.08,0.01,0.03
Jens Holgersen Ulfstand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Kong Frederik,0,0,0,0,30,0.32,44,0.2,30,0.32,0.12,0.32,0.08,0.26
Steen,0,0,0,0,4,0.03,5,0.02,4,0.03,0.04,0.11,0.0,0.0
Mogens Gjøe,0,0,0,0,4,0.03,6,0.02,4,0.03,0.03,0.08,0.01,0.03
Baspyd,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.01,0.03
Johan Rantzov,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Melchior,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Lybsken,0,0,0,0,3,0.02,3,0.01,3,0.02,0.02,0.05,0.0,0.0
Niels Nielsen,0,0,0,0,27,0.29,48,0.21,27,0.29,0.2,0.53,0.04,0.13
Tyge Mogensen Krabbe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Severin Norby,0,0,0,0,11,0.11,18,0.08,11,0.11,0.07,0.18,0.01,0.03
hau,0,0,0,0,5,0.04,5,0.02,5,0.04,0.03,0.08,0.01,0.03
Hr. Severin,0,0,0,0,5,0.04,5,0.02,5,0.04,0.04,0.11,0.0,0.0
Konsten,0,0,0,0,2,0.01,3,0.01,2,0.01,0.03,0.08,0.0,0.0
Kong Gøste,0,0,0,0,6,0.05,8,0.03,6,0.05,0.03,0.08,0.01,0.03
*,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Christine Gyldenstjerne,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Niels Svantesen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Sture,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.01,0.03
Søren Norby,0,0,0,0,45,0.48,85,0.38,45,0.48,0.18,0.47,0.13,0.42
Stokholms,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Tyge Krabbe,0,0,0,0,29,0.31,43,0.19,29,0.31,0.15,0.39,0.07,0.23
Kirsten Brahe,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Jomfru Edeles,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Jakob,0,0,0,0,42,0.45,142,0.64,42,0.45,0.23,0.61,0.08,0.26
Birthe,0,0,0,0,20,0.21,38,0.17,20,0.21,0.11,0.29,0.04,0.13
Thord,0,0,0,0,7,0.07,7,0.03,7,0.07,0.06,0.16,0.01,0.03
j,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Jomfru Edele,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.08,0.0,0.0
Jørgen kjær,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Skaanes,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Tyge Brahe,0,0,0,0,7,0.07,7,0.03,7,0.07,0.01,0.03,0.02,0.06
Brahemes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Brahernes,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Pedersen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Hr. Tyge,0,0,0,0,3,0.02,3,0.01,3,0.02,0.01,0.03,0.01,0.03
Luther,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Leo den,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Graad,0,0,0,0,4,0.03,4,0.01,4,0.03,0.01,0.03,0.01,0.03
Jørgen Urne,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Magdalene,0,0,0,0,6,0.05,6,0.02,6,0.05,0.03,0.08,0.02,0.06
Lunds,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Tonsur,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
Krummedige,0,0,0,0,3,0.02,3,0.01,3,0.02,0.01,0.03,0.0,0.0
Knud Alfsen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.02,0.05,0.0,0.0
Jørgen Nielsen,0,0,0,0,2,0.01,3,0.01,2,0.01,0.01,0.03,0.0,0.0
Jakob Thordsen,0,0,0,0,24,0.25,50,0.22,24,0.25,0.15,0.39,0.05,0.16
Jørgen Brahe,0,0,0,0,1,0.0,1,0.0,1,0.0,0.02,0.05,0.0,0.0
miri,0,0,0,0,1,0.0,1,0.0,1,0.0,0.01,0.03,0.0,0.0
Bilde,0,0,0,0,4,0.03,4,0.01,4,0.03,0.01,0.03,0.0,0.0
Lyngsgaard,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Gjøe,0,0,0,0,3,0.02,3,0.01,3,0.02,0.01,0.03,0.0,0.0
Predbjørn Podebusk,0,0,0,0,7,0.07,8,0.03,7,0.07,0.04,0.11,0.01,0.03
Tøilen,0,0,0,0,2,0.01,2,0.0,2,0.01,0.03,0.08,0.0,0.0
Predbjørn,0,0,0,0,7,0.07,8,0.03,7,0.07,0.04,0.11,0.01,0.03
Rnd,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Svend,0,0,0,0,7,0.07,8,0.03,7,0.07,0.06,0.16,0.01,0.03
Rud,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Gregersen Ulfstand,0,0,0,0,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0,0.0
Holger,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Tyges,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Truid,0,0,0,0,3,0.02,3,0.01,3,0.02,0.0,0.0,0.01,0.03
Tyge,0,0,0,0,2,0.01,2,0.0,2,0.01,0.0,0.0,0.0,0.0
Ulivssaar,0,0,0,0,3,0.02,3,0.01,3,0.02,0.0,0.0,0.0,0.0
s,0,0,0,0,2,0.01,2,0.0,2,0.01,0.01,0.03,0.0,0.0
